20090203150040AAITUBF	Pets;Other - Pets	What is a Rabbit????????????????????????…	Is it a rodent? My friend who is wrong says they are!!!
20090203161313AAajk8d	Pets;Cats	My puppys too friendly?	ive got a 15 week old pup. hes got a lovely, friendly nature. Im concerned because hes too friendly. Every time i walk him on and off the lead , if see sees another person, dog or child his tail starts to wag, he gets really excited and runs over to play. i love the fact that he is so friendly but dont want him to run up to just anybody. Has anyone got any ideas of how i can keep him near me ?
20090203161128AA9O4kf	Pets;Cats	Is he sick dieing? should I take him to a vet, what should we do about his problems?	I have a cat who is about 4years old, he is a pur bred mutt cat. ever since he was a kitten he has scratched the back of his left ear open and its just a regular wound on him now, we are over it. about 7 months ago we got another kitten making 5 in our house. he and Jeffy (the 4 year old) would scratch up our funiture, so we had both of them declawed in the front.       Now Jeffy dosnt only have his usual scare just on his left ear but he is also missing most of the fur n he right side of his head and right behind his right shoulder.       he also has a large baldspot at the base of his tail...      what could this be from? he is a generally happy cat who is extremly loving and sleeps with us every night         Whats wrong? should we go to our vet?
20090225064441AAhBq2i	Pets;Horses	Do baby pink john whitaker coats show up dirt nd stains easily?	i was thinking of buying a john whitaker jacket but what to know if they show stains nd dirt up easily because dont want a jacket what shows up stains.
20090203155535AAM5mHr	Pets;Other - Pets	Can you domesticate wolves?	N/A
20090203162107AAfbCBa	Pets;Birds	My African Grey Congo's fingernails?	Does anyone know if you can cut your parrot's fingernails at Parrots Of The World, in LI? My Congo is just a baby, and I have visited that pet store a few times. I got my parrot like a month ago and now I want to cut his fingernails because it got way to sharp!      I know they clip your parrots wings and clip their nails when you first buy them, but what about after you buy them?      So here's my question:   Can you clip your parrot's nails at Parrots Of The World In LI after you have bought it?       AND      Can you clip your parrot's nails at Parrots Of The World if you didn't buy your parrot there?      AND      How much does it cost to clip your parrots nails at Parrots Of The World in LI?
20090225065350AAQcIJg	Pets;Dogs	Can dogs eat gumbo ??	My dog ate my bowl of gumbo!
20090225064533AASxrYk	Pets;Fish	How often should i feed my fish....i have bout 25 .......mainly bottem feeders in a 4ft tank?	i want to know how often i should feed my fish ......and the varaition of foods i should feed them (eg what kinds of veg)
20090203155511AA0gMNk	Pets;Horses	How can my pony loose weight?	my pony is chubby and has a "hay belly"  is there any way that i can get rid of the chubbiness and the hay belly bc i want to show my pony in halter and lead line jumping (bc he is a mini) and he is such a beautiful boy and i want him to loose weight soo bad tips would help to thanks :)
20090225065204AAdZVxQ	Pets;Rodents	Can somebody tell me what to feed guinea pigs.?	I'v been feeding them guinea pig food and vegs but can they eat any thing else.?
20090225065951AAQeQjV	Pets;Dogs	Can someone help id the breed of my dog?	 http://i178.photobucket.com/albums/w270/... 
20090225065204AAqLeQM	Pets;Cats	What could be wrong with my cat? He is limping :(?	I noticed about 4 days ago I thought I saw my cat limping. He limped, holding up his back left leg, for about 5 minutes. The next day and a half everything was normal. I noticed him limping again right before bed, but stopped after only a few minutes. Again, I noticed it today, but then later it is as if it never happened. He still runs and tears around the house. He is only a year and a half old, and other than when I see him limp, no behavior has changed. I've yet to check his paws and nails, but after doing some research, I'll do that when I get home. There is also no swelling, so I don't think it is broken. I'm wondering if I should take him into the vet? But when I see him run on it...I assume it can't be THAT bad. What do you think?
20090203163048AARKpF0	Pets;Other - Pets	My ferret has been weezing and almost like choking?	my ferret is 5 years old in march here lately he has been kinda wheezing and has short fits of coughing like choking he doesn't have any colored discharge from his nose and has been eating and drinking as normal, he gets hiccups all the time when he plays and i have seen him a couple time kinda fall when going up the levels in his cage, granted he could of just slipped but its the wheezing and choking thing that worries me. can any one help?
20090203155639AAhbYBx	Pets;Reptiles	Which one of these stores sell the healthiest turtles? or any other store?	Reptile Island or Reptiles Unlimited or Circle Pet or can you recommend any other
20090203155716AAvuvGm	Pets;Birds	Pigeon infested attic!  Has anyone ever had this problem?	This really great house in a great neighborhood has been up for sale for quit a while, my husband and I drive by it all the time and wonder why the heck it is so cheap and why no one has purchased it yet...........So I finally decided to call  my real estate agent just for the heck of it and get some info, so basically the owner did not replace a flap in the attic  which lead  to the top outside of the house and pigeons have infested it!!!!!!  They have been living in there for about a year and a half and there is about 30 of them!!! My agent said that there were people that placed a offer but backed out because they cannot afford the 8-12,000 dollars it would cost to get rid of the all the poo the pigeons and make it health safety approved!!!   Why does it cost so much to get rid of this problem??
20090203160206AAxPsJD	Pets;Dogs	I have a yorkie puppy who eats too fast!!!!?	my puppy is eating every four hours.. and is still on soft food.  we feed him good portions and he still acts like he has never been fed before. He eats so fast we have to take his food away so he can have time to breath! And when we have tried hard food (really tiny pieces because he is  v e r y   tiny as it is..) he just gobbles that down and hardly chews it. I don't know what to do to calm him down about his food...    The hard food we give him to try is very small. Do you think maybe that is the issue of him hardly chewing the pieces? but we are nervous to give him larger pieces because he doesn't think to chew and we don't want him to get sick...or choke!    any idea????
20090203160323AAMG2yO	Pets;Dogs	What is a healthy weight for a 12 week old staffy x?	my pup tiger is 12 weeks old and he weighs* 4.7 kg is that a good weight he is staffy X kelpie
20090203160332AAh8X0v	Pets;Fish	If one of my angle fish lays eggs does that mean i have 1 male and 1 female?	i have 2 angle fish and one of them laid eggs and i was wondering if the male sill has to fertilize them or are they already fertilized. and what should i do if one of them is eating the eggs. the fish are pretty young, does that have anything to do with it?
20090203161033AA0SuL8	Pets;Other - Pets	Which is better, cats or dogs?	N/A
20090203162107AAPBIGz	Pets;Fish	Can plankton live in saltwater and freshwater?	Can plankton live in saltwater and freshwater?   or just saltwater?
20090203161427AAuSDZ3	Pets;Cats	How to stop a cat from peeing?	my 1 year old kitten wont stop peeing in the closet...   how do i stop it?
20090203162020AApJSuL	Pets;Dogs	My dog got a hold of a lighter, the fluid went in his mouth will he be okay?	Fluid went in his mouth, will that poisen him.      Will he be okay, hes acting fine now but it just happend :/
20090203162213AA5JnTQ	Pets;Dogs	Is my puppy, Bailey, cute?	The first one is when she was a puppy. And the second one is now. alot of people think shes ugly, and others think she should be in calendars. So. is she cute?          http://s98.photobucket.com/albums/l279/d...         http://s98.photobucket.com/albums/l279/d... 
20090225070000AAKjDto	Pets;Cats	Crust on cat's eyes after spaying/neutering?	When I got home from picking up my cat from the clinic i noticed some brownish color right beneath both eyes.  I thought to myself that I hadn't noticed that before (have had her for 7 months).  i looked at previous pictures of her and it wasn't there.        The next day or so, i felt it AND IT WAS CRUST.      DOES ANYONE HAVE ANY KIND OF IDEA WHAT IT MAY BE?
20090225065552AA4IUeM	Pets;Dogs	Free Feeding Vs Scheduled Feeding.?	Well i have been free feeding my dogs since day one. I have always had fresh food and water for them to eat at anytime in the day if there hungry. Well Taco my chihuahua and Precious my chi-poo are great on it! Taco is in perfect weight, not to skinny, not to fat i mean perfect! Precious is the same way. She is perfect. Has a good body, not skinny but no extra fat.       Now Taz my pom has a show coat. So he has this really thick flowing long coat. So naturally you cannot tell his weight by your eyes alone. I check him every now and then to make sure he is eating well, i weigh him also and he seems fine, well was i wrong!!      For the summer about a week ago i decided to shave him down completely and let him have a break from his show coat. I left about an inch. Well i bathed him and accidentally cut a piece of his ear off!! I know i blame myself :( well....when i dried him off and put him down i was like OH MY! He is a fatty!! He looks like an obese chihuahua now! My friend has a chihuahua that is obese and i always make fun of it :P I always tell her that him being fat is not good for his health and can take numbers off his life. Well now my pom looks like his twin. I couldn't believe it. So thats when i started to investigate. Well to my surprise Taz loves to go over to the food bowl and eat his little heart out! I have never noticed how much he eats. So now even though the other two are great on free feeding. I need to get them on a schedule for Taz'es sake.       I have no clue how this is done. There all toy breed dogs. If your a schedule feeder can you please tell me your schedule? Also if you don't mind could you make me a schedule or show me how. I just want to get an idea. Any times of the day. I have my own times so works not a problem. Any time of the day thats best to feed i will. Just any recommendations please would be great. Also how much should i feed? Precious is 14 pounds. Taco is 8 pounds, Taz (the smallest of them all) Is 9 pounds weighs more then Taco yet is much smaller then him.       They are fed Nutro Ultra Holistic. How much should i give each of them per serving, how many times a day and at what times?      Thank you. Oh wow i wrote a lot! Sorry for all that, i just want to get every last detail in, to give you guys a better view on it. Thanks again!
20090225065602AAkeoVi	Pets;Fish	My goldfish are changing colors...?	I have 4 large goldfish that have been kept in a tank without a heater. I recently purchased a plecostomus and it died because the tempature in the tank was not warm enough. I bought another fish and heater to add to my tank. The current temp is set at 72 degrees, My fish are now changing colors. My all white fish is now turning orange/red. Is it because of the water temp or may it be sick??
20090225065812AAX9YEG	Pets;Other - Pets	Why do people abuse animals?	Pets-Abuse
20090225070042AAHeLFw	Pets;Horses	Anyone tried a stable mirror in a field?	My horse used to get stressed whenever she was left alone. I got her a stable mirror and it cured the problem quickly - but only indoors! She will still go nuts if left alone in the field. Has anyone ever used a mirror successfully outdoors?
20090304180911AA0uLbG	Pets;Cats	How can I get my cat to become a model?	i have a handsome cat and he should be in competitions.  wondering if there is a way to do this.
20090304184648AASg9oV	Pets;Other - Pets	Would it be good if i took a dog or cat along with me while skydivin when im older?	Do dogs and cats like skydiving? Are they afraid of skydiving? I would want to bring one along while i skydive when im older but I dont want to freak them out or give them a heart attack half way down skydivin.
20090304182531AAoqWzd	Pets;Dogs	On average...how large?	is a full-grown male english mastiff?      do they normally top 200?   just wondering.      because we may be adopting a male mastiff by the end of summer and I was wondering how often they get that big      it doesn't make a difference to me.   but I'm interested in knowing         and just to clarify for anyone (like the other day) who doesn't think I've done research   I've done tons of it      and if anyone has or had a mastiff   pics would be lovely :-D
20090304184908AAvg34l	Pets;Fish	What makes a goldfish "show quality"? **video**?	I have seen some beautiful goldfish on youtube that are selling for $ 400 and over. They are considered show quality. I was wondering what makes a goldfish show quality and what do judges look for when scoring the fish. It isn't like I was going to buy one and start showing, I was just wondering. I am talking about orandas specifically.      here is my oranda, Wanda    I know she is FAR from being showable ( $13 at Petsmart) but I was just wondering what would make her more like one? she is just an example.....       http://s441.photobucket.com/albums/qq134...       thanks   -fish
20090304184313AAb2yQA	Pets;Horses	What is the difference between a horse and a pony?	I thought it was the size but some people say their pony is the same size as my horse which is 15hds high?
20090304181823AAx4pSQ	Pets;Horses	Is this horse dead or alve????????	Ok a few weeks ago (well a couple of months ago I should say) I bought the granddaughter of silver desighn and I heartd he was a really good show horse and wanted to know how I cpuld info about him if nis still alive or dead .  Thanks
20090225070405AAeebKw	Pets;Horses	I might be getting another horse?	the barn where i board my horses just got handed a couple free horses, broke to ride, and they are finding homes for them free of charge. i would really like one, and i just have to pay the monthly boarding fee of 200. this horse is a 10 year old arabian gelding, at around 14.2 hh. im 5'9 almost, would that be ok? im thinking it will be, i dont way like a ton. my bf is 6'3 ish, att 210 pounds, would he be ok to ride him   or not?      thanks
20090304181549AAIHv6n	Pets;Dogs	When should I start giving my puppy HEARTGUARD?	My shih tzu puppy is 14 weeks old.  He is up to date with all his vaccinations.  He also gets regular vet visits.        I wasn't really informed about heartguard yet.  Only that I needed him to have it as well.  Now my question is, when should I take him to get Heartguard?      I know it is for heartworms, but can you please explain to me how Heartguard works?  Is it injected, orally given, etc?         I apologize I don't know much about Heartguard.  Please bare with me. I am a new pet owner who is doing her best to be a good owner.         Thanks in advance.
20090304175754AAPKHug	Pets;Other - Pets	Can you keep a wild bunny as a pet?	Ok, so my dog was in the backyard and it attacked a baby bunny.  It is either in deep shock or it is wounded, and I was wondering if I clean it up and keep it/feed it in the proper conditions, can it be kept as a pet.  I don't mean for 8 years, just until it gets better, would it be ok for the baby bunny, as there was no mom or anyother bunny around.  This is serious, thank you.
20090304175625AA63XCp	Pets;Cats	What kind of feline problem does this sound like?	my cat who is 12 years old went through a long stretch where hshe would vomit often. anyways thats slowed down if not stopped lately but now she a very skinny cat where as she used to have a belly so big it would dance around. she seems to have something wrong with her throat as well.  she sneezes al the time has lots of snot sometimes but also its like the back of her throat will get caught or something and she will hack but not like a hairball hack like a dry hack though no heaving of any food. any ideas on what could be wrong? she has always had a big appetite.
20090304181054AAlvrZw	Pets;Rodents	Aren't black squirrels so cute?	I don't know why they exist, but you gotta love those little squiggers!
20090304181658AAoiqIj	Pets;Reptiles	Anybody have any clue what morph this corn snake is?	 http://s268.photobucket.com/albums/jj2/g... 
20090304183403AA69SEA	Pets;Dogs	"Justice For Regina", Torture?	I just happened across this on one of my rescues websites, has anyone heard about the Justice For Regina campaign thats happening in Spain, and pretty much in every other corner of the earth?      Basically, in Spain a shelter was broken into by a group of vandals, and a single dog, Regina, was bound by wire and sexually abused (I'll refrain from further detail, its bad), and had her head bashed in.       How bad does the world have to get before masses of people stand up and change it? How many animals must suffer at the hands of cold hearted demons before someone can stand up and stop it?
20090304180156AAnGCxH	Pets;Dogs	What breed is my puppy?	I have a 10 week old puppy that we've adopted. Nobody knows what he is. Dad is unknown and mom was a 25lb brindle mix. First people said that he has some lab in him, but most of the people say that they see features of a pit.    What do you think?       http://www.rockyou.com/photos/photo_view...     http://www.rockyou.com/photos/photo_view...     http://www.rockyou.com/photos/photo_view...     http://www.rockyou.com/photos/photo_view... 
20090304175957AANAL0Q	Pets;Reptiles	Can i feed my fired belly toad anything else than crickets ?	please help me
20090304182829AAWfQVH	Pets;Cats	He wont let me sleep! (cat)?	My 3 yr old cat insists on laying on me while I sleep. I got used to it.      Now he wants to sleep on my HEAD. He wakes me up multiple times all night doing it.      Locking him out of the room is not an option, there's no door lol      Any ideas?
20090304175348AANa0bV	Pets;Dogs	Is it safe to move 5 week old puppies outdoors?	I have 8 Australian Shepherd pups and they are getting to be a big handful, especially in the house. They ruined the carpet, and it smells awful. mother dog keeps escaping and so do the puppies out of their exercise pen, and today they tore up the house while I was sleeping. They are still pretty small, they will be 6 weeks old on the 6th and I am wondering how they might handle the cold? I live in Cali and it gets about 35-40 at night. They are not use to being out there so. Also is it ok if they are with their father in the outdoor pen? Mother will be with them but I am not sure how things go with dad if they are together a long time. He seems good around them when they are all playing outside and seems sorta afraid of them. He is a very gentle dog. What do you think to both of these questions? Thank you very much.
20090225070844AADqK0z	Pets;Rodents	My rat is making clicking noises what does this mean?	My other rat eats just fine.
20090304175455AAWPqpQ	Pets;Horses	Left and Right lead canter?	Okay so if you're riding and someone says "pick up your right (or left) lead canter," how do you know which direction is right and which is left?? I still get really confused, which shouldn't be happening. Is the right lead the lead where to your left is the outside of the ring, and to your right is the inside of the ring?     thanks for answering!
20090304180650AAr5nRs	Pets;Horses	Question on horse behavior?	Do you think all horses (meaning all breeds etc,) are born with the same potential to have the same awareness in a natural environment?   I have heard that arabians for example are more aware than say, a big warm blood. Do you think this is true and if so why? Like if arabians evolved in hot climates (hence why they are called hot bloods), do you think that had an effect on their "awareness" vs. the cold environment of the cold blooded horse?
20090304185206AAd7W4f	Pets;Dogs	My dog has a sore on her head? What can i do?	A few days ago i noticed that my 1 year old rottie had a bump on the top of her head, she seemed to not like being touched there. I figured she must of bumped her head on the coffee table or something cause she has done that before...and if it wasn't better in a few days i was going to take her to the vet    well she has been itching there today and before as well and just now i found clumps of fur on the ground.   When i looked on her head i noticed she was missing a large clump of hair(about the size of a nickel) and it was bloody, i was just wondering if any one has any ideas what may have caused this and what i can do to keep her from scratching at it and making it worse. i will be taking her to the vet in the morning but need ideas how to get through the night. thank you!
20090304185207AArnJxz	Pets;Dogs	My dog has a sore on her head? What can i do?	A few days ago i noticed that my 1 year old rottie had a bump on the top of her head, she seemed to not like being touched there. I figured she must of bumped her head on the coffee table or something cause she has done that before...and if it wasn't better in a few days i was going to take her to the vet    well she has been itching there today and before as well and just now i found clumps of fur on the ground.   When i looked on her head i noticed she was missing a large clump of hair(about the size of a nickel) and it was bloody, i was just wondering if any one has any ideas what may have caused this and what i can do to keep her from scratching at it and making it worse. i will be taking her to the vet in the morning but need ideas how to get through the night. thank you!
20090304175604AAeHiNJ	Pets;Birds	How do my friend get his budgie to trust him again?	Yesterday, there was a little tree incident. I was at my friend's house and he let a bird out, but he didn't realize that the wing feathers grew long again. He let the budgie out outside, thinking he won't fly. But then the budgie attracted a couple sparrows. The budgie flew up to his tree to talk to the sparrows. He got him down by shaking the tree.  And also his little sister scared the bird and it kept opening its mouth. It used to be nice, but now, the bird bites when you do step up.
20090225071140AAGA74W	Pets;Other - Pets	I think my rabbit is dying. What can I do to help her?	I went down to get something, and she was laying on her side. She's 6 years old. I brought her up with me, and i noticed that she is really frail looking. Her eyes are all droopy and she's not very aggressive, when she usually is. At first she was eating really slow, but now shes not eating at all. What can I do to help her eat and drink??
20090304180137AArUlse	Pets;Dogs	PLEASE HELP MY DOG.....?	What should i do with my dog?! my grandparents are coming in april and they always leave the door open and also my mom wont pay attention as much to my dachshund and closing the door behind her so im scared she will run out the door again and get hit by a car and killed.... we dont have a fence outside and she is an indoor dog what should i do to make sure my dog is safe.. im scared and she has no where else to stay while my grandparents are here...! :( the problem is that i will be at school and not at home tending to the dog   thank in advance...
20090304180215AAnXNrZ	Pets;Dogs	How do I know if my dog swallowed a needle/pin?	I caught him chewing on a pin cushion, with a few pins and needles on the floor, but I don't know if he actually swallowed one.      This was about 5 hours ago...if he did swallow a pin or needle, would he have shown any signs or symptoms by now? I don't want to end up taking him to the vet and having wasted all the money for nothing, because money is tight and my mom would get really angry.      so should I worry about this? how do I know if he swallowed anything?      =[
20090304175247AAWgdG2	Pets;Dogs	Why so judgmental when someone has to re-home a dog for a valid reason?	My sister has a debilitating illness and just found that out 3 months after adopting an 8 month old Lab puppy.She also has 3 school age kids,and recently lost her job.She asked a question last week about the best way to re-home this pup,and people were not nice about it at all.She was so upset that she finally deleted the Q.Sometimes circumstances beyond a person's control make it necessary to find a new home for a pet.She will be spending long hours at the hospital,and the young and energetic Lab would be in a crate all that time.
20090304180727AA00e5q	Pets;Cats	My unneutered male cat always meows..?	He is around one year ten months old.   He is unneutered, as I said.   He is always meowing. He has always been loud, but he does this meow all of the time.    He very scared of everything so, if you stay still and you watch him, he opens his mouth and meows and closes it. They are quick meows in themselves, but he goes on with it for a long time.   He doesn't seem to do this when he is on my bed. He purrs a bit too much when he is on my bed, and sometimes pees.       I think that neutering him should take care of this, but what do you think?      If it means anything, we also have a female spayed cat and another unneutered male.
20090304185218AADvMpC	Pets;Fish	How long is the gestation period of a fancy guppie?	I have one male and two female fancy guppies I bought at petsmart a couple months ago and the store associate told us that the two females were pregnant and the gestation period was 1 month.  They got really fat for their size and they haven't given birth yet.  Does anyone know what could be going on with them?
20090225070348AADibJK	Pets;Cats	Owners that have had a blocked cat?	This past weekend, my kitty had an urinary blockage.  He was released from the vet Saturday night and is on s/d food and baytril antibiotic.  I have been monitoring his urine.  He was urinating fine, but now I'm not sure.  He is passing urine but only in very small amounts.  He is acting normal.  He's not straining, crying or spending a lot of time in the box.  He just goes in the box, passes a small amount of urine and walks away.  Am I just over worrying?
20090304183830AA31Twp	Pets;Dogs	Are dog bites really very serious ?	I got bit by a large male Dalmation today. He grabbed my forearm in his mouth and wouldn't let it go for a minute. It's not a bad bite. It's bleeding, where the two fangs broke the skin, but the bites aren't deep at all. It doesn't even hurt anymore. And the owner of the dog showed me proof that he had had his rabies shots. Do I really need to go to the doctor? I don't have health insurance. Can I just take care of this myself now ?
20090304184808AAftnis	Pets;Fish	How much would it cost for me to do a saltwater aquarium?	i want to set up a small reef aquarium. i already have a 20 gallon tank. how much would it cost if i wanted live sand a bit of live rock and a few "plants" corals etc. and the aquarium maitenance stuff and the filter etc.
20090304185351AAECPqr	Pets;Cats	Male cat neutered options?	I have a male cat and talked to the vet about having him neutered.  There were a lot of options that could be purchased after the initial charge.   they were:   $ 63 for the basic Neuter    $ 35 For it to be done with a laser   $ 48 For blood work, to check liver/ kidney function   $ 12 for post op pain medications    I would not even think about skimping on the pain medication, but Was wanting to see what other people have done for the prep blood work and laser.  ( they explained it to us that the laser would just take the place of the scalpel.)
20090304181726AA1jtan	Pets;Horses	I'm looking for a good show name.?	I'm trying to think of a show name for a gelding at our barn. He's a really cute 15.2 or something horse. I stress his adorableness. The catch is- the show name has to have a 2, or a two, or a to, or a too. Like Table for  Two, or Step To It, or Too Good. But I can't use them... I really liked Touche- but then I found out that another local horse had that name. So- please help!!!!!
20090304182122AAdJghO	Pets;Fish	How do i lower my nitrites?	i have a 10 gallon tank with one cichlid in it and hes been a little trooper but im having great difficulty getting his water into and acceptable range every thing is fine except for NITRITES.  do water changes very frequently with his tank ive done atleast 6 this week! but it is still high. i want to put another cichlid in ther with him so he will have a friend but i cant until his water stabilizes and his activity level has decreased and he isnt really eating.
20090304182411AAIkivp	Pets;Fish	Is this to small for a figure 8 puffer fish.?	all i wanted was to put one figure 8 puffer fish which grows 3in. at max. into a 10 gallon fish tank. i will use sea shells are rearrange them every so often since they can get board of how it looks. i would like to use live plants that way it can slowly change the take look buy the plants getting bigger and bigger. and a sand bed maybe. but the pet store guy said that is not the best idea ever and i would need marine salt.
20090304183237AAOtZnx	Pets;Cats	Is it okay if cats eat tree limbs?	I was just wondering because stray cats and stuff.. Does it harm them at all? What does it do to them if they eat it?
20090304185129AA8HDBL	Pets;Fish	What is your favorite fish?	I think mine might be discus. What is yours? Fresh and saltwater.   No wrong answers
20090304181054AAdZgS9	Pets;Dogs	My little dogs shlong??????????????????????	Ok this little dog here:    http://i316.photobucket.com/albums/mm337...    Goes ape crazy with his pillow. He is 11 months old and is neutered. His birthday is in 17 days!(Extra Info).    And when he doesn't get the pillow he will cry so loud. His penis is red like a hot dog. Is this normal for a neutered dog.
20090225070731AAnRS2V	Pets;Reptiles	What are boa's natural enemies?	Do boa's have a lot of natural enemies? Please list some of them or a web site for it would be much appreciated.
20090225070237AAqmDfb	Pets;Birds	Does it hurt to handle baby turkeys?	I just bought 2 baby turkeys and was told not to handle them too much cause it would make them sick. Is this true? I have children and they are wanting to hold them.
20090225070300AA1UkeL	Pets;Dogs	My dog is about 7 weeks pregnant (i think),her appears larger than usual and is dripping fluid,is this normal?	Her vulva appears larger than usual
20090225070414AABe7U0	Pets;Cats	What's wrong with my kitten?	since yesterday she has had a bloated stomach and won't lay on it. She lays on her side and rolls on her back. She'll even scoot on her side.
20090225070915AAHNJxO	Pets;Cats	Is this normal for my cat?	okay my 5 1/2 month old cat just got spayed yesterday and when she got home she was really drowsy and drugged from the medication and just wanted to relax but the next morning she was all hyper and started purring playing with her toys? the doctor gave me 4 days of pain medication for her everynight at 8pm i gave her some last night but now she seems that she feels better do i still need to give her the medication for the next 3 more days??
20090225070519AAwrmSA	Pets;Cats	Is it bad to sleep with your cat?	Was just wondering cause my cats been sleeping with me since i got him.. about a year ago but some people have told me that it might not be good for me?
20090225070555AAxB9pT	Pets;Dogs	What is the best.? tea-cup yorkie, 8 yrs old. be gone for 7 days. Board her or family members come in to care.?	she will be by herself most of the time in her own home.  The Pet Motel is really nice and she will have total care.
20090225071152AApjxc2	Pets;Dogs	Any Ideas on How to Fatten up My dog?	I have a Brussels Griffin.  He eats fine and is happy, but he's way skinny. He weighs about ten pds which is normal for a Brussels Griffin, but he has something else in him, and he's a lot taller than a normal one. He's really skinny and you can see his ribs. Any ideas on how to fatten him up?
20090304175240AAXFxqL	Pets;Dogs	I have an issue with my dog please help?	Hi i was wondering if there is anyway to make my dog stop barking at people he doesn't know. He's a white German Sheperd and we want to have some1 babysit him b4 we leave to back home to california. PLz HELP THK YOU
20090304182810AAmY9uL	Pets;Dogs	Siberian Husky is violent to other dogs? HELP!?	We have a almost-2 year old siberian husky. We had to buy him a big crate, because he isn't good if we leave him around the house (chewing up things, chasing cats, etc.). Anyways, so about 6 months ago our boston terrier came up to the crate to sniff it. Our husky charged at him and was attacking him very violently. He actually did quite a lot of damage! Our boston terrier had a huge slit in his throat that almost killed him! I don't want this to happen again (it has, but not AS bad) but i don't know how to stop it. We tried hiding the crate somewhere else, but our husky still was protective of it behind something! We need help fast before something else happens! What do I do?
20090304175659AAmDAc2	Pets;Horses	Saddle suggestion for my Quarter Horse for reining?	I want to start reining on my horse, and need a saddle. I inisit that I should get a reinig saddle, but my parents say that I should get a saddle that has the option of doing more than just reining. Does such thing exist? And can anyone give some names of inexpencive saddles for this?
20090304180307AAbXlCu	Pets;Reptiles	Can you breed both RES turtles?	I am thinking about getting 2 RES turtles and i want to be able to breed them. can i?
20090304184508AAaJnS4	Pets;Other - Pets	Why do you think my rabbit died?	I had a 2 year old American Dwarf Rabbit and he died Monday. I live in New Jersey and the weather has been weird here but the temperature in my house has been about the same. The rabbit lived in the house and he showed no signs of being ill. I recently found out that the pet store I bought him from gets their puppies from puppy mills and they might get their rabbits from a place similar to puppy mills. I didn't feed him vegetables that week because I ran out, but I don't think a week would hurt him. He always had clean water. I did recently buy a new food for him because it was cheaper but the people at the pet store said it was a bit better for him then the stuff I was giving him because it has more nutrition. I told the person that I haven't given him vegetables for a week and he said if im feeding him that it will make up for some of the nutrition he lost for not eating vegetable. I bathed him 2 weeks prior to that and he jumped out and he landed weird but he acted just fine so I assumed he was okay. I felt him for broken bones and he didn't react like we was in pain and I didn't feel anything. I checked him the next whole week for bruises and found nothing. If you need more information let me know. Thanks!
20090304180733AA0zQsj	Pets;Dogs	How can I get involved in Agility training with my border collie mix?	I don't have time to drive over an hour (one way) to the nearest center, but I think she and I would enjoy agility. My pup is about 2 years old and very energetic... I'm looking for some very specific instructions or plans for making the obstacles in an affordable way.      Thanks for your help and advice!
20090304181122AAA3HiP	Pets;Dogs	STRONG PUPPY PEE SMELL HELP !!!!!!!?	I had a puppy, and he use to poo and pee next to my bed in my bedroom and i had to cover it with newspaper, turns out the pee penetrated (Duh!) through the paper and into the CARPET, now he always peed in one area of my room, and i finally gave him away, and 2 months later, my room is has this strong dog pee smell,and it really gets into my nose and throat, to the point where i have to cover my nose and sleep like that 2 MONTHS LATER !!! WITHOUT HIM   Now please anyone    HOW CAN I REMOVE THAT SMELL OFF MY CARPET !!!!????   I know where the source is , where it's coming from, it's one area but how do i possibly remove that smell, i tried to spray lysol all over that area NOTHING some cat cleaning spray only worked for 3 days, then smell came back, NO I CAN'T AFFORD TO REMOVE THE CARPET   PLEASE HELP ME WHAT DO I DO !!!??????????????   I CAN'T TAKE THE SMELL, WHILE I PLAY MY XBOX THAT SMELL IS DISTRACTING OMG HELP!!!
20090304181107AARt1yv	Pets;Other - Pets	What do hedgehogs need to survive?	Hey im getting a hedgehog soon and i need to know everything they need like wat kind of cage,bedding,food,special water,vitamins ...everything PLZ HELP!!
20090304181332AALMT95	Pets;Dogs	How long after giving birth can dog go out and bath?	N/A
20090304181845AAnzBso	Pets;Dogs	Does anybody know the names of Marley the dog's owners are?	In Marley A dog like no other, does any body know what marleys owners names are?
20090304181852AA4S8L0	Pets;Dogs	Can u give a dog peptobismol?	mine has diahreah & i cant take her to the vet..she wont eat
20090304182142AARsdnQ	Pets;Other - Pets	Why do domesticized animals like being petted?	Horses, dogs, and cats all enjoy being stroked, scratched, and pet.  Why is this?  Does it have to do with the way their mothers licked them when they were young?
20090304182157AAfnYuQ	Pets;Dogs	Lumps on my dog, looks like a wart?	My dog has a little lump that almost looks like a wart on the back of her neck, she had one on her side, but I think it went away. It's not growing, it's kind of a yellowish color and I just don't have any clue what it is. Please help!
20090304182453AAdLWyu	Pets;Dogs	I have to give away my dog to someone, but i can't find out who to. is there any community sites?	i have to give away my dog ,but i dont know who to. i already posted my dog on craigslist, but i can't find any trustworthy owner. i told everyone i am close to if they would like to have my leo as their new pet, but no news yet. is there any ways i can give my dog to a home that is very safe and can get love?
20090304182800AACYjPY	Pets;Other - Pets	Why did my dwarf bunny die?	i bought a bunny that was about a couple of months old and i had it for three weeks. i came home and it was dead! i feed it the bunny hay and those bunny pellets and gave it good water that i drink. i dont know why it died! i always played with it and petted it and gave it love as much as possible. i didnt give it any carrots or vegetables because i know some kill bunnies.   however the night before my mom gave it this ultra tiny piece of rice krispies. do you know if that killed it? i feel so HORRIBLE!
