20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20070404145810AAm9x0u	Entertainment & Music;Television	Im looking for  tv shows to  watch  does any  one have any  suggestions?	im looking  for tv shows similar  to  my  favorite ones : the shield ,nip tuck, the wire , greys anatomy, huff,dead like me , any  shows  similar nothing  thats involving western like dead wood   any  suggestions  also   does any  one know where i can  get  season 6 episodes  of the shield  my  directv  got  disconected and im wondering  if there is a web site with  the current  episodes
20070404191642AA3JKBJ	Entertainment & Music;Celebrities	Does Anybody know how old Audrey Kitching & Zui Suicide Are?	just wondering. this is totally off subject but, they have the best hair ever. f'realz.
20070405125305AAHTUN8	Entertainment & Music;Television	Qual personagem q vc acha mais e o menos engra?ado do EU a Patroa E as Crian?as??	N/A
20070405174132AAm32Bo	Entertainment & Music;Music	What is this song and who is it by?	It's the one where it goes" from the window to the wall, to the wall. can u help?
20070405174320AAfGpfp	Entertainment & Music;Music	Can iPods use songs from Napster?	N/A
20070406082637AAffVrc	Entertainment & Music;Television	Vote for the best?	Are there any sites devoted to getting rid of the Awful anerican Idol contestants?  If not we need to start one. NOW.
20070406141033AAIXW5W	Entertainment & Music;Music	Who sings this song ?	the song is in the video on the link below, and the video dosen't start playing the words of the song until the video has played for a minute.    http://youtube.com/watch?v=47EBLD-ISyc
20070410120023AAAKibj	Entertainment & Music;Polls & Surveys	Wat came first the chicken or egg?	N/A
20070410120542AAcD1L8	Entertainment & Music;Polls & Surveys	Which is the place in the world?	it should b great wid cool climate.less population.beautiful location,lots of girls
20070407132548AAe0mYl	Entertainment & Music;Music	Dose any on know the name of this vietnam protest song?	i cant rember the name of it but it gose and the girls walk by in their summer dress. that all i can rember of it. it was also on that game battelfiled Vietnam.
20070407190335AAdh2cH	Entertainment & Music;Polls & Surveys	What else is the force used for?	since it is not helping me to get off of this toilet.
20070407214351AAKzWR4	Entertainment & Music;Television	Porque  a televis?o brasileira n?o investe mais em coisas que dar?o algum retorno?	N/A
20070408123348AAFs5bh	Entertainment & Music;Movies	?Qué película de amor me recomendaríais que viera con mi chico?	Una que le haga ponerse sensible.
20070408134444AAd1412	Entertainment & Music;Movies	?Cual es la mejor pelicula que vista durante este 2007?	N/A
20070408150701AA4MtvC	Entertainment & Music;Music	? como se llama esta cancion ?	hay una cansion que dice algo asi como " i wanna rock the rock the rock the rock.. one two three the rock the rock " algo asi repite mucho esa palabra y es komo de un se?or ya grande de edad si alguien me puede dar la respuesta ahh y si no saben por favor no respondan por que seran reportados.
20070408153529AAPbpQB	Entertainment & Music;Music	Imeem Playlist Skipping Songs?	I don't know if anyone else has this problem while listening to any imeem playlist but whenever I listen, it skips over every other song so I have to manually go back and play the song it skipped.  Is there something I'm doing wrong or something wrong with my computer?  Do you know how I can fix this problem?  Thanks.
20070501061937AA0drdn	Entertainment & Music;Music	Does anyone know these lyrics???	i really have racked myn brain trying to think of the rest of the lyrics and the song its self please help.   (oh just so you know these might not even be the exact lyrics) well they go something like      why is it they ask why we break up? instead of why we were together in the first place?      I'm so sorry this is all i can think of and i don't know who sings i understand if no one can answer me!   It is a fairly recent song      thank you
20070410111435AAYcqAh	Entertainment & Music;Music	Alguien sabe de quien es esta canción??	Quiero ser para ti la copa de cristal que beba en tus labios...      (Estribillo) Quiero que me grabes en la cara los besos de tu boca, quiero que me arranques del alma mis palabras de amor, y despues que me lleves contigo de noche y de día viviendo tu mundo y so?ar en tus brazos y morirme... de amor.
20070411131747AAOBtBG	Entertainment & Music;Music	Come si chiama la canzone di gigi d'alessio che canta spesso francesca del grande fratello?è vecchia credo...	N/A
20070411191215AAm3kjy	Entertainment & Music;Television	What musical group has the theme song for CSI new york?	part of the song goes.."I don't need to fight to prove I'm right, I don't need to be forgiven"
20070412101728AA83B9R	Entertainment & Music;Jokes & Riddles	Bravi romanisti bu bu settete?	Volevano passare alla storia e ci sono riusciti.  E' la prima volta nella storia della champions league che una squadra perde 7 a 1 complimenti.  Meno male che c'era titti quello che dovrebbe vincere il pallone d'oro, a proposito dicono che a comprato casa in un nuovo quartire di roma 7 ville.  Lo sapete che gli ha detto a cristiano ronaldo mentre lo rincorreva:"a cristi 7chiappo".  All'old trafford de rossi onora il suo ottavo re di roma francesco titti con un gol, agli altri 7 re di roma c'hanno pensato l'inglesi.  Al mercato: offerta speciale 11 carciofi 7 sterline.  Ciao
20070412145017AAAUTdv	Entertainment & Music;Celebrities	How to become famous?	Do you think I should go on America's Next Top Model? (even though there are never any TOP models) Or American Idol (even though they have to do gay musical numbers, and are basically owned by AI until they die) oh yea or should I be famous for kidnapping someone?
20070412212803AAwp3Zq	Entertainment & Music;Comics & Animation	Naruto Shippuuden Ep. 8-9?	Youtube deleted 8-9 and now i have nowhere to get it.  does anyone know where i can find these episodes with english subtitles.  i dont want to download anything.  is there a way?
20070414080449AA1ePnF	Entertainment & Music;Television	Inferno III?	Did they do any advertizing for this!? I watch alot of MTV and didn't know the new Inferno was starting until a half hour   before! I would have been so mad if I would have missed it! Were you glad to see CT go? I like to watch him, but he was out of control and I admit I was a bit disgusted! But then I saw Derrik was taking his place and was so happy. He's my all time fav!!
20070414093552AApFvql	Entertainment & Music;Movies	?Al guien sabe como se llama la pelicula en la que un ni?o tiene de mascota un puerco?	Me han dicho que es la de el puerquito valiente pero no es es esa . La que quiero se trata de un ni?o que tiene un puerco de mascota y lo lleva a todos lados con él.
20070414114532AANHIEW	Entertainment & Music;Music	In the song barbie girl, does the lyrics go" If you say i'm always yours"..or...."you can say i'm always yours	N/A
20070415061902AAtOGYl	Entertainment & Music;Music	Como piensas que sera la vida en la tierra en el a?o 3.000...???	N/A
20070415063133AA9wPXE	Entertainment & Music;Jokes & Riddles	Me podeis decir algu acertijo d esos como el de Cuanto es la mitad de 2+2?	aver si me podeis decir alguno cn la respuesta para acerselos amis amigos que ellos siempre me los estan aciendo y yo no me se ninguno...
20070416110313AAuWHQH	Entertainment & Music;Music	Concert tickets - is it best to buy standing or seated tickets? its at wembley arena!?	N/A
20070416174026AA0LYJc	Entertainment & Music;Movies	What ringtone/song name is that from Beethoven In The Movie Disturbia?	Ok so Whenever The Mother Calls her daughter, theres this funny beethoven scary ringtone that goes off and i cant seem to find it please anyone..GET BACK TO ME ASAP! [the blonde chick[hot neighbor] that shia labeouf/house arrested guy has a crush on]   someone HELP ME!
20070417054126AAmBc0N	Entertainment & Music;Movies	Does anyone from which movie "dekha tujhe yaar" is?	N/A
20070417080231AAQj8Lp	Entertainment & Music;Television	Where can you watch Grey's Anatomy questions for free outside of the U.S.?	N/A
20070417180506AARXZEg	Entertainment & Music;Celebrities	K tengo??????	hace casi 3 a?os que me gusta un tipo, anduvimos, pero solo como 1 semana, creen k estoy obsesionada, clavada, o enamorada??
20070417184720AAhgG6D	Entertainment & Music;Music	Cual es el mejor tema de reggeton o cumbia??	tengo el w300 y quiero bajar un tema bueno q les guste a todos y esa clase de musica les gusta a todos       gracias x su opinion !!!!!!
20070418053420AA37buX	Entertainment & Music;Polls & Surveys	A pessoa que é surda é deficiente auditivo, o que é cego é deficiente visual mais e o que é mudo é o que?	Pow eu estava aq na minha sala sentado no sofá, derrepente me passou isso pela cabe?a srsrsr, coisa de quem n?o tem nada pra fazer né?. Mais parando para pensar é realmente confuso pq o deficiente da fala pode se enquadrar eu deficiente auditivo pq quem é mudo é sudo tb, mais isso n?o é generalizado por que se  a pessoa ficar muda por acidente ou doen?a ela é que tipo de deficiente?
20070419104040AA5WM8A	Entertainment & Music;Movies	Where can i download free humtum movie?	N/A
20070419175533AA2vtvO	Entertainment & Music;Celebrities	T gustan los chicos tímidos?	hi  esta pregunta va solo para las chicas xq es personal    ami si m gustan los chicos asi y en este momento estoy templadisima d un chico super lindo y a la vez timido   algunas dicen q un chico q no t mira a los ojos  es un mentiroso o no muestra su verdadera cara, pero tambien cuenta q tal vez tenga miedo q en sus ojos c pueda ver lo q siente realmente   a mi m parecen los mas sinceros d este mundo lo digo por experiencia    quienes comparten mis gustos???
20070420161928AAQ9lJu	Entertainment & Music;Polls & Surveys	Will you hold my hand when we cross the street?	N/A
20070420202937AA1FXPG	Entertainment & Music;Celebrities	DE donde sacaron que Ricky martin es gay?	Puede ser que lo sea no se olviden de que supuestamente ahora tiene novia?
20070421181320AAaaLbK	Entertainment & Music;Music	?Cual es la cancion que mas odias?	Que no toleras... que no aguantas y por que...      las mias son      lO grande que es fornicar... jaja perdon se llama "Lo grande que es perdonar" con gilberto santa rosa y vico C      Y noche de sexo... odiosas!      Saludos!
20070421093549AAvIlzv	Entertainment & Music;Television	Is john barrowman (captin jack harkness) going to return to doctor who?	and when?    Thanks!!! :-)
20070421163601AAOl8FN	Entertainment & Music;Television	Como se mide el rating televisivo???	N/A
20070422180400AAJ7irM	Entertainment & Music;Celebrities	Bow wow do you love carie?	N/A
20070422220647AAJb8Lj	Entertainment & Music;Television	When can I watch Desperate Housewives?	I missed tonight's episode of Desperate Housewives.. I know that you can watch it on ABC.Com but my question is when? I live in the Central Time zone and if any one knows at what time it will be available to view,, Please let me know... Thanks
20070423140247AAOfrAl	Entertainment & Music;Music	Whats a custom guitar.?	Can you like make specific requests on what it has as features or something.
20070424112258AAzvBhs	Entertainment & Music;Music	Does anyone know where I can download the song from Gerardo - Rico Suave?  iTunes doesn't have it.  Thanks.	N/A
20070426090339AA64oKF	Entertainment & Music;Polls & Surveys	When's the last time you saw some action?	It's been three days for me. My girlfriend has her monthly visitor. Although she said I'm welcome to come in the back door. We'll see.
20070426135350AA0Wz2S	Entertainment & Music;Music	Quem é seu cantor favorito? Por que?	Ele canta o quê?
20070427035439AA5knJ8	Entertainment & Music;Jokes & Riddles	Im looking for jokes, riddles, mind games, anything?	Im looking for amazing facts, cool jokes, stupid pick-up lines, anything that you believe is funny. I've been looking for a while and can't seem to find anything new. Thank you.
20070427061259AAx46GO	Entertainment & Music;Music	Estou procurando músicas para o meu casamento e para a noite de núpcias, algumas sugest?es?	N?o gostaria de entrar com as mesmas músicas de sempre.. irei casar ao ar livre...   Obrigada pela ajuda.
20070427212751AAmM0rg	Entertainment & Music;Celebrities	ANTM - who was the 9th girl got eliminated in Cycle 8?	N/A
20070429101159AAVeBQx	Entertainment & Music;Jokes & Riddles	What do you think of this video?	http://www.youtube.com/watch?v=6jSEYbYh6...    Funny?
20070429101730AAKMz0P	Entertainment & Music;Music	Remakes of James Brown songs?	Get up (I feel like a Sex Machine) remake. Female vocals.    Does anyone know the artist who did this remake?       Thanks in advance!
20070430050353AAUhViU	Entertainment & Music;Music	What is the song title of these lyrics?	"down, down, do your thing, do your thing, do your thing   down, down, do your thing, do your thing, do your thing      ...      to the left, to the left, to the left,   to the right, to the right, to the right"    --------------------------------------...      Someone said, "That's lyrics of Work It Out of Kanye West"   and "That's Irreplaceable of Beyonce!"      But that wasn't!!!      I really wanna know what is this song title!!      Help me!!!
20070430084038AA6jyNB	Entertainment & Music;Celebrities	Alguém sabe alguma coisa sobre Rarry Potter?	Rarry Potter e o personagem principal do filme Rarry Potter.Ele e branquinho e tem olhos azuis e cabelo castanho escuro.
20070430130157AAJWfp8	Entertainment & Music;Television	I watched the movie.....?	Cocktail last night and I was wondering, at the end when Tom Cruise's characters friend killed himself on the boat how did he do it? did he shoot himself or cut his throat or what?
20070430130537AAadmDZ	Entertainment & Music;Music	Produttore musicale?	chi mi dice come faccio a diventare produttore? mi interessa molto la musica e i gruppi emergenti, quindi ora, a parte i soldi, che per ora non ho...che faccio?
20070430143445AATHBzT	Entertainment & Music;Jokes & Riddles	:) I don't want to tell you how to.....?	A fireman looked out of the firehouse window and noticed a little boy playing on the sidewalk.  He had small ladders hung on the side of his little red wagon, and a garden hose coiled up in it.  He was wearing a fireman's hat.  He had the wagon tied to his dog, so that the dog could pull the wagon.    The fireman thought this was really cute, so he went out and told the little boy what a great looking fire truck he had. As he did, he noticed the dog was tied to the wagon by his test**les.  The fireman said, "Son, I don't want to tell you how to run your fire company or anything, but I think if you would tie that rope around the dog's neck you would go faster."    "Maybe so," said the little boy, "but then I'd lose my siren!"
20070522132311AAYmdq9	Entertainment & Music;Movies	Do you think it would be better if Frank Miller direct & wright Apocalypto instead Mil Gibson?	Frank Miller he did a good job of the 300 movie. Would you say it will be great if Frank Miller direct & wright Apocalypto? And why?
20070611163801AAzo6GM	Entertainment & Music;Polls & Surveys	Did your parents keep your teeth,when they fell out?	Will you keep your childrens teeth?   I've kept both my kids teeth.
20070626145351AAdpWdH	Entertainment & Music;Polls & Surveys	Im going to go eat a taco with my friend named ________________?	N/A
20070608192936AAfs2Oj	Entertainment & Music;Polls & Surveys	Is it just me or was Dirty Dancing one of the most watched movies by Chicks??	I was just wondering because i love that movie still it is sad when you can recite the whole movie.Me and my brother use to practice those moves when he holds baby over his head.. But we just stuck to the swimming pool
20070626153558AAe0EFr	Entertainment & Music;Polls & Surveys	If you were traveling a 1000mph...?	how long would it take to get from earth to mars? (I know the answer closest one gets the 10 points).
20070615110517AAVP5hr	Entertainment & Music;Polls & Surveys	Have you ever bumped into your HSchool Sweet Heart...(read for more)?	If you bumped into them what did you say if anything? how did you feel?
20070615130727AAGVC6E	Entertainment & Music;Polls & Surveys	OK how much will I make tonight in TIP's?	(I'll always ask this question before I go to work)   Remember the closest to the right answer gets the 10 points. View my "question history" to get a general idea on how much I make tonight.   I work in 2 hours (6pm my time) and I work from 6pm to 12am. I deliever pizza's... and it's a Friday, how much do you think I'll make?   REMEMBER CLOSEST TO THE AMOUT WILL GET THE 10 Points.   Good Luck
20070727104418AAoVSoS	Entertainment & Music;Polls & Surveys	Who thinks this video is funny?	This is a video if me(the white girl on the right) and my friend singing Britney Spears', Baby One More Time.       Tell me what you think. And I dont care if you say its not funny because I think it is.       http://myspacetv.com/index.cfm?fuseactio... 
20070520133518AAAGQsF	Entertainment & Music;Comics & Animation	Can you identify this popular Sci Fi Artist (1950s era)?	Can you identify this 1950s era Sci Fi artist?   I once had a calendar with artwork taken from the covers of those old 1950s pulp Sci Fi magazines, such as Amazing Stories.      One picture I am especially interested in finding can be described as follows: an American astronaut is laying on a gondola in the canals of Mars, surrounded by beautiful human-looking Martian women feeding him grapes, while a Martian in his true monstrous form is secretly crawling up the side of the boat to stab him.       I thought the artist's name was Virgil Finlay. However, when I look at his artwork online, it is not the same style. The style I remember looked more like this:  http://www.rainfall.com/posters/scifimag...       Please do not bother giving me answers such as, "check ebay". I have looked all over the internet. I must be misdirected in my searches.
20070727180903AAWoYSf	Entertainment & Music;Music;Rock and Pop	"rock your socks off" and phrases like that?	what are some phrases like "rock your socks off" having to do with rock n' roll?
20070520173540AA72cVl	Entertainment & Music;Movies	What is the best movie of all time? mine is Boyz in the hood followed by scarface,  then bad boys 1.?	N/A
20070613170937AAQEnKr	Entertainment & Music;Polls & Surveys	I was just sitting there....?	when all of a sudden I look up and saw....?
20070614105049AAwR0DQ	Entertainment & Music;Polls & Surveys	Who had to slow that Mustang down?	what year was the Mustang?  what kind of feet did he have to put on the ground?    Just for the fun of it all. Thanks for answering.
20070905160010AAXKF3d	Entertainment & Music;Polls & Surveys	What do you think this means when you read it?	2008 models have arrived
20070605173650AAdy7ej	Entertainment & Music;Polls & Surveys	WHAT'S THE FIRST PERSON THAT POPS IN YOUR HEAD AND WHY????	N/A
20070502154529AAVXSKv	Entertainment & Music;Polls & Surveys	What would you do...?	In a pickle patch?
20070614000809AAAZRn2	Entertainment & Music;Movies	Who would have believed that the one eyed pirate could be romantic in POTC3?	When he whispers in Calypso's ear.
20070626154515AAtGyG3	Entertainment & Music;Polls & Surveys	I got some ocean front property?	here in AZ any takers...  I need the extra money...lol
20070809123127AARYzjW	Entertainment & Music;Polls & Surveys	Do you think we could get Mark to turn on the fire?	Hydrants in P & S Park so that the kids can cool off
20070602172047AADMfgb	Entertainment & Music;Other - Entertainment	Are you more like doc ock or the green goblin??	Are you more like doc ock or the green goblin??      1. you are   a. Wild and crazy!   b. a little calmer than the other guy.      2.when your friends try to talk you out of doing something stupid..   a. i get seriously mad at them!!!   b.ignore them and continue doing it anyways!      3.you would rather...   a. fly around on a glider   b. control 4 extra arms      4. finally,,, are you   a. sarcastic, intelligent,   b. have a heart, and can be serious.      here are the answers:   more a's: haha! you're like the green goblin!!!!!   more b's: you're like doc ock   here are mine:   1.b   2.b   3.b   4.b   woah, freaky but at least i get to be in control of those extra arms!!!
20070503090550AAkqPu6	Entertainment & Music;Polls & Surveys	Do you prefer the exciting over the practical things?	N/A
20070506191413AAQQNIo	Entertainment & Music;Movies	What is the other language they use in the lord of the rings?	N/A
20070612171329AAIVIXW	Entertainment & Music;Polls & Surveys	Do You Like To Eat Chocolate During The Summer?	i don't. its too hot and the chocolate melts very fast.
20070504174038AAd7dck	Entertainment & Music;Music	What are some new Reggaeton Songs?	N/A
20070508230547AAv0IzJ	Entertainment & Music;Other - Entertainment	All you Aussies our there??	I love Michea Hudsons , he was so awesome!!!!! What do you think  really happened to him/??  I heard all the stories, what is you opinion??
20070605140936AAJGAVU	Entertainment & Music;Polls & Surveys	?las mujeres mas wapas de mexico 100pre vienen de guadalajara??	un ejemplo: MARIA INES DE TV AZTECA( EL AMOR DE MI VIDA)      y tmbn jaqueline bracamontes.      pero pricipalmente maria ines.amo guadalajara.   wow! ahorita estan pasando un comercia, donde sale maria ines.tan wapa como 100pre...      tmbn contesten:    http://mx.answers.yahoo.com/question/ind... 
20070612162052AAAqpwS	Entertainment & Music;Polls & Surveys	Is there anything that you mate does?	that keeps you up at night.besides snoring.
20070613135108AA2Dm9f	Entertainment & Music;Polls & Surveys	Marraige survey..what makes u want it and when ???	N/A
20070611154854AA3uoo5	Entertainment & Music;Polls & Surveys	Do you prefer the coffee table or the dining table?	N/A
20070611155228AAH4GFz	Entertainment & Music;Polls & Surveys	What size drinking glasses/cups do you prefer?	any reasoning behind it?
20070702144951AAaYsse	Entertainment & Music;Polls & Surveys	For the Ladies: Is your boyfriend sweet and thoughtful enough to shower you with gifts?	even if there's no occasion?
20070710175632AA0Dix3	Entertainment & Music;Polls & Surveys	Should I change my avatar to a pic of my cat?	I had enough pervs asking me about spanking and if I need help drying myself off.  Be grateful that I'm skipping details.
20070601190251AAG24Qa	Entertainment & Music;Polls & Surveys	Have you ever sold something and now regret that you don't have it?  What was it?	I gave away my waterproof MP3 player after I stopped lifeguarding.  Now, I want it back because I am going to start swimming laps again.  I wish I would have kept it!
20070606072600AAZ4zjZ	Entertainment & Music;Movies	Quien ha sido el mejor gangster del cine?	N/A
20070706181506AA5eNbv	Entertainment & Music;Other - Entertainment	Viernes de pachanga, a donde me invitan, soy de veracruz?	N/A
20070513060243AAhq8Zu	Entertainment & Music;Television;Other - Television	Concours eurovision: une fois n'est pas coutume?	je suis attere des questions depuis hier soir sur ce concours, archi, ultra, hyper nul, comment peut on apprecier un truc pareil  limite debile.c'est absolument pas representatif de quoi que ce soit. ma question est: suis je le seul a vomir ca?
20070820085431AAYkN8r	Entertainment & Music;Polls & Surveys	Quien ya esta harto de tanta injusticia por parte Yahoo?	Que no te quieran publicar una pregunta para despues borrartela y con el pretesto de quererte infraccionar y robarte puntos, yo ya les declare la guerra, quien se une.....   SALUDOS....
20070625133026AAydQYU	Entertainment & Music;Music;Rock and Pop	?Cual es tu Top 10 de canciones de Queen?	N/A
20070930100031AAjIt9F	Entertainment & Music;Movies	Melhores efeitos especiais?	300 de Esparta   Senhor dos Aneis   Cruzada   Piratas do Caribe
20070521150910AAd4Ug7	Entertainment & Music;Polls & Surveys	Você disputa o Pc, o Game, a Tv com seus filhos?	N/A
20070803095549AAPoglb	Entertainment & Music;Polls & Surveys	What's the funniest thing you've been asked by a little kid?	What's the most ridiculous, outrageous, stupid thing you've ever been asked by a younger sibling or some other little kid?      For me every time I babysit a certain two and half year old, the first words out of his mouth are "where's your car?", not even hi or anything it's always "where's your car?". I know it's not funny written down, you have to be there when he says it.
20070622140114AAi07Fz	Entertainment & Music;Polls & Surveys	What happend to the old P&S?	I miss BigBald, NOT_George_Bush, Blair (the REAL one) and all the old regulars who were deleted, or fed up with all the 'crap' going on in here.   The teenybopper preps have taken over with their stupid proms, and there are more trolls then ever.....    Who else misses the old P&S?
20070623222339AAvswcx	Entertainment & Music;Polls & Surveys	What are trolls?	N/A
20070628163819AAXoqxZ	Entertainment & Music;Polls & Surveys	Why don't pasties cover ....... more? All are NOT the same- obviously.?	N/A
20070626162121AAEwKxb	Entertainment & Music;Polls & Surveys	What the hell are you waiting for?	N/A
20070612074416AAf1COX	Entertainment & Music;Polls & Surveys	Hola alguien apoya al doblaje MEXICANO!!??	SI me encanta soy MEXICANA. LEAN esto:      AUDIOMASTER 3000    INTERTRACK (SM, DBZ,      ? Sabías que......       1 . - el doblaje mexicano es EL MEJOR DEL MUNDO.      2.- nuestra lengua es un bien cultural, y que el doblaje ayuda a preservarlo.      3.- el doblaje es una expresión artística tan creativa como cualquier otra, y que para realizarlo se requiere de un alto grado de especialización.       4. - HAY QUIEN PRETENDE PROHIBIR POR LEY EL DOBLAJE DE PELíCULAS AL ESPA?OL, CULPANDO AL DOBLAJE DE QUE MODIFICA LA VERSION ORIGINAL.      5.- existen diecinueve empresas de doblaje en México.      6.- dependen de la industria del doblaje más de 1700 familias, que representan más de 8500 ni?os y adultos mexicanos, y que gracias al doblaje, México recibe más ciento cincuenta millones de pesos anuales.      7.- el doblaje mexicano se exhibe en casi todos los países de Latinoamérica, e incluso en Estados Unidos.      8.- en la mayoría de los países del primer mundo se exhiben en los cines películas doblada.
20070710131141AA1nccy	Entertainment & Music;Polls & Surveys	Cual es la presentadora de t.v. que mas te gusta?	N/A
20070708181216AA72T6m	Entertainment & Music;Polls & Surveys	I think I'll go take this band of wheat off my head?	what do you think?  be nice
20070712033144AAJD4dJ	Entertainment & Music;Jokes & Riddles	Have you heard this oldie...?	After a few days, the Lord called to Adam and said, "It is time for you and Eve to begin the process of populating the Earth so I want you to kiss her."      Adam answered, "Yes Lord, but what is a 'kiss'?" So the Lord gave a brief description to Adam, who took Eve by the hand and took her to a nearby bush.      A few minutes later, Adam emerged and said, "Thank you Lord, that was enjoyable."      And the Lord replied, "Yes Adam, I thought you might enjoy that and now I'd like you to caress Eve."      And Adam said, "What is a 'caress'?" So the Lord again gave Adam a brief description, and Adam went behind the bush with Eve.      Quite a few minutes later, Adam returned, smiling, and said, "Lord, that was even better than the kiss."      And the Lord said, "You've done well, Adam. And now I want you to make love to Eve."      And Adam asked, "What is 'make love', Lord?" So the Lord again gave Adam directions, and Adam went again to Eve behind the bush, but this time he reappeared in two seconds.      And Adam said, "Lord, what is a 'headache'?"
20070718090009AAkzEQ7	Entertainment & Music;Polls & Surveys	Dammit I didn't get a lotta answers the first time....?	Which one is the best one?   Or are they all too skanky to rate??       http://i36.photobucket.com/albums/e26/az...       I personally think Chicka is the best.
20070611172441AArY1wO	Entertainment & Music;Polls & Surveys	Are you ready to go?	What are we going to do?
20070823074258AADmos3	Entertainment & Music;Polls & Surveys	Favorite Things?	Favorite Color :   Favorite Beverage:   Favorite Band/Singer:   Favorite Movie:   Favorite Website:   Favorite Food:   Favorite Day:   Favorite Month:   Favorite Person:   Favorite Song:   Favorite Hair Color:   Favorite Fruit:   Favorite Flower:      hmm...can't think of any more favorites...
20070803095827AAXq9Gt	Entertainment & Music;Polls & Surveys	Which Elvis did you prefer...."Blue Hawaii" Elvis or belly hanging out Elvis?	N/A
20070507070851AAN6DkP	Entertainment & Music;Celebrities	Avete mai avuto una storia con un VIP?	domanda scema per pura curiosità...   non è obbligatorio dire il nome.   Io mai.
20070528132634AADqHxT	Entertainment & Music;Movies	Does anyone know where i can find this song from the office space soundtrack?	it's called 'mambo  8' and it's by perex prado. it plays in the very beginning when our fave office employees are driving to work. i looked on rhapsody but all they have are the original versions. the one in the movie is much faster. i guess the only way to find that particular version is on the soundtrack, so i'm looking for a download of the movie version. thanks.    p.s. office space is the funniest movie!! i've only seen it twice and i'm in love with it.
20070914053653AAsWBqx	Entertainment & Music;Television;Reality Television	BB8 Voting...Where do I go?	Where do I go and vote for who I want Eric to vote for and hope get to win?  Please help. Thank you.
20070512022627AAvQuSL	Entertainment & Music;Music;Lyrics	Metade, de Adriana Calcanhoto... vc sabe interpretar?	Ent?o, vamos lá... a melhor interpreta??o de texto, leva os 10 pontos!   Bj grande           Bom fim de semana, gente!         Metade      Adriana Calcanhotto   Composi??o: Adriana Calcanhoto      Eu perco o ch?o, eu n?o acho as palavras   Eu ando t?o triste, eu ando pela sala   Eu perco a hora, eu chego no fim    Eu deixo a porta aberta    Eu n?o moro mais em mim   Eu perco a chave de casa   Eu perco o freio    Estou em milhares de cacos, eu estou ao meio    Onde será que você está agora?
20070614125831AAEdeJn	Entertainment & Music;Polls & Surveys	? Las fuerzas de la autoridad cachean a los famosos en busca de sustancias ilegales ?	Aparte de eso:       ? Las fuerzas de la autoridad se dedican a investigar a las Estrellas del Escenario - sea el que sea -, sobre si llevan drogas o tienen en su casa un arsenal ?      Porque yo no lo sé...
20070820025948AAnFKUU	Entertainment & Music;Polls & Surveys	My birthday!!.....????	hey guys today, 20th august, is my 17th birthday!!...so how should i celebrate my birthday today?? something different, something new...any ideas??
20070726212642AAt0x1q	Entertainment & Music;Polls & Surveys	Qual é a coisa mais nojenta ou estranha que vc ja comeu?	Ehehehe, se alimentou!         Gostou? Comeu mais de uma vez? comeria novamente??         >|=D
20070729101000AAhtd38	Entertainment & Music;Celebrities	Da nova gera??o qual o melhor ator do momento?	(internacional ;cinema falou?!)
20070602213937AAJc6t6	Entertainment & Music;Music;Other - Music	Que critérios voce usa para se vestir e quais suas preferencias musicais?	N/A
20070602214822AAgozl9	Entertainment & Music;Movies	Cite um filme e uma musica que tenham te marcado ou que fa?am parte da tua história e por que?	N/A
20070504183853AAVnpNQ	Entertainment & Music;Movies	Quem voce acha melhor como critico de cinema Rubens E.Filho ou José Wilker?por que?	N/A
20070805133529AAeHtbK	Entertainment & Music;Polls & Surveys	Qual foi o último filme que viu no  CINEMA?Gostou? Me fale 1 pouco sobre ele....?	Assisti ontem "Luzes do Além" 2,gostei + que o primeiro.   Adoro suspense,e achei este filme bem pertubador.rsrsrs      Bjkss a vcs...
20070725051950AAE2UhD	Entertainment & Music;Polls & Surveys	A liberdade nos" escravizou"?	Estamos t?o confusos com este "excesso " de liberdade na sociedade,que ? sabemos + o que queremos?      Bjks e bom dia.
20071115054540AA7KN6A	Entertainment & Music;Polls & Surveys	Qual é o sabor do BEIJO APAIXONADO pra vc?	? vale qualquer bj.      Tem que ser o Bj de quem a gente ama.      Bjks e bom dia a todos....
20070606191313AAOMtJc	Entertainment & Music;Polls & Surveys	How Often Do You Shave?	N/A
20070603130439AAgINo1	Entertainment & Music;Music;Other - Music	Who lks the song U and Ur hand?	N/A
20070711072209AADXsl6	Entertainment & Music;Movies	Quiero saber si los protagonistas de la película los 10 mandamientos Charlon Heston y Yul Bryner continuan  ha	Quiero saber si Charlon Heston y Yul Bryner continuan haciendo películas o ya se han retirado pues  la película los 10 mandamientos me gustó mucho
20070627162246AAPh0RQ	Entertainment & Music;Music;Other - Music	What do you think about the lyric of the song "Eyes on Me" from Final Fantasy VIII ?	tell me your opinion about it
20070615082439AAgjIT0	Entertainment & Music;Other - Entertainment	Cual es el libro mas aterrador y perturbante que has leido?	.... aparte de la biblia en la parte del apocalipsis...X_X....   para mi el psicoan alista..X_X
20071008181847AAvgJqx	Entertainment & Music;Television;Drama	?Existe o existio una serie mejor que la de heroes?	?Y existe o existio una serie que trataba de una fraternidad o escuela donde empiezan misteriosamente a matar a alumnos?
20070628073355AAMKFn8	Entertainment & Music;Polls & Surveys	Why are you walking with a limp?	Was I that rough?  That's the last time we drink Tequilla.
