20090309232421AAIV19H	Games & Recreation;Video & Online Games	What's the next class update for Team Fortress 2?	I'm hoping for Demoman. Then Soldier, then Engineer, then Spy.
20090227095333AAgzZaG	Games & Recreation;Video & Online Games	Age Of Mythology freezes?	I have had this game for 3 years and played without a problem but after a recent virus infection, whenever I try to "Play Game" after inserting the disc, the whole screen freezes, and nothing can be run anymore, including Task manager, so I need to turn off the PC using the external power button.      I have latest Directx, Video Card drivers from Intel, have used CCleaner, and think the virus is gone (there have been no further signs of infection).      Any kind of help appreciated.   I have plenty of free memory, RAM and a decent processor. I have windows XP Pro, with SP3.
20071003175842AA0ymz8	Games & Recreation;Video & Online Games	I need info on halo 3?	ok i didnt get the ending so plz explain and is masterchief a girl?
20090227112606AAhOaIw	Games & Recreation;Video & Online Games	Does anyone still play really old championship manager games ?	I am tempted to start playing really old championship manager games like 99/00 or something, partly because i can't seem to master the new editions.   Does anyone else play or prefer the older versions ?.
20090227075220AAx64SA	Games & Recreation;Video & Online Games	Please help,can someone recommend some good martial arts games for ps2. Thank's.?	N/A
20081116103437AAAdEEe	Games & Recreation;Video & Online Games	Can my computer run COD4??? PLZ take a look!!!?	it is a windows 95.   it can run stuff like minesweeper with no lag.   my friend told me it could run COD4, cause minesweeper uses the same engine as COD4.   I think they might use a different engine though, my friend has been wrong before...   plz help
20090227095457AAJWTf6	Games & Recreation;Video & Online Games	What is 40% of $93.50 please help?	well thats about it
20090227103912AAfwcKD	Games & Recreation;Video & Online Games	Is there going be a Shaman King game come out on Nintendo DS?	N/A
20090227075246AAnKPvM	Games & Recreation;Video & Online Games	Fs2004...keyboard not responding?	i play fs2004 and when i got to change view apply parking brake or something the keyboard doesnt work but has previously can anyone help plz
20090227101620AAv8ong	Games & Recreation;Video & Online Games	Sims 2 beds going mouldy like?	A while a go i installed 2 new expansion packs. I loaded a family i already had from before i installed the new packs. i looked at the beds and the wooden bit had strange dark brown patches and patterns on. It looked like the bed was mouldy and rotting (only the wooden bit and not the quilt) strange. It only happened to 1 type of bed throughout all my games. i deleted it and put in a new one. fine.   Has this happened to anyone else? Does anyone have a clue what happened?
20090227074707AAjEQ6o	Games & Recreation;Video & Online Games	How do i use mod the sims2?	Hi, i have tried to download off of mod the sims2 but when i go to sims 2 i can't use them without screwing up my game, can anyone tell me how to download off of mod the sims properly and what i need to do it i would really appreciate it, thank you.   :D
20081116103031AA7rUBt	Games & Recreation;Video & Online Games	What is YOUR xbox live Gamertag? Just for fun. (But I will award coolest/funniest with 10 pts)?	I suppose ill start:  My banned account: Itz Kapn Kronik   My new account: xbL blackout
20090227101546AAfq3UB	Games & Recreation;Video & Online Games	Fallout 3 - Killing three Dog?	So I spoke to this DJ, helped him repair his dish and found my dad...however this whack cat has been dissing my **** royally over the air waves I helped him get!  Telling people not to read my survival guide, calling me a scum bag for killing some Ghouls and even trying to pin the blame of megatons "accident" on me!  What gives? give a guy a hand and he stabs you in the back.  Well I have been considering this and decided it's the right choice...shut this mofo up via the use of several bullets!  My question is, what are the repercussions if I do?  Anything cool to look forward to or just another dead dude?  Thanks!
20090227104132AA6WCqK	Games & Recreation;Video & Online Games	What are some terrain codes for Animal Crossing: City Folk?	I want to put bulletin boards and rocks everywhere without using Actoolkit alot.      Can some one give me a link to AC:CF for the terrain codes, or just post them here directly?      Thank you!
20090227100827AAuuZzv	Games & Recreation;Video & Online Games	Did some dude in China actually die while playing World of Warcraft?	I've heard stories of some guy in China that actually died while playing World of Warcraft. They say that he was so addicted to the game, he didn't eat or sleep and he actually starved to death while getting sleep deprivation or something, and he was only eating cups of noodles. Did this seriously happen?
20090227103347AAwoVk5	Games & Recreation;Video & Online Games	How do you get alot of monny on runescape?	im stuck!
20090227103722AAZjAcW	Games & Recreation;Video & Online Games	What is the key to increase my level faster?	METAL GEAR ONLINE
20090227111708AAXEf8O	Games & Recreation;Video & Online Games	Sims2 downloading sites?	I want to find a good site to download alot of sims2 meshes, like clothes and hair and stuff like that :)   ive got some sites already    ex: modthesim      but i cant seem to come across a really good one.      Please help :)
20090227093953AAAc3Uw	Games & Recreation;Video & Online Games	Is it possible to download games to my flash drive and use that drive to upload the game files into my xbox 36?	im new to xbox 360 and i dont have the internet
20090227095221AA42A73	Games & Recreation;Video & Online Games	I need a hacker so i can get on my gaia online account again?	ok so like a couple weeks ago i was banned from gaia online and i need someone that knows how to hack so i can get all of my stuff back
20090227102304AAhvrWz	Games & Recreation;Video & Online Games	On cod5 nazi zombies how do i start a online game?	can ya instruct me how to get nazi zombies online
20090227102851AAzzstV	Games & Recreation;Video & Online Games	How do you get aroows on football manager 2008?	How do you put arrows going forward on the player positions
20080508084714AAyIedu	Games & Recreation;Other - Games & Recreation	GlOCHINO......TEST!!!!?	Gioca come si deve, e sopratutto non barare!                               Questo gioco ti impegnera solamente 3 minuti.                               Provalo, ti spaventera. La persona che lo ha spedito dice che il suo desiderio si e realizzato 10 minuti dopo averlo letto.                               Ma niente inganno! Questo gioco ha strani e spaventosi risvolti.                               Non leggere in anticipo, ma nell'ordine, punto per punto.                               Ci vorranno 3 minuti, e credimi, ne vale la pena.                      Scendi un rigo alla volta. Non leggere oltre, rovineresti tutto.                               Via!                               1. Scrivi i numeri da 1 a 11 in una colonna.                               2. A fianco ai numeri 1 e 2, scrivi 2 numeri a tua scelta.                               3. Vicino ai numeri 3 e 7, scrivi il nome di una persona di sesso opposto. Due nomi diversi, ovviamente, di persone che conosci bene, e nel farlo, segui il tuo primo impulso.                               Non leggere oltre in anticipo, o non funzionera.                               Piano piano...                               4. Scrivi il nome di tre persone (amici, famigliari...) vicino ai numeri 4, 5 e 6.                               Non barare, sarebbe un peccato.                               5. Scrivi 4 titoli di canzoni vicino ai numeri 8, 9, 10 e 11.
20090227095851AAMnTgI	Games & Recreation;Video & Online Games	About halo 3 matchmaking?	Where can I find a group of 3 - 4 people who will help me in Team slayer or Team swat.. OR Even team doubles to get my 50.. Im 33 in team swat 32 in slayer and 42 in doubles.. Was 46 Im a brig with 7245 legit customs, 1105 ranked and 358 social and won 800 .      PAYING 4000 MICROSOFT POINTS AND/ OR 12+1MONTH GOLD
20090227101528AAM5zlE	Games & Recreation;Video & Online Games	Where on the net can you play poker like on the gaming machines, free of charge?	N/A
20090227102649AAA6mS8	Games & Recreation;Video & Online Games	Video game that requires a list of weapons?	I found a paper in this guys notebook that had a handwritten list of weapons (like guns, knives, bombs, etc.) with a number written down to each weapon. The entire thing was written in really tiny handwriting, like he wanted to keep it hidden. Is there a video game that requires you to handwrite a list of weapons?
20081116103311AAYzfoF	Games & Recreation;Video & Online Games	Question about Red alert 3?	When i play red alert 3 my mouse buttons just stop working for a short time. i can still move my mouse around but i cant left click, right click or middle click. theres nothing wrong with mouse because it works normally on my desktop and other games. How can i fix this?
20081116104516AApjg8Y	Games & Recreation;Other - Games & Recreation	Question about Red alert 3?	When i play red alert 3 my mouse buttons just stop working for a short time. i can still move my mouse around but i cant left click, right click or middle click. theres nothing wrong with mouse because it works normally on my desktop and other games. How can i fix this?
20090227101137AA0v7o1	Games & Recreation;Video & Online Games	Is my copy of Fallout 3 at all fixable?	From what I can see there is little scratching or marks on the disc but the game freezes and crashes a lot. Before it wasn't as bad but now I can't play the game for more than a few minutes without something going wrong. Would scratch repair help? Or is it a memory issue? I'm playing on Xbox 360 (premium not elite, is that an issue?).
20090227102007AAyZIFh	Games & Recreation;Video & Online Games	Sims 2. I cant get the Inteenmotor to work,?	I only have the game for the  PC and I downloaded the Inteenmotor and put it in the downloads file.  Can you tell me what to do now
20080501160111AA3AT18	Games & Recreation;Video & Online Games	Is there a way to have two or more people play GTA 4 on one xbox... besided online i mean like on one TV?	N/A
20080311170117AAGjESG	Games & Recreation;Video & Online Games	Where can you get umd replacement cases for the psp?	pics here       http://www.aeropause.com/archives/images... 
20080311172058AAqcHCb	Games & Recreation;Video & Online Games	Whats that one game called where they show u 2 pictures and u have to c what i wrong with them????????	They show u two pictures and they are the same and u try to figure out what is wrong with the picture???? NEED ANSWER PLEASE TELL ME CAUSE I LOVE THOSE GAMES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!...
20080315142644AAV6v6L	Games & Recreation;Video & Online Games	Can i play an american/japanese ps3 game online in the uk?	N/A
20080315144117AAHLi1u	Games & Recreation;Video & Online Games	How do i download the newest verson onto my psp and where do i save it?	i really want to download verson 3.90 onto psp or whatever the newest verson is but i dont no how to download it, where to download it and where to save it    can you help me?
20080315145203AAyDyar	Games & Recreation;Video & Online Games	Sims Stories?	I know there are not as many options for Sims Stories, but they are supposedly "Laptop Freindly". How are they laptop freindly compared to the sims 2? I know you cant add expansion packs and stuff, but which one is better? Let me add the factor that The Sims 2 has "jacked up" my toshiba laptop in the past, and I did a system restore-- now its fresh. So is sims stories a good alternative for sims lovers?
20080315150232AAUG1ac	Games & Recreation;Video & Online Games	Help with a username?	i need a gamertag one with the word "wolf" in it and no colors in the gamertag name
20080315151822AAUiVjz	Games & Recreation;Video & Online Games	Sims2 PC game?	Hi everyone   in the sims2 game with all the expansion already , i have created alot of familys and stores in riverbloosom hills , but now there is another neighborhood i wants to move everyone to , how can i do that withou losing my house and people and stores ?
20080320144131AAwEWx4	Games & Recreation;Video & Online Games	How do you speed up game downloads?	its saying that it needs to take 14hours to download
20080320144154AAJppZE	Games & Recreation;Video & Online Games	What do you think is better? Super Smash Bros. Brawl or Super Smash Bros.  Melee??	...   Brawl??      or      Melee??
20080327115337AAdHfis	Games & Recreation;Video & Online Games	What should my Millsberry person's name be?	I have a new account on millsberry. And, for those of you that know about this site, after you sign up, you get eto name and create a character. I am not sure what to name mine, so please help!!! PLEASE! Thanks!
20080331052630AAsfAiC	Games & Recreation;Video & Online Games	Can someone give me some games wesbite??plzz?	i REALLY bored any good games website i can go on ??   thanks
20080331114302AAIlLwP	Games & Recreation;Video & Online Games	Phone game problem?	I have a razor and i just bought unlimited Surviving Highschool.   and i tryed to stop playing the game, and it said 'do you want to quit" and i said yes. and now the game isn't listed!
20080331114435AApNcwK	Games & Recreation;Video & Online Games	Psp analog stick problem help!?	Ok. so i was trying to take out my analog stick to replace it with a new one. but then the thing it attached to cracked. should i take it in to gamestop?
20080403130919AAuM2rG	Games & Recreation;Video & Online Games	Big game hunter 10?	how do you get past the first fly fishing hunt on big game hunter 10? i cant catch any fish.
20080403131756AAXeJBL	Games & Recreation;Video & Online Games	In GTA: Sand Andreas can u change ur characters skin color?	can cuz i want to kno cuz i want to  buy it and aslo can u tell me if its a good game
20080403132424AAfCAmJ	Games & Recreation;Video & Online Games	Can you get a new psp slim if your old psp phat stops working and you have warrranty from gamestop?	N/A
20080621112539AA5lkCQ	Games & Recreation;Video & Online Games	Can and how do you customize your appearance on Halo 3's Xbox Live?	I was wondering if anyone here knew how I could possibly change my appearance on Halo 3's Xbox live. I realized I just looked like a standard spartan and everyone else is unique. Does anyone know how I could change my species or amour.       Thank you answerers :]
20081020071550AAOOZyj	Games & Recreation;Gambling	Casino and online gambling advertisments?	don't you think they should put a stop or a limit to these as everywhere u go and look, billboards,tv, internet etc is advertisments for gambling, thats how people get hooked. what are your views?
20081021080135AADK0kP	Games & Recreation;Video & Online Games	How do I level up range without leveling up HP in runescape?	I want to be a range/R2H pker but I dont want to level up my hp so i can stay at low combat level.   =   my stats are   337 att   36 str   1def   25 magic   34 hp   1 range      36 combat.   I am a member      is there anyway that i can level up range without increasing hp? thanks.
20081022073639AA7FUQM	Games & Recreation;Video & Online Games	Is there a way I can play Halo (1, 2, or 3) online without using an X-Box?	I remember seeing my cousin playing Halo online with other people from around the world and he didn't have an X-Box hooked up to the comp. I don't have an X-Box so is there a way I can still play Halo live with other people from around the world (or country or w/e) without an X-Box? (not xconnect or w/e, that requires an X-Box). thanks!
20081022074729AAIHhh6	Games & Recreation;Video & Online Games	Madden NFL 09 - Brett Favre?	So I have Madden NFL 09 on my PSP and I couldn't find Brett Favre on the Packers nor the Jets.  I was wondering how can I play him?  Or if that's even possible.  Any help would be appreciated and thanks in advance.  
20081022125717AAnescF	Games & Recreation;Video & Online Games	Building the perfect f2p Pker on runescape?	At the Moment,   he's 40 def, 63 strength, 70 range, 23 prayer, 63 hp      Since pvp is out, and it goes up to a High CB level, I feel that I should raise defense   I'm not sure of good stats atm,   and I don't like to Train to much, Then I can't PK a lot.   so someone give me good stats?
20081022130201AAIVExr	Games & Recreation;Video & Online Games	What is your favorite Zelda game?	well, what is it? ^_^
20081028125407AA7rp6Y	Games & Recreation;Video & Online Games	Runescape halloween outfits?	On Runescape, there is the halloween event, where you talk to Maggie and she gives you two quests, you do them both, then you get the purple and orange halloween outfit. But I have seen people in black and orange - how did they get them?!
20081028130717AAjdeiU	Games & Recreation;Video & Online Games	Any adults play runescape?	Hello everyone.  I just want to know if any adults play runescape?  All I seem to run into are kids!      thanks
20081119123011AAB3VwO	Games & Recreation;Video & Online Games	Is call of duty 4 better than call of duty world at war?	video games   
20061209062235AAXwFfB	Games & Recreation;Hobbies & Crafts	Any idea where to get beading patterns?	I'm specifically looking for beading brick stitch patterns.  I would like to do more christmas themed ones and I am having a hard time finding them.   Any help would be appreciated.   Thanks :)
20070428161033AA6OlR7	Games & Recreation;Video & Online Games	How do you play nfl blitz on mame arcade emulator?	N/A
20080927222846AArzkvr	Games & Recreation;Video & Online Games	Gamer Chicks Fetishes?	is it weird to like feel like the only way that you would go out with a girl was if she was a gamer? i dont mean it in a shallow way i mean it like the only way i could truly connect with a girl was if she was a gamer
20070822215257AA42XI2	Games & Recreation;Video & Online Games	Why do I keep getting a message saying I've been barred from rooms when I try to play a game?	I keep trying to play pool with my boyfriend, and he says his end loads, but I keep getting a message saying I've been barred from playing in that room until some weird date in 2021 and I've never played a yahoo game before so I can't see why I've been barred
20071125095725AAu0ev2	Games & Recreation;Video & Online Games	***What's the song playing in Assassins Creed comercial????***?	Do you know? There's a commercial and it has this warrior about to fight and background music comes on.
20071128145522AAyNTst	Games & Recreation;Video & Online Games	Does ne one know of a really good games website???	N/A
20071129130341AApMOf6	Games & Recreation;Video & Online Games	This isn't a question but it is a fact i found out. There is a special way of catching shinys.(pokemon games)	It is not from the pokeradar or an action replay.  If you have a previous evolvation of a pokemon and you want that pokemon shiny.  Before you reach it's final evolvation you have to hold that evolvation of for around 27 to 33 levels(I would do 40) and then let it evolve and it will be shiny!!  It is not a glitch!!  That is how I got a red gyarados in my firered and pearl.  I trained my magikarp from level 5 to level 56 and it became a shiny when it evolved but it wasn't shiny before it evolved.(WARNING:  SINCE LEGENDARIES DON'T EVOLVE YOU HAVE TO TRY YOUR LUCK WITH THEM.)  Also that if you breed a pokemon for an egg around 22-27 times one of the eggs is going to be a shiny pokemon.
20071207114846AAD3282	Games & Recreation;Video & Online Games	I just got xbox live now I need a cool gamer name. Without any numbers or spaces.?	N/A
20080217155801AA2vCGh	Games & Recreation;Video & Online Games	What price do retailers buy psp's at?	What price to retailers like wal-mart or gamestop buy gaiming devices such as psp's or ps3's at?
20080302120948AAcexpD	Games & Recreation;Video & Online Games	I downloaded a PSP game. How do i install it on my psp?	well, i downloaded a psp game(harvest moon) and i want to play it on my psp; can somebody plz explain me exactly how to do this? i made a folder game in my PSP and pasted the iso, but it sais corrupted data...
20080710065102AAWzsSo	Games & Recreation;Video & Online Games	Character name for WOW?	I need a character name for a Warlock that i'm going to start playing on, but i'm not very creative when it comes to names.       Please help me, all you creative souls outthere
20081008191034AAmgRqE	Games & Recreation;Video & Online Games	Will there be specially made games just for the DSi system?	I don't want to buy a new DSi system, I want to keep my DS lite. Will games be compatible to the DS Lite after the DSi is released? 
20081028192821AAJiOPz	Games & Recreation;Video & Online Games	MY BLUE HEART EVENT FOR SKYE WONT WORK! HELP! harvest moon cute question?	the guide said its not tuesday or sunday so i went on wednesday. It still wouldnt work! I went at 8:10 am and it didnt go. I tried on a tuesday and it worked for the first cut scene with flora and carter but the second half wouldnt work! helpppppppppppppppppppppppppppppppp
20090227071646AADe63i	Games & Recreation;Video & Online Games	When will Art Of Murder 2 Hunt for  Puppeteers be realesed?	Only thing I found is demo...Please answer...
20090227083041AAaSR8b	Games & Recreation;Video & Online Games	Legendary Pokemon GBA AR?	what are some codes for legendary pokemon on sapphire gba using action replay ??
20090227083421AAwNoGR	Games & Recreation;Video & Online Games	Can you play created levels online in Super Smash Brothers Brawl?	I mean it would seem like you can if you send him your levels?
20090227093951AAWArsR	Games & Recreation;Video & Online Games	How do you unlock new characters in mario cart wii?	how do you unlock new characters in mario cart wii
20090227094610AA2P6zR	Games & Recreation;Video & Online Games	How do I do Akuma's Ultra Combo on Street Fighter IV?	The combo list says Light Punch > Light Punch > Charge Backwards > Light Kick > Heavy Punch.      I've tried too many times to count and I still can't do it. Do the arrows between each part of the combo have a certain significance?
20090227094801AAAY3kK	Games & Recreation;Video & Online Games	I can get to putting code in but nothing happens then i can not play any games?	not play any games
20090227095053AAIvwc1	Games & Recreation;Video & Online Games	Why can i now not join a chess room? Error logging on to server almost very time.?	I used to have no problems and it seems to get worse each time. also the number of people in each room stays the same from day to day. related?
20090227095126AAnS67U	Games & Recreation;Video & Online Games	Metal gear solid 3!!!?????	i finished the game once that means i get the patriot rite??  but i don't know where to find it pleas tell me how i equip the patriot and pleas leave in any additional info.too!!
20090227095149AAyC7nz	Games & Recreation;Video & Online Games	How do you rank up in Killzone 2 online? Also is it posible to rank down?	how do you rank down if you can, only answer if youve pklayed killzone 2
20090227095539AAmk9pS	Games & Recreation;Video & Online Games	Ds games?????????????	whats the best site to download ds games
20090227100154AAQdKUP	Games & Recreation;Video & Online Games	From where can i download Star Wars Demolition?	From where can i download Star Wars Demolition for free?      plz help!!!:(
20090227101130AAcZ2hd	Games & Recreation;Video & Online Games	My sims 2 social worker keeps turning up!?	Everytime I log onto one very important family, within two sims hours (two mintes here) one of the social workers turns up. I think it is because the child has a D - but I can't find her homework and it is night so she can't get to school anyway.      I don't know how to stop her taking the kids away because it won't let me access build or buy mode so moveobjects is out of the question. I tried turning the social worker into a toddler but she drove off and the kids went suddenly. Help?!
20090227101153AA9b1mO	Games & Recreation;Video & Online Games	Which game unreal tournament 3 or battlefield bad company?	i will be getting both for 360, which will provide more playing time online or offline
20090227101241AA7KyUQ	Games & Recreation;Video & Online Games	What are the best professions for my class: WoW?	I just started a new tauran shaman and i was whondering what professions woild be best for this class. Any suggestions?
20090227102232AAqmSAm	Games & Recreation;Video & Online Games	How do I convince my mom to get me an Xbox 360?	I already Have a wii, but its not as sociable. The Wii is more of a party type console, i want a console that can be fun while playing by myself.
20090227101544AA7Lkye	Games & Recreation;Video & Online Games	Which pc game should get (options below)?	Dawn  of war complete collection   lord of the rings battle or middle earth 2   Half life 2 : orange box   Medieval 2 total war
20090227102423AAFS5pl	Games & Recreation;Video & Online Games	How much money has bungie made from all halo related materiel?	N/A
20090227102607AA1gva6	Games & Recreation;Video & Online Games	Does Pirate bay or ISO Hunt work for you?	I have never downloaded a game from either of these sites, but has anyone downloaded and gotten a game to fully work on their pc. If so, what game(s)?
20090227102749AAJRcNT	Games & Recreation;Video & Online Games	Trying to find old video game.?	Game Details:   -You Create 4 Characters at starts, One is blue, one red, yellow, green. Basic Classes, Fighter, Archer, Healer, Mage   -Medieval (Swords and Magic)   -Turn Based Combat, Character Can move across map and attack once per turn.   -You start off in a castle, given a quest and leave the castle to find monsters. Able to gain levels.   -2D, Gods View (You look down on them)      -Old system (Cant remember which but I remember having it on either NES,SNES, or Sega..      (Note: Not Final Fanstay or Ultima) :)
20090227103033AAvqWgM	Games & Recreation;Video & Online Games	Will the Sims 3 run smoothly on a macbook pro unibody?	I'm a self-confessed illiterate when it comes to computer specs. I just wanted to make sure if the sims 3 would run smoothly on a 15-inch macbook pro unibody. I plan to install the sims 3 on windows xp via bootcamp. :)
20090227103220AApDQc4	Games & Recreation;Video & Online Games	Can anybody tell me a link where i can downlaod Super mario bros 3?	I searched the whole web with google, but i coudnt download it.. can anybody plzzzzzzzzzz???
20090227103354AATeH2j	Games & Recreation;Video & Online Games	Can someone please help me with COMBAT ARMS!!!?	ok so i have that fail to update protection module thingy.  PLEASE SOMEONE TELL ME HOW TO FIX IT.  It was jsut working yesterday I dont know why its not working today. HELP!!
20090227103523AAfLmC8	Games & Recreation;Video & Online Games	Broken Xbox Controller (Right Analog Stick).?	On my xbox 360 elite controller, when i try to look up or down, on games such as halo or call of duty, it doesnt work, the control is set to default movement, so looking up or down on halo is the right analog stick. im not sure why, but please help, and ive had my xbox since christmas, could just be worn out, please, answer back!
20090227103711AA7oFhb	Games & Recreation;Video & Online Games	Looking for a Cod 5 waw boosting clan?	call of dudy 5 world at war boosting clan is what im looking for, for xbox360
20090227103832AANHwb1	Games & Recreation;Video & Online Games	Can I be the RIVAL character in Pokemon DS games?	Can I be the RIVAL character in Pokemon DS games?      link:  http://www.pokemonelite2000.com/sprites/... 
20090225095247AAzdPLn	Games & Recreation;Hobbies & Crafts	What do you like to see at arts and crafts fairs?	i'm setting up my first booth in a few months at an arts and crafts fair, but still debating on what to sell. i can make pillowcase dresses for little girls (6months-3T), handbags, clutch bags, wallets, coin purses, beaded necklaces, earrings.       so, what do you personally like to see?
20090225094330AA41UrN	Games & Recreation;Video & Online Games	What's better about the XBOX 360 Elite than the Premium?	From what I've heard, the Elite has...      Bigger hard drive,   Faster,   Slightly better graphics,   Chrome black finish.      I think that's right, have I missed anything out?
20090225100845AAR45yN	Games & Recreation;Hobbies & Crafts	What hobbies do you consider nerdy?	What hobbies do you consider nerdy?
20090225101016AAO5LmO	Games & Recreation;Toys	Barbie doll fake? How can you tell?	Does anyone know what to look out for when you buy vintage Barbie dolls. I am no collector but would like to know if I am buying original or fake Barbies for my grand daughter. I saw some at a local bootsale but even though they had the Mattel mark on the back and the date, someone said they were not original?? They definitely looked fine though
20090225095928AAUB53R	Games & Recreation;Other - Games & Recreation	Tounge Twister Anyone? 10pts waiting....?	Read it   Memorize it   Repeat it out loud      One smart fellow, he felt smart   Two smart fellows, they felt smart   Three smart fellows, they all felt smart         What you got?!
20090225092756AAge6F0	Games & Recreation;Video & Online Games	Please. Xbox360. Help?	has anyone got one of those xbox live memberships you get free with games.  If so can u please send the code to stoneylabest@hotmail.com
20090225100923AA3VQ9M	Games & Recreation;Video & Online Games	Should i get farcry 2, sonic ultimate genisis collection and dark sector for 70 bucks?	for ps3. is that a good deal?
20090225100917AAAfMoH	Games & Recreation;Video & Online Games	How do I retrieve my data after deleting it on Pokemon Emerald...?	My daughter accidentally deleted all of her data on her Pokemon Emerald game by using select and up and B. Does anyone know if she can get back what was deleted???
20090225100926AA2W9b4	Games & Recreation;Video & Online Games	What game is better city of heroes or star wars galaxies?	I was wandering what game I should get                                                     p.s. when I say city of heroes I mean city of villains to
20090225093734AAC5rjD	Games & Recreation;Video & Online Games	Can you help me find a game?	i think this was for the playstation. im looking for street fighter alpha 3 new, or it could be used but it has to work.
20090225092942AAZ4h95	Games & Recreation;Video & Online Games	What is the deal with count doku?	In the attack of the clones he seems respectful and truthful of Obi-won and other jedi. He tells Obi-won his plans. And even flinches at the beheading of jenjo fett. Hardly a sith?
