20081216115611AABL5VF	Entertainment & Music;Music;Other - Music	Sapete scrivermi questa canzone?	nonla traduzione, ma le parole:   Great DJ - The Ting Tings   grazie in anticipo...
20061225084705AAQqqol	Entertainment & Music;Movies	Were can i watch movies on the net?	can anybody tell me were i can burn movies even if it cost me
20070209031918AA79LXw	Entertainment & Music;Movies	Johnny Depp è stata definito l'attore migliore in circolazione,siete d'accordo? io sì!!!?	N/A
20070810115248AA7TPc6	Entertainment & Music;Polls & Surveys	What is your favorite music genre and why?	N/A
20070611114431AAleyvo	Entertainment & Music;Polls & Surveys	Has there ever been a documented case of a person so mad at someone that they actually...?	peed in their Corn Flakes?  I hate this expression/question but I also thought it could have possibly happended.      DRAGON 2008   "I BELIEVE IN U.S."
20070206051038AAUty2G	Entertainment & Music;Movies	In the Inside Man what is Jodie Foster's profession?	She talks about charities, blackmail, is given access to sensitive areas.   Plus, did you like the Hindi song Chaiya Chaiya?
20070402080142AAKH51m	Entertainment & Music;Polls & Surveys	What is your inner child saying to you right now?	N/A
20070601113515AAmm3lQ	Entertainment & Music;Music;Other - Music	Does anyone know this song!!!?	this information probley wont be very helpful, but i have ehrd this song on a few shows ( i think  one was greys anatomy)   and i have to know what it is.   its kind of loike a hip hop or pop song, which i usualy don't like.   but all i can remmeber is it keeps repeating "don't matter".   like it says "something something, it dont matter! something something, it dont matte!"   does anyone by anychance know this song!!!!!!!?
20070624212755AAI3ntd	Entertainment & Music;Polls & Surveys	Who else loves to sleep in on Sundays?	just be lazy as ****.....      (pulls covers over head)
20070818132434AAGFXLk	Entertainment & Music;Polls & Surveys	Who knows what a women wants?	1.money   2.energy   3.lazy and needs you so very much.   4.large boned   5. bald   6.bed - time guy   7.romance?   7.a cook   8.a rocker   8.both ways boys or guys?   9.or a 50/50 partner ship which i have?
20070423111519AADMJAS	Entertainment & Music;Polls & Surveys	Como os parecen los monitores de 14 pulgadas?	aguantan pa juegos?
20070728084344AARAGV0	Entertainment & Music;Polls & Surveys	ENCUESTA ; solo para paisanos mexicanos........?	Dede baja California norte; hasta Yucatàn ....Q estado; o Ciudad;  de la Repùblica mexicana; es el q tiene las mujeres mas bonitas ...fisicamente.       Si hay de otro pais y conoce a las mujeres de mexico; tambièn puede opinar.      Yo doy mi voto a:   Monterrey   Sonora   Guadalajara   Chihuahua             espero no me la eliminen; porq ya tengo desde ayer poniendo preguntas q ni ofenden a ndaie y me han borrado 6 y con esta serìan 7
20070426212932AAsoyZl	Entertainment & Music;Polls & Surveys	Descubrieron un nuevo planeta posiblemente habitable por el humano.. Te irias?	Si descubren que es habitable.. te irías ? porque? y en que circunstancias...
20070522114740AAhbK0c	Entertainment & Music;Polls & Surveys	What do you consider yourself to be an authority on?	N/A
20070127145915AAGEtpV	Entertainment & Music;Celebrities	Why do people consider Akon & Nelly rappers & it sounds like they're singing?	N/A
20070808190027AAfBBry	Entertainment & Music;Music;Other - Music	The Black Eyed Peasse y fergie?????	como se llaman los ultimos videos de fergie y el negrito de The Black Eyed Peasse ????
20070708233751AArgbZv	Entertainment & Music;Polls & Surveys	I need to know who made a painting I have a photo of it!?	Finding the artist?   I have this photo of this oil panting but I was so stupid not to ask for the artist! What can I do to find the artist name?       I have a picture of the painting
20070608134308AAVu4rm	Entertainment & Music;Polls & Surveys	Can you guess the true identify of the user now known as These Dreams?	N/A
20070821154644AAvIyxX	Entertainment & Music;Music;Rap and Hip-Hop	?Quién mató a Tupac Shakur? alguien sabe exactamente?	Si pueden dejar un link dónde venga...      fue biggie smalls?? quiero saber!!
20070712172031AA6CWvY	Entertainment & Music;Polls & Surveys	FBI searching for 700 possible terrorists in the U.S.? should they should post PICTURES and set up a TIP LINE?	N/A
20070108075507AABQz5h	Entertainment & Music;Music	A chi piaccion gli offspring??loro canzone preferita...?	le mie:feelings e have you ever.....
20070109080240AAExv4Z	Entertainment & Music;Television	Appassionati di Amici?	ciao a tutti   volevo condividere con chi è appassionato come me di Amici(il programma Maria de Filippi)    cosa ne pensate delle novità del programma vi piace e chi è la vostra preferita   volevo fare una richiesta a chi non piace non scriva cattiverie    ciao a tutti
20070401134249AAUYqIq	Entertainment & Music;Music	What is your favorite song by cute is what we aim for?	mine is probably sweet talk 101
20070122102122AArJ001	Entertainment & Music;Music	What is this "Pompaduce of love" of which Maurice the Space Cowboy speaks?	I have NO clue.
20070415114430AA1CHra	Entertainment & Music;Polls & Surveys	Does knowledge make you wise?	N/A
20070711110620AANz5Xk	Entertainment & Music;Music;Lyrics	What is the name of the song that goes....?	you say goodbye and i say hello, i dont know why you say goodbye i say hello
20070220143833AAJsPE3	Entertainment & Music;Movies	Film preferito?	ciao a tutti...mi consigliate un bel film da vedere???
20070712125855AAmRoWh	Entertainment & Music;Music;Rap and Hip-Hop	Qien le gusto la nueva cancion de aka cholo lean aka cholo?	esta buena
20070306165233AA7ikaP	Entertainment & Music;Music	Quien haya odio la cancion, que les parece Starlight del grupo Muse?	dime q piensas?   no la has oido?'   aqui est ael link por si acaso:  http://www.youtube.com/watch?v=q-c94VVU7... 
20070730215530AAfyWop	Entertainment & Music;Music;Other - Music	?Que cancion de Regaetoon es la que mas te gusta en estos momentos?	--salu2--
20070808165122AAmnQf4	Entertainment & Music;Music;Other - Music	Cual es tu top 5 de caciones de regaetoon?	si no te gusta no opines. gracias !
20070731112209AAZtaBr	Entertainment & Music;Music;Other - Music	Salseros, Me ayudan por favor...?	necesito conseguir la cancion de ""SUE?OS DEL ALMA"""       ((ESCUCHA ESTAS NOTAS MUY SENTIDAS DE MI PIANO    QUE BROTAN DE MI ALMA ENAMORADA    RECORREN LAS DISTANCIAS INFINITAS DE MI VIDA SE ACERCAN SOLO A TI PARA ARRULLARTE ))      es de suma importancia para mi, diganme por favor, en que link donde la puedo bajar... y o conseguir...      se los agradezco...GRACIAS
20070808090657AAhGIaC	Entertainment & Music;Polls & Surveys	Es bueno recordar, o mejor olvidar????	N/A
20070831161610AAJCn2N	Entertainment & Music;Music;Other - Music	?Cual es esta musica?	Dice algo asi : "Y nuestra vida ehh , Y nuestra vida ehh , un sue?o y paraiso en un mundo mas bonito" y no me acuerdo mas.      Agradesco su ayuda!.
20070723112140AADY6wZ	Entertainment & Music;Polls & Surveys	Un sacerdote que se masturba ?está rompiendo su voto de castidad?	N/A
20070128211328AA51n4L	Entertainment & Music;Music	Guitarra.. principiante?	bueno recien empiezo.. y mi profe me ha ense?ado los intervalos, y bueno ya hicimos el de DO juntos pero me preguntaba si para las demas notas el orden sigue siendo. 2da mayor, menor, 3 mayor menor, 4 justa, 5 justa, 6mayor, 7mayor, 8 justa???      es decir si para re la justa ahora es la 6 o no??      y weno otra cosa mas me podrian decir las notas q pertenecen a las familias de do, re, mi, fa, sol, la y si   está bien asi por ejemplo la familia de Do es:   do, rem, mim, sol, la, si, lam, si°, ??      Necesito esto y les agradeceria toda la ayuda q puedan darme porfa de vdd deseo aprender guitarra y como q la teoria me resulta un toke complicada
20070808110647AAjHfQn	Entertainment & Music;Music;Other - Music	Vives esperando un corazón extra?o ...?	... que venga aqui, y saque de tu cuerpo y tu alma lo mejor de ti?
20070707174209AAfZKI0	Entertainment & Music;Music;Other - Music	What did the Foo Fighters and Red Hot Chili Peppers Play at Live Earth?	N/A
20070724184954AAXiR98	Entertainment & Music;Polls & Surveys	Les Gustaria Tener de Vecino(A) al Avatar de Arriba tuyo?	N/A
20070806184108AAZZdLm	Entertainment & Music;Music;Rap and Hip-Hop	?Por que el Reggaeton?	No tiene su propia seccion tan malo es?
20070724093711AAuZxnc	Entertainment & Music;Polls & Surveys	Preguntas odiosas...?no te chocan?	Se me vino  a la mente porque precisamente ahorita me hicieron una por enesima vez.  Resulta que tengo un compa?ero de oficina y siempre que llega alguien a buscarlo y no esta presente, me preguntan  ?esta Jorge?....Si!! esta bajo el escritorio, estan viendo que no esta y todavia preguntan...uff!  Es como cuando dices que se te perdio algo y te preguntan ?dondé? jejeje si lo supiera no estaria perdido...en fin!  Y para ti cuales son las preguntas mas odiosas que puedan hacerte??
20070728122950AAoiKLw	Entertainment & Music;Celebrities	Oigan sera que es asi.....???	Ps miren...   Mi mejor amigo me ha besado 2 veces y las 2 veces a sido muy tierno, el caso es que ... sera que hay algo mas entre los 2 ....
20070730140229AAYiZkU	Entertainment & Music;Polls & Surveys	Qué significa o representa tu nombre/nick?	De nuevo yop, sep...van a tener pesadillas con mi avarat..o nick..XD      He leido algunas preguntitas acerca del nombre, una decia que por cual te lo cambiarias..o la razón para hacerlo.., entonces..aunque no tiene mucho que ver (creo que de nuevo estoy divagando..xD), mi pregunta es ..porque te llamas como te llamas, tiene tu nombre alguna historia? o tu nick?      Les comento la mía, soy la menor de mi casa, mi nombre se lo rifaron entre mis dos hermanos, eran dos opciones "Maria Angelica" o "María Ximena", gano la segunda, y he pensado cambiarmelo muchas veces, pero...no lo hago, porque el hermano que escogio ese nombre murio, cuando yo era peque, y es básicamente lo único que me une a el.      Y ustedes que me cuentan acerca de su nombre o nick...?      Muchos Saluditos a todos (de nuevo..)
20070421111950AAfTlwd	Entertainment & Music;Jokes & Riddles	El diablo...........?	Bien pues este era un hombre que que se quejaba amargamente de su suerte:   "Caray.... que mala suerte tengo... como me gustaría tener dinero y mujeres a montones..."   En eso lo escucha el Diablo y le dice:   "Yo te puedo conceder lo que quieres..."   El tipo emocionado le pregunta:   "En verdad me lo concederías..."   "claro que sí... (responde El diablo)   "Ahhhh, pero no creas que va a ser grátis...   acambio te tienes que dejar co-ger"   Y él responde :   "Oye no la friegues, pideme otra cosa...!!!"   Y el diablo responde :   "ya los sabes... o lo tomas o lo dejas..."   y el tipo resignado le dice:   "Está bien... tu ganas"   El diablo cobra su favor... y el tipo apenado le dice:   "Bueno ya que todo pasó... este... no vayas a pensar que soy pu-to"   A lo que el diablo contesta abotonándose el pantalón:   "No, ni tú creas que yo soy el diablo... lo que pasa es que participé en una pastorela y casualmente pasaba por aquí"
20070907164520AA6dq2v	Entertainment & Music;Comics & Animation	Hey CyA!!! Todavia estan alli??	veo que CyA esta un poco aburrida xD...todos estan en el chat de CyA (eso me incluyen)   aunq por ahora no se puede entrar!!   bueno les dejo un espacio libre para que digan lo que quieran!!! dediquen canciones...se confiensen...y digan que piensan sobre mi y de CyA muahahahaha      salu2 y beshos
20070809003646AA5q9Ds	Entertainment & Music;Music;Rock and Pop	?Que significado tiene la canción "Intocable" de Alex Syntek? 10 puntos a la mejor respuesta!!?	Los malos malosos también escuchamos música, y de la buena! esta de Alex Syntek en particular me gusto muchisimo, habia una que también me gusto de Syntek, acerca de un robot, ahora escuche "Intocable" y la verdad no esta nada mal el ritmo, sucede que por mas que intento entender no entiendo el SIGNIFICADO de la canción, en el video se ve que hay un montón de ciegos, y que Alex aparece cantando y en algunas partes menciona "Me voy, porque fue tu decisión" ?que tiene eso que ver con los ciegos? ??No entiendo!! 10 puntos al que sepa >:P
20070727100854AAjsuGM	Entertainment & Music;Music;Rap and Hip-Hop	Fab5 de jay-z?	ke onda!   cuales son sus 5fab de jay-z      aki dejo las mias      Jay-Z - Dead Presidents   Jay-Z - Dirt Off Ya' Shoulder   Jay z and linkin park - numb & encore   Jay-Z - 99 Problems   Jay-Z & Eminem - Renegade      bye!
20070727185605AACYX81	Entertainment & Music;Music;Rap and Hip-Hop	Fab5 de Snoop dogg!?	ke onda!   ps aki promoviendo la participacion en el area de hiphop..se ve un poco muerta!!.      pongan sus 5 canciones favoritas donde participe o sean de Snoop dogg!      las mias      Daddy yankee & Snoop Dogg - Gangsta zone   50 Cent & Snoop Dogg - P.I.M.P   Dr. Dre & Snoop Dogg - The Next Episode   Snoop Dogg - Drop It Like Its Hot   Bow wow & snoop dogg - whats my name
20070728153803AAi31WD	Entertainment & Music;Music;Singing	Q nombre le puedo poner a mi banda?????????????????	pliss, algo "fuerte" pero no rebelde y femenino, somos chiks tokmos pop ok???   thanx!!
20070731063014AAAUbkY	Entertainment & Music;Polls & Surveys	Porque YR permite racistas y personas que molestan?	No entiendo porque hay perfiles de personas que parecen muy cultas y entendidas con estudios y sin embargo se dedican a molestar a otros con sus ironias, insultos y respondiendo cosas que no aplican a las preguntas...?   es que son perdedores, infradotados o les falla algo en la cabeza? Sera que son resentidos sociales? Que no lograron nada en su vida?   YR tendria que tener algun filtro y poder darles su merecido sacandolos del programa....   Por ahora se que ignorar a ese tipo de gente es la mejor opcion....para todos...   Ustedes que opinan de los molestontos ???....hasta algunas veces son divertidas las tonteras que escriben por ganar dos puntos...y pretenden ofender y quedan en ridiculo...jajaja
20070816053510AAlnkza	Entertainment & Music;Jokes & Riddles	Se asustsaron, no les gusto pues nos vemos, mi esposa quere usar el computador?	Un matrimonio viajaba por el desierto. Al llegar a un pueblo, un hombre se les acercó y trató de venderles unos collares. Los turistas rehusaron, pero cuando estaban a punto de seguir su camino el vendedor le preguntó al hombre:   -?Quisiera venderme su esposa? Estoy dispuesto a darle cien camellos a cambio de ella.   Después de pensarlo un momento, el marido dijo:   -Claro que no, ella no está en venta.    Cuando regresaban a su posada, la mujer, indignada, le preguntó a su esposo:   -?Por qué tardaste tanto en contestar?   -Bueno, es que estaba calculando cuánto me costaría llevarme cien camellos de vuelta a casa..   ------   Un hombre entra a una funeraria y dice con tristeza:   -Necesito que organicen los funerales de mi mujer.   El encargado responde:   -No es posible. Recuerdo que hace diez a?os enterramos a su esposa.   Sollozando, el cliente dice:   -Sí, pero me volví a casar.   El de la funeraria le da una palmada en la espalda y dice:   -?Ah, felicitaciones!...   -----   Un hombre va conduciendo su coche cuando al lado de la carretera ve una estación de gasolina con un letrero:   -"Gasolina y sexo gratis".   El hombre se detiene y entra a la estación. El encargado le dice:   -Para ganar gasolina y sexo gratis, escoja un número del uno al diez.   -Muy bien... ?Tres!   -No, lo siento, espero que tenga más suerte otro día.   El hombre regresa varias veces esa misma semana, para ver si podía ganar gasolina y sexto gratis. Después de esos siete días no había tenido suerte, y le dice furioso al encargado:   -?He probado todos estos días, pero aún no he ganado! ?Estoy seguro de que este juego está arreglado!   -?Claro que no!, -dice el vendedor. -Nosotros no hacemos trampa. Pregúntele a su esposa: ella ha ganado tres veces esta semana...
20070808021002AAjorht	Entertainment & Music;Music;Rap and Hip-Hop	?Quien canta esta canción?	Dice:      Ahá thats right. Algo de un cameltoe y no se quién la canta ayúdenme.       http://www.youtube.com/watch?v=Qk98p7TCB... 
20070727161631AACSMyJ	Entertainment & Music;Music;Rock and Pop	RBD que opinas,  quien te gusta de ellos y tu cancion favorita?	N/A
20070808202339AA1dURI	Entertainment & Music;Music;Other - Music	Que canciones modernas me recomiendas?	Que canciones modernas me recomiendan que sean baladas y en espa?ol?
20070225190143AAK65iB	Entertainment & Music;Music	Quiero estudiar musica pero tengo 23 que hago?	y me he enterado que las personas que quieren estudiar musica de verdad, tipo conservatorio, tienen que empezar en eso desde la infancia, pero yo nunca tuve esa oportunidad, tengo unos escasos conocimientos de piano, practicamente estoy en cero, pero me muero por tocar musica de camara, se que estoy viejisima, y me da un poco de verguenza, por donde puedo empezar, no me quiero quedar con el sue?o de aprender.
20070730125948AABd8x7	Entertainment & Music;Music;Lyrics	Cancion tecno!?	Alguien sabe el nombre de una tecno en la cual canta un hombre en frances???
20070820190539AAezLTA	Entertainment & Music;Music;Rock and Pop	Una canción con anécdota?	Cuéname una canción que tenga detrá una anécdota histórica o una curiosidad? Por ejemplo que Yesterday se la escribió McCartney a su mamá cuando murió.. o alguna anécdota de esas. No anécdota personal.. a menos que sea muy muy chistosa o interesante.
20070616124920AAmJaPH	Entertainment & Music;Polls & Surveys	Does Avril Lavigne Like His Girlfriend?	N/A
20070427121333AA9uXzE	Entertainment & Music;Jokes & Riddles	Chiste.......?	?Por qué los hombres se ponen tan contentos cuando terminan un puzzle en dos meses?      .....Porque en la caja ponía de 3 a 5 a?os......
20070828083937AAeSXhB	Entertainment & Music;Music;R&B & Soul	Sean sinceros: Beyonce o Rihanna?	yo pienso que rihanna es mejor en muchos aspectos, beyonce se esta volviendo mas apariencia, creo que exagera mucho en todo
20070422062008AAccVLy	Entertainment & Music;Jokes & Riddles	El FUTBOL tiene algo impudico?	...el delantero mete goles y el trasero los recibe....??!!
20070726182131AAw15a9	Entertainment & Music;Music;R&B & Soul	?Cual de estas canciones les gusta mas?	O como la acomodarian de la mejor de arriba abajo:      Irrepleaceable-Beyoncé      Anonymous-Bobby Valentino      Rihanna-We Ride      Nelly Furtado-Say It Right      Justin Timberlake-LoveStoned      JoJo-too Little Too Late      Fergie-Glamorous      Cassie-Me & U      Timbaland-The Way I Are
20070711075043AA4lQNe	Entertainment & Music;Polls & Surveys	Que te sobra y Que te falta?	en tu vida...      Para olvidar me Falta tiempo   Para llorar me Sobra vida   Para esperar me Falta fuerza   Para intentar me Sobra fè   Para volver me Sobran ganas   Para aceptar me Falta el alma   ?Para Vivir me Faltas Tù!      (Anònimo)
20070412032042AAvxq81	Entertainment & Music;Movies	De las ultimas peliculas q salieron al cine cuales son las mejores??	N/A
20070811074532AAUME0Y	Entertainment & Music;Television;Reality Television	THE FLAVOR OF LOVE...?Qué opinan de New York?	Por lo menos a mi me da risa...ademas no es absolutamente nada guapa O_o ni bonita, y mucho menos simpatica!!!
20070414151413AAlWNux	Entertainment & Music;Polls & Surveys	Me pueden ayudar por fa?	tengo 22 anhos y nunca  he tenido un novio formal...y no por que no haya tenido pretendientes por que si los tuve...no soy fea..todos dicen que tengo un muy buen cuerpo,pero no se por que me pasa esto tal vez yo soy un poco timida..que creen que me pase o que debo hacer...ah!!no soy lesbiana!! me encantan muchos los hombres pero me cuesta tomar a mi la iniciativa.por favor opiniones.
20070801163942AAPUdOP	Entertainment & Music;Music;Rap and Hip-Hop	?hip-hop y pop?	si cartel de santa con julieta venegas se escucho bien snoop dogg con el justin un asco como seria el dyablo con paulina rubio
20070727155409AAjkBAN	Entertainment & Music;Polls & Surveys	Dos mexicanos como yo jeje?	Dos mexicanos se encuentran y le dice uno a otro muy contrariado:    - Fíjate, c.abr.ón, acabo de ver en la tele que los mexicanos, de cada tres palabras que decimos, dos son malas palabras o groserías.    El otro le contesta:    - ?No m.ame.s, guey!
20070905140717AASO8BM	Entertainment & Music;Jokes & Riddles	Chiste cruel?	Una vez en el hospital, un se?or esperaba que saliera el doctor para saber como estaba su esposa.    Al rato, salió el Dr. y le dijo:   - Estimado Gutierrez su Sra. esta muy grave, a partir de ahora le va a tener que dar de comer en la boca, ya que tiene inmovilizadas las manos... también tendrá que llevarla al ba?o y limpiarla.. cambiarla de ropa, ba?arla, etc.   El marido es ese momento se puso a llorar desconsolado y el doctor agregó:    - ?No se ponga así hombre!!!!, Estaba bromeando.... ya se murió
20070730134749AARU11u	Entertainment & Music;Polls & Surveys	Cuál de todos los tipos de?	quesos es tu favorito? Sé que depende que cocines o comas será el tipo que uses, pero en gral. cuál es tu favorito?
20070430213044AAcAek2	Entertainment & Music;Jokes & Riddles	Las mujeres y la mestruacion?	Me dijeron que no confiara nunca en una mujer.   Pregunte: por que?   Me respondienron: Como puedes confiar en alguien que se desangra durante 5 dias y no muera.      Van dos revolucionarios mexicanos sobre sus caballos totalmente borrachos, cuando uno saca su pistola y empieza a echar tiros al aire:   -Hijale manito viva la Menstruación-   -Compadre querra decir la revolucion-   -Orale es igual, lo importante es que corra sangre-
20070504094819AAEPcfR	Entertainment & Music;Jokes & Riddles	Por que no entendemos a los ni?os?	El ni?o le dice a su padre   -Papi quiero ser una de las ni?as.   -El papa lo rega?a, pero el ni?o insiste.   Papi quiero ser una de las ni?as   Se altera el papa y le cae a mamonazos y le pregunta:   Ahora quieres seguir siendo una ni?a   -No papi ya no quiero ser una de las todtuga ni?as.      El ni?o le dice al papa   Papi quiero se P.uto   -Como es la vaina-   Que quiero se P.uto   -yo te voy a ense?ar- y le da una paliza al pobre ni?o   -y ahora quiere seguir siendo P.uto- grita el padre   y el ni?o casi sin poder hablar   -No, no papi ya no quiero se P.uto, ahora quiero se El raton Miki-      Pepito llega a su casa y le dice a su mamá:   Mami, aquí está mi boleta de calificaciones.    La mamá la toma, la observa y dice:    ?Queee? ?Estas calificaciones merecen una golpiza!    El ni?o le contesta:   ?Verdad que sí mamá? ?Vamos, yo sé dónde vive la maestra!      Mamá, mamá, ?los frijoles tienen hierro?   Sí, hijo, ?por qué?   ?Con razón mis calzones están todos oxidados!
20070305093234AA8JfP1	Entertainment & Music;Music	R.E.M. y moby tienen un parecido, cual?	N/A
20070808111331AAytDJ5	Entertainment & Music;Polls & Surveys	?BUENAS TARDES ? ?QUIEN ESTA HOY DíA ? acá en SANTIAGO CON MUCHO FRIó Y LLUVIA..como esta el clima  de uds	N/A
20070831154332AA20vpD	Entertainment & Music;Polls & Surveys	?QUE PASA CON YAHOO ?muy poca gente   se ve ?O YA SE ESTA PONIENDO FOME ?	N/A
20070412104022AAHcxEc	Entertainment & Music;Jokes & Riddles	Chistesito?	estan dos compadres en una cantina, muy machos, bototas, bigote..... y uno le dice al otro:   - "compadre"...    -que paso compadre?.... "y pone una botella de tequila en la barra..."    -Que? no la mamamos?...   - Y que? la botella es pa' darnos valor oke?      si te gusto dame una estrellita
20070724115021AAp5Av3	Entertainment & Music;Polls & Surveys	?A quien preferís a Beyoncé o a Jennifer López?	?A qué preferís de las dos?   y por qué?
20070820202317AAcSfID	Entertainment & Music;Polls & Surveys	Quien es inteligente como para resolver esta trivia?	Un hombre fue encontrado muerto el Domingo por la ma?ana;   su esposa inmediatamente llamo a la policia.   La policia cuestiono a la esposa y a la servidumbre, y esto es lo que contestaron:      La esposa estaba en cama leyendo un libro.      El cosinero que estaba preparando el desayuno.      El jardinero dijo que estaba plantando semillas.      La sirvienta dijo que estaba recojiendo el correo.      El mayordomo dijo que estaba limpiando los utencilios de plata.      La policia inmediatamente erresto al(el)  asesino(a). Quien lo hizo y como supo la policia?
20070221232421AAYRJLR	Entertainment & Music;Music	?Por qué Melendi pone esa voz de macarrilla borrachito al cantar?	Si en las entrevistas tiene una voz normalita el hombrecillo...
20070711074750AAx3nmp	Entertainment & Music;Music;Rock and Pop	Pussycat Dolls o Spice Girls??	N/A
20070523142142AAeIlxo	Entertainment & Music;Jokes & Riddles	Otro de....hahaha?	Dos marikitas se encuentran en la calle después de no haberse visto en mucho tiempo:      "?Manita, qué milagro que te dejas ver! ?Dónde te habías metido?"      "?Qué te cuento mana, estuve un mes engranada!"      "?En Granada, Espa?a?"      "?No, mensa, engranada de la cola!"                hahah che jotitos :p, no olviden las estrellitas o las sonrisitas :p
20070414024023AAUzNL7	Entertainment & Music;Jokes & Riddles	Jajajajaja, la viejita!!!?	Una tarde la gente vió a una Anciana buscando algo en la calle frente a su choza. Todos se acercaron a la pobre anciana,"?Qué pasa?"-le preguntaron-"?qué estás buscando?". "Perdí mi aguja", dijo ella. Y todos la ayudaron a buscarla. Pero alguien le preguntó: " la calle es larga, pronto no habrá más luz. Una aguja es algo muy peque?o ?porqué no nos dices exactamente dónde se te cayó?". "Dentro de mi casa", dijo;"?Te has vuelto loca?"-preguntó la gente-"Si la aguja se te ha caido dentro de tu casa, ?porqué la buscas aquí afuera?". "Porque aquí hay luz, dentro de la casa no hay".        PD. Usa tu inteligencia para buscar las cosas donde están y no donde no están, incluso si está oscuro. Busca dentro de tí...
20070723142702AA2POX8	Entertainment & Music;Jokes & Riddles	Gracias  a quien me la  dio  ahora  que opinan???? me das una estrellita  si te  gusta?	El CEREBRO: "como soy el más inteligente y también el que piensa, yo debo ser el jefe"   EL CORAZóN: "siendo yo el motor de la circulación, de la sangre, generador de la vida yo debo ser el jefe".   EL APARATO DIGESTIVO: "como yo soy el que dirige los alimentos vitales del cuerpo, yo debo ser el jefe".   LAS PIERNAS: "como nosotras somos quienes conducen al cuerpo a cualquier parte, nosotras debemos ser las jefes".   LA M.I.E.R.D.A: "yo quiero ser el jefe" dijo sin agregar razones. Todos los demás se rieron de ella " tu no puedes ser el jefe, no sirves para nada" le dijo el cerebro. La m.i.e.r.d.a ofendida, se declaró en huelga y dijo " ahora no salgo".      Pasaron los días y la m.i.e.r.d.a no salió. Ya había pasado una semana y el cerebro ya no podía con el terrible dolor de cabeza, el corazón latía dificultosamente, el aparato digestivo full de m.i.e.r.d.a estaba inmóvil, las piernas abiertas e hinchadas no podían caminar y los ojos se nublaron
20070730104209AATj9Yg	Entertainment & Music;Music;R&B & Soul	A ver... lo pregunto de otra manera... Las cantantes de R&B se visten estilo hip hop o ropa ajustada?	N/A
20070729082140AA1Yt8u	Entertainment & Music;Polls & Surveys	TeSt PaRa SaBeR Si ErEs UnA PeRsONa QuE ApReCiA La BuEnA MuSiCa...????	1-CUANDO TE PIDEN EL NOMBRE DE UNA GRAN BANDA TU DICES:   A-RBD   B-Pink Floyd, The Doors, Aerosmith...   C-tiras cualquier banda, total te da lo mismo...   2-PARA TI LA REINA DEL POP ES:   A-Belinda   B-Madonna   C-Paris Hilton   3-CUANDO HABLAN DE MUSICA EN UN LUGAR, YA SEA OFICINA, CON AMIGOS:   A-estas de acuerdo con todo lo que dicen   B-defiendes a la banda que consideres mejor   C-ni opinas   4-TU OPINION DEL REGGAETON ES:   A-es el mejor genero   B-eso no se puede llamar musica   C-te encanta, porque Tito, el bambino esta re-bueno   5-CUANDO VES ALGUN CLIP, TE FIJAS EN:   A-Que dise?o de ropa tiene, si te gusta lo dejas y sino lo cambias   B-Como canta el artista, el mensaje de la cancion, y el ritmo...   C-Te pones a mirar a los musicos de la banda o al solista...   resultados:   Mayoria de A-eres una persona a la que le da lo mismo decir Gustavo Cerati o Don omar   Mayoria de B-eres la clase de gente que tiene un gusto INMACULADO de la musica...   Mayoria de C-dedicate a otra cosa...
20070731103534AAXVgZS	Entertainment & Music;Music;Other - Music	Votad una de estas 12 canciones como el mejor temazo verano 2007?	1. "Umbrella" de Rihanna y Jay-Z   2. "Las De La Intuición" de Shakira   3. "Pónte El Cinturón" de Silvia Padilla (de Factor X)   4. "My Own Way" de Bhangra   5. "Torre De Babel (Reggaeton Re-mix con Vicente Amigo)" de David Bisbal y Wisin' & Yandel   6. "La Micromanía" de Tata Golosa   7. "Mi Codo" de Sara Da' Pin' Up   8. "Shame On You" de Andrea Corr   9. "Hay, Consuelo" de Pier Bucci   10. "Lamento Boliviano" de Dani Mata   11. "Yo No Quiero Enamorarme" de Daniel Zueras   12. "Vuelve, Negra" de BNK
20070725091227AA6bYUA	Entertainment & Music;Music;Other - Music	Como se llama esta cancion?	esta en ingles, pero como no se mucho, no entiendo lo que dice. Es una musica electronica   la voz  es de una mujer, al principio de la cancion dice como 3 parrafos de algo,  y el resto de la cancion solamente canta na na naná, na na naná.   si pueden por favor escribir la letra.
20070831164418AAnofoX	Entertainment & Music;Music;Other - Music	Grupos de happy punk?	cuales son los mejores exponentes  de  este  genero  y  del  genero  indi punk mexicanos claro
20070727153934AADnn8T	Entertainment & Music;Music;Other - Music	Cual es el nombre de esta cancion gitana?	El principio es asi:   Porque nací gitanillo le tengo miedo al trabajo.    En vez de la cuesta arriba prefiero la cuesta abajo   me gustaria saber el nombre   saludos
20070725080044AAsww5x	Entertainment & Music;Television;Other - Television	Diganme ?Que piensas de las novelas brasile?as ?Qual fué la mejor que hay visto?	..
20070821143437AAk4h81	Entertainment & Music;Polls & Surveys	Cuantas preguntas tienes en tu lista de observacion?	Yo 88
20070501083016AAyDLah	Entertainment & Music;Polls & Surveys	?Que tan seguido te cepillas los dientes?	N/A
20070113132749AA2W0Ga	Entertainment & Music;Polls & Surveys	Una canzone di mia martini che avete nel cuore?	N/A
20070109100058AAbVQl5	Entertainment & Music;Celebrities	Ei a ki piace avril lavigne?????	N/A
20070207082128AA7ZM1v	Entertainment & Music;Television	Dicen que ver Dos horas de TV te deja tarado, es cierto?	N/A
