20090128183532AAW1BCZ	Yahoo! Products;Yahoo! Answers	Why did my question to the president get deleted?	My question about ice driving just deleted all by itself
20090128185309AArWAMo	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do i cancel my MTV account?	I made an MTV account but I want to cancel it and I don't know how!
20090128190458AA6nEBo	Yahoo! Products;Yahoo! Answers	Semi colon help!!! 10 points best answer!!!?	Here are two sentences: 1)Jem was childish before, but I think he got braver which is a dramatic change for a kid. 2)In other words he became more like a man such as in the part where there was a fire.       Is there anyway you could change those sentences for each sentence to have one semicolon in them. pleaseeee help:)
20090128190631AAXFObz	Yahoo! Products;Other - Yahoo! Products	I want to use this avatar I made, but I have to download something first. Is it safe? Is it free? Is it easy?	I know it shows my avatar picture next to the question, but how do I show the whole picture for both this and instant messaging with other yahoo members I know?
20090128190721AAEA3XA	Yahoo! Products;Yahoo! Mail;External Mail (POP)	Haw  can I get my pichier on the computer. ?	I Love Elvis Presle.
20090128190932AASOmGC	Yahoo! Products;Other - Yahoo! Products	How can you search a yahoo profile.All I get is the site for me to create a  profile. Why?	N/A
20090128191212AA5K3Aq	Yahoo! Products;Yahoo! Photos;Editing Photos	How do I change my picture profile on my space?	Want to change my picture on myspace,but can not do it
20090128191432AA1CBZI	Yahoo! Products;Yahoo! Mail;Personalization	How do I change font and cards larger?	how do I make font and cards larger, easier to read?
20090128192721AAu4EyB	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How do i send an instant message oh yahoo?	N/A
20090128193022AAQdc6S	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How can i retrieve permanently deleted messages from the trash can?	I would like to know when messages are deleted from the trash can, are they retrievable? This was within the last 7 days.
20090128193043AALxT9r	Yahoo! Products;Yahoo! Mail;Yahoo! Mail Beta	I want to switch bodies with an other girl in school can you help me?	i want to switch bodies with a girl in school.. but i don't want to change my familey or other frienships.. only bodies if you can help me cast it or whatever i can do leave your number and name and how much you charge??
20090128193109AAxMoRt	Yahoo! Products;Yahoo! Photos;Editing Photos	How do you reduce the size of a picture in the computer to upload?	N/A
20090128193138AAB73Vv	Yahoo! Products;Yahoo! Mail;Attachments & Photos	How do i translate an email attachment or message?	N/A
20090128193315AAcJmRw	Yahoo! Products;Other - Yahoo! Products	I've enabled the pop-up for yahoo games & i still can't get on board. What do i do?	N/A
20090128200054AACA7lC	Yahoo! Products;Yahoo! Answers	How can I rate someone best answer to one of my questions?	N/A
20090128200750AAvZjUd	Yahoo! Products;Yahoo! Answers	Hi I was wondering about my Q&A and deleting them?	1.) Can you see my answers/questions?    2.) If I delete a question I've asked , will someone I added to my contacts list still be able to see it?
20090128201233AAHkPLr	Yahoo! Products;Yahoo! Answers	Is Yahoo's removal of questions a bit strange?	I asked why blacks were not in the congress in too many numbers and my question was deleted....I pointed to the fact that Cynthia McKinney hit a cop, Sen Jefferson had money in freezer and Charles Rangel has tax problems...what does this violate?
20090128201328AA99pXQ	Yahoo! Products;Other - Yahoo! Products	Help with changing my avatar?	How do I change my avatar into a real picture?
20090128193853AANXEAa	Yahoo! Products;Yahoo! Answers	How do you post pics on answers and questions yahoo?	N/A
20090128194254AAr5hcL	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	What are some weird or funny text smilies?	like    :)   :D   walrus (:3=   gimme more like the walrus
20090128200309AATtMKx	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	Has anyone received an email about puppies up for adoption?	Hello,            Regards to your mail and i quite appreciate your interest in the puppy. First of all i most thank my living God for your willingness to adopt the puppy from me and i will also thank him again for answering my prayers. Yes i want an urgent home for her because my tight state of work and study would not be able to take good care of the pup. But a good and comfortable home where she will be treated with much love and care, Sandy is 10 weeks old and 6 days Currently, the puppy health is 100% OK! (+1 year health Guarantee), 1st shots, AKC  registered, de-wormed, 30 Days pets Insurance. Baby is so animated and will keep you entertained for hours. She really had her own distinct personality. Loving and very affectionate personalities are standard with other animals. She is very affectionate and like to give kisses all the time. This Female pup presently weighs about 2.2 lb and will estimated to weigh between 20-23 cm (8-9 in) tall and weighs 2-3 kg (4-7 lbs). at maturity.            I will have the puppy ship along with her certified health certificate, vaccination and worming record, copy of USDA paper, AKC registration application for the puppy, its pedigree and your puppy's guarantee. also the airline ticket, an approved carrier with a soft, comfortable bed, health certificate from my vet, a puppy pack including sample food your pup has been eating, a tube of nutri-cal,I also include a special gift to your puppy from me. Everything you will need will be taped to the top of your puppy's carrier. I'm Locate in California State here in (USA) with the pup's, The puppy price is $250 and shipping is $100, total cost $350 with same day delivery,and Include your Full Name and Address, Phone number and the Nearest Airport,where the baby will be shipped to in your next e-mail so as to have her registered for shipping, and also can you Afford the total cost of the price ??? $350.       All of her documents are up to date. Am attaching her pictures for you view .   Looking forward to read from you as soon as  possible.       Thank you.
20090128201838AAvcHii	Yahoo! Products;Yahoo! Answers	How is this in VIOLATION?	Could someone please tell me what/which parts of this comment were in violation of the guidelines?  I read them, but they seem kind of vague and based on them, at least half of the answers I see on Y!A would seem to be in some sort of "violation".  Thanks.      "Vitamin C.....those were probably the worst examples you could    have chosen. The first of your quotes contains nothing misogynistic and your second citation merely tells the story of God's response to    Eve's initiation of sin into the world. Whether you believe the    story or not, one must admit that, within its own context, the judgment    seems justified. The verses in the New Testament would've served    your purpose far better."
20090128201342AAiW54Y	Yahoo! Products;Yahoo! Mail;Personalization	How do you edit your avatar....?	the cartoon looking one on yahoo   i cant find any link to it      how do you edit
20090128202333AAVlUQ6	Yahoo! Products;Yahoo! Answers	Jeez people! Answer my questions!?	Don't you hate it when nobody answers your questions? If you see one that doesn't have an answer, ANSWER IT! If you don't know it, LOOK INTO IT!!! There's a reason people ask questions on here! Opinions?
20090128193859AAU87aG	Yahoo! Products;Yahoo! Answers	Why do I not have the option to elect "best answer"  on yahoo answers?	I see all the aswers but sometimes, the "best answer" option is not there?  whats up with that?      thank you.
20090128195951AAiDsth	Yahoo! Products;Yahoo! Mail;Attachments & Photos	Can you send pictures on yahoo messenger?	N/A
20090128201051AAUf7W4	Yahoo! Products;Yahoo! Answers	I just posted question...?	I just posted a question and had a -5 pts on my profile .WHY??? The question was does anyone own a Pantera?
20090128195657AAc1hPI	Yahoo! Products;Yahoo! Mail;External Mail (POP)	Can you name a 90's pop hit?	does anybody know any catchy 90's pop hits that came out on that series of "now " whatever whatever? :) i feel like listening to some of that music right now but i cant think of anything. help me . ahhaa
20090128193432AAzCNHj	Yahoo! Products;Yahoo! Answers	Yahoo when will you fix the bug ?	When an answer to a question is a Tiebreaker, why does it still show in the "My Answers" list as "In Voting"?
20090128195205AAP8PMo	Yahoo! Products;Yahoo! Answers	Yahoo Answers!!! Easy Question!!!?	Can you delete a question that you asked???   if you can how do you do that???   Thanks!!!
20090128195803AAEPpWB	Yahoo! Products;Yahoo! Answers	How do i answer questions on yahoo answer ?	N/A
20090128194517AAETM4k	Yahoo! Products;Yahoo! Shopping	Whats the best way to win an auction on eBay?	there are alot of conniving shady people on there! how do i beat them?
20090128202738AAx7sxi	Yahoo! Products;Yahoo! Shopping	Selling on Ebay using paypal with having paypal verified?	Is there anyway i can sell on ebay using paypal without having my paypal account verified with a bank or credit card.      I currently have 20.00 dollars in the account.
20090128194910AA88opE	Yahoo! Products;Yahoo! Mail;Attachments & Photos	How old do you think he is? (photo included)?	http://s637.photobucket.com/albums/uu93/...    how old is he?
20090128193421AAU6tTU	Yahoo! Products;Yahoo! Mail;Attachments & Photos	I am having problems opening attachments. Do you now how to correct this problem?	haneygarry@yahoo.ca
20090128193428AAfXGkQ	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	How to Transfer all the contact email-ids from one email account to another account?	I have created a new Gmail-account. I want to transfer my all contacts from yahoo address book to Gmail adress book.
20090128193534AAtN0SN	Yahoo! Products;Yahoo! Messenger;User Profiles	Can someone check a profile for me on match.com?	I am looking to set my aunt on a blind date, and I just dont want to pay, I narrowed my search to these guys handsomeshrek, and ddale262, HouTravelGuy, ilinares, jazzmanrain I was just wondering if you could tell me if it says like do they have kids and if they have served a mission? if it says on their page anyway if any do then Ill pay for the freaking site but if not can you tell me?
20090128193601AAAPL08	Yahoo! Products;Yahoo! Mail;Problems with Service	My computer does not respond sometimes when playing checkers.  How can I fix the internet problem?	What needs to be turned off on net conn?
20090128193919AAD7Y4D	Yahoo! Products;Yahoo! Answers	Does anyone have the A.R quiz answers for brisingr?	hey i really need the answers for the quiz please help.
20090128193939AAaV0bb	Yahoo! Products;Yahoo! Shopping	How Long is too Long to wait for an item you bought off Ebay?	I purchased an aviation headset on Jan 16th, paid for it when auction ended as of today i have yet to receive the headset 13 days later, when emailing the seller they stated i should receive it the first part of February. Am i being too demanding to have expected to have it in my possession by now?
20090128195137AA83xsJ	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Yahoo email account question..?	how do i change my safety question and answer for when i forget my password?
20090128195138AAFQsJz	Yahoo! Products;Yahoo! Messenger;Voice Calls	Is verizon going to make a new juke phone in 2009 or later?	if yes post picture if you can find it please
20090128195218AAxcIhD	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Is there a way to retrieve  emails that  were sent over 8 months ago that have been deleted from the in box?	N/A
20090128195231AA0fbqx	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I can not see what i write  on yahoo messanger when i chat to my friends nore what they are writing  to me....?	N/A
20090128195400AAJjO52	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	The wrong name is entered on my messenger page how do I change it?	My email address is right, but a guess name appears nx to the dot indicating my availability online. It is confusing I don't know how this happened. Please help. It will also confuse my contacts if it appears on their end.
20090128195644AAFTq41	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	DO I HAVE A SPAM FILTER?	N/A
20090128195743AAb23g7	Yahoo! Products;Yahoo! Answers	What is the number one thing people would like to buy and can not find it?	N/A
20090128200034AA3Q76z	Yahoo! Products;Yahoo! Mail;Attachments & Photos	I can,t seen to email a photo?	N/A
20090128200247AAGwbpD	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Is there a way to delete an email account? besides just never signing in again?	N/A
20090128200605AAMVGh3	Yahoo! Products;Yahoo! Shopping	Is toetoeshoes.com a good website for authentic Air Jordans?	I've gotten soo excited when finding new sites like airjordanclub.com, offerjordan.com, and then I found out I was being scammed. I want to find a good website that has Authentic Jordans but not like flightclubny.com that has shoes for over $300. I want a good price so, is toetoeshoes.com good and any other suggestions?
20090128200845AA5xT34	Yahoo! Products;Yahoo! Answers	Im new to this when i ask a question and someone answers it what happens?	do i make it that they had the best answer or do people vote on it? and if i have to do it? how?
20090128201049AAdnnCx	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Messenger problems,stopping all the time?	I am having major problems with messemger for the last few days but today is the worst.It keeps stopping.I live in Nashville if that makes a difference
20090128201138AAYkfLo	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Yahoo messenger help?	I recently got yahoo messenger, but every time i try to join a room, it keeps saying request refused.? Is there a reason for this? Is anyone able to help me so i can get into some rooms?? thanks:]
20090128201256AAzeaJQ	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Windows live help! password and secret question!?	ive lost my password and when i tried to recover i also forget the secret answer. how can i fix this or can someone hack it?
20090128201300AAEdKnR	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I'm trying to think of a "witty" new name for my account, I'd like it to inovle the use of my name, Robby?	An example would be "Robbysaurus Rex" if you see what i mean, just lookin for some help, i really can't think of anything new.
20090128201317AABL2K5	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	I want to filter all my incoming messages into the right folder, the problem is that i don't know what to do.?	N/A
20090128201448AA7bEgN	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	RETRIEVE DELETED MESSAGES??????	HI! Plz help me out...........i need to know can we retrieve deleted messages from yahoo account(both from inbox as well trash) after a month or two???????
20090128201556AARmg8n	Yahoo! Products;Yahoo! Mail;Problems with Service	Nineminnthar@yahoo.com mail cannot sign in,why?	I cannot open my yahoo mail. How can I login my nineminnthar@yahoo.com. I cannot read my mail.
20090128201724AAebkV8	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	AIM bots, which one is the best?	i am so bored... and i like talking to the bots on AIM... but all of the good ones are like deleted.... my favorite was ZolaOnAOL she was AWESOME but now all the others are boring... So what is your favorite AIM bot to talk to???
20090128201951AAaVCta	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	How do you report a Craigslist scam? ?	There is no service in Canada where you can report a scam before it happens, that I could find. There was one but it was pages and pages of boxes to fill in. Is there a place you can explain it in 2 minutes and attach add.....friggin system gets me angry
20090128202250AAxLplS	Yahoo! Products;Yahoo! Search	When I search hot topic and Borders, I cant find any Carlisle and Esme posters. =( Can I get a link please.?	N/A
20090128202447AAQN1Jy	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Waaaaaaaa, yahoo deleted my question?	whyyyyyy!!??   i asked if someone wanted my rumble fighter account, and they deleted it, waaaaaaaaaa
20090128203822AAK1lyr	Yahoo! Products;Yahoo! Answers	What one should I pick? 10 points Best Answer!!!!?	It Valentine's day and I need to get something for myself, because I am single and that just what my friends and I do! So what should I get? I am becoming a Gemstone collector! What do you guys think?       http://www.youdeservegems.com/smokyquart...       Or       http://www.youdeservegems.com/swissbluep...       or       http://www.youdeservegems.com/fireopalea...       or       http://www.youdeservegems.com/paraibatou...       Thank you
20090128205536AAztmny	Yahoo! Products;Yahoo! Messenger;Problems with Service	How come I cant get my yahoo messager going cant sign in?	N/A
20090128205816AAOoFvr	Yahoo! Products;Yahoo! Mail;Problems with Service	I can't log in to my Yahoo Messenger..When I log in to my account it redirects me to email log in page.?	N/A
20090128205823AAG1Q8m	Yahoo! Products;Yahoo! Messenger;Voice Calls	Problem in pc to pc call in yahoo messenger?	i can't seem to call the other computer. When i press the call button, it goes in a few seconds and then says," Sorry, but we were unable to place your call. Please Try again. I tried calling other people in my list and all got the same message. What is wrong?         - I am using vista.
