20090205163738AA0hiMy	Sports;Winter Sports;Ice Skating	What kind of Blades does Sasha Cohen Have?	Wondering
20060803091547AAxG4rV	Sports;Baseball	Can anyone name an argentine currently playing either in the MLB or the MILB?	N/A
20060804142016AAKhOkC	Sports;Football (Soccer);Mexican Football (Soccer)	Kien es el mejor ekipo del fútbol?	yo pienso ke es el cruz azul
20060804150422AAVKQqN	Sports;Football (American)	Will the chargers take it all the way philip rivers??????????	philip rivers is going to be amazing in the nfl i cant wait.. the chargers got it all and u can book a sb for sd
20060805064933AAJ9haq	Sports;Baseball	I have a Chipper Jones signed rookie baseball card, how much is it worth?	N/A
20060806104335AAEHjNF	Sports;Football (American)	Is there a e-mail address or web site for Steve Raible of the Seattle Seahawks?	N/A
20060806234142AAbW1do	Sports;Baseball	What's the significance of setting a pitcher's shoes on fire?  Rogers & Bonderman lit Verlander's on 8/2...	N/A
20060813074623AA7XCOt	Sports;Baseball	Your fav in the East?	Boston
20060816201406AAOdEo8	Sports;Baseball	If you like da yankees, and have yahoo messenger pls write.?	Only Yankee Fans
20060819124108AAXpz0z	Sports;Football (American)	Raiders fans only!  Is Jerry Porter playing this Sunday against the Niners?	N/A
20060819161707AAmBpB1	Sports;Baseball	I have some old baseball cards. whats the best way to find out their value?	N/A
20060821131905AA1yxsk	Sports;Baseball	How do I watch or hear Yankee games for free?	N/A
20061008203652AA8ZBP5	Sports;Wrestling	How could they let matt hardy win?	matt hardy is born to lose and im thinking something isnt right about him beating gregory helms so he either:   a) kissed vince mcmahon's @ss off camera   b) kissed king booker's feet   c) got down on his knees, cried and begged teddy long   d) paid gregory helms to change the original booking let him have that one victory   e) all of the above   how did this loser win?
20060903154842AADCZLF	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Hey peeps-----what did i miss ?	any thing worth while?
20060930212115AAuGCIP	Sports;Football (Soccer);Mexican Football (Soccer)	?Debe Vergara comprar a Cuauhtémoc?	Pero para ponerlo en su circo como fenómeno. Se llamaría "Berrinches, el camello pambolero"
20060828053356AAK8PGa	Sports;Football (Soccer);Men's Premiere Leagues (Latin America)	?zidane o ronaldinho que es mejor?	N/A
20061008125613AA9j3j2	Sports;Outdoor Recreation;Other - Outdoor Recreation	Qué opinan de la página www.golfxgolf.com.ar?	N/A
20060930212153AAihBMH	Sports;Football (Soccer);Mexican Football (Soccer)	?PORQUE EL PIN-CHE CRUZ AZUL SIEMPRE HACE QUE NO LE ATINE A MIS QUINIELAs?	MALDITOS AZULES LLEVO 5 ACIERTOS EN EL PROGOL SOLO LE HE FALLADO AL DEL PIN-CHE CRUZL AZUL MALETA, MALDITO CHELITO SONSO NO HIZO NADA CHALES YA LLEVARA 6 OSEA TODOS LOS ACIERTOS DE MI QUINIELA
20060908010608AAyKG8k	Sports;Outdoor Recreation;Other - Outdoor Recreation	Une rubrique sports de rue ce serait sympa non?	N/A
20061010235826AAwqTnA	Sports;Outdoor Recreation;Hunting	Un autre sondage du matin, ?a vous dit ?	Alors, après le sondage "mauvaise conscience au boulot", je vous propose le sondage suivant :      Vous considérez que vous commencez à tromper votre partenaire à partir de quel stade ?      1- Faire des rêves érotiques dont il/elle est absent(e)   2- Mater des bombasses dans la rue..   3- Mater des films sans scénario (X pour les lents d'esprits)   4- Entretenir des relations (non sexuelles) secrètes avec qq'un (genre amour platonique ou amitié exclusive et privée)   5- Entretenir des relations uniquement sexuelles avec qq'un d'autre   6- Avoir des enfants avec qq'un d'autre
20061011000735AAq9vlk	Sports;Wrestling	Une femme Président(e)... mais où va la France ?	On a pas déjà assez de problèmes comme ?a ? vous trouvez pas ?      Je vous avais dit mesdemoiselles, je suis en forme aujourd'hui !
20060903160931AAb1wv1	Sports;Football (Soccer);Brazilian Football (Soccer)	Qual o melhor Técnico em atua??o no Futebol Brasileiro?	N/A
20060914075510AAO82ry	Sports;Rugby	Il parait que plus de deux tiers des fran?ais.......?	ne savent pas où se jouera la coupe du monde de rugby en 2007?      Et vous?
20060928031930AA6AWMP	Sports;Football (Soccer);Men's Premiere Leagues (Italy)	Amichevole Atalanta-Inter per Giacinto Facchetti...chi c'è????	giovedì 5 ottobre alle 20.45 presso lo stadio "Atleti azzurri d'Italia" di Bergamo si terrà la partita amichevole tra Atalanta e Inter in memoria del grande Giacinto Facchetti...qualcuno viene?   Teo
20060920024019AAtQ0xb	Sports;Wrestling	Lashley deserves to b the world champion but no too soon?	N/A
20060902071335AAwijxu	Sports;Wrestling	What did you think of yesterdays smackdown?	N/A
20060907122916AAZ1B0Q	Sports;Basketball	Que opinas de la nba y la liga nacional de basket argentino?	Todo sobre la nba y liga
20060904083024AAUHR82	Sports;Football (American)	How many HOKIE fans are reading this site today?	GO HOKIES!!!!!!!  Do you think news has it right?? Mike Vick overrated??? I think it takes more than a good Q/B to have a good team
20060902120743AAEv2Bn	Sports;Wrestling	Surivor series predictions?	These are my predictins for the 3 way 5man match at SS.(if it happens)      Repesenting Raw - Edge, Cena, Jeff Hardy, Kane, Umaga.      Repesenting Smackdown! - King Booker(all hail) , Mr Kennedy, Batista, Sir Finlay, Lashley.      Repesenting ECW - Big Show, CM Punk,  Rob Van Dam, Sabu, Sandman.
20060907032355AAKL4Ov	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Chapeau bas! Hats off! Giù il cappello! GREAT France... but where was Italy?	Was Donadoni right? He said 'it'll take 2 months to watch the real Italy again'. Yesterday France dominated the match, their players were running twice faster than Italians, had lots of scoring opportunities, great plays, never suffered (only in the last 20' of first half Italy gave the illusion to challenge the opponent). Italy? Few ideas, useless long passing, ugly fitness, basic mistakes (too often French forwards were unmarked on field's sides, some attempt to low ball assists unlikely to be unstopped, wandering midfielders and so on). It was a full Lithuania match replica, with a top level opponent, it could end in a worst way, because second half was easily controlled from French, they reduced willingness and tempo when winning 3-1, since 75'...   Now, preliminaries are a difficult task. And could lacking of fitness be enough to explain such a poor performance?. I think they were out of focus too. Only some bit of willingness avoided an unforgettable loss...   What do you think?
20061007083523AAhI3fL	Sports;Football (Soccer);2006 FIFA World Cup(TM)	In fifa 06 soccer which soccer team is the best for career mode?	N/A
20060907101138AAOKcCN	Sports;Football (American)	Where can I find flag football plays?	N/A
20060822174819AAPmZtS	Sports;Football (Soccer);Mexican Football (Soccer)	Mi equipo de soccer???	N/A
20060824054139AAbtKoK	Sports;Other - Sports	Vale que la pelota de ping pong toque las líneas blancas que delimitan la mesa o se considera fuera?	N/A
20060826110913AAY1F2j	Sports;Volleyball	Pourquoi y a-t-il un joueur avec un maillot différent au sein d'une même équipe de volley-ball ?	N/A
20060827045001AArmv1M	Sports;Football (Soccer);2006 FIFA World Cup(TM)	WORLD CUP TRIViA QUESTION.,..10 POINTS?	another recap question.....      give me the places that each team came in at this world cup
20060906181620AAjrDg7	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Is San Marino....?	really that bad??? Or is Germany really that good? losing 13-0 is pretty harsh         what are your opinions?
20060827092243AAHj8VA	Sports;Football (Soccer);Brazilian Football (Soccer)	Alguém pode responde pq o tim?o vai cai?	N/A
20060827092703AAX6zBV	Sports;Football (Soccer);Brazilian Football (Soccer)	Num time tem onze ou doze jogadores?	N/A
20060828132029AAkA6SV	Sports;Volleyball	Sobre educaion fisica?	las  medidas de la maya DE VOLEIBOL NIVEL ELEMENTAR f Y m POR PIES LAS MEDIDAS
20060828191228AACOw6g	Sports;Football (Soccer);Brazilian Football (Soccer)	Depois de ganhar a Série B, no ano passado, o Grêmio é candidato ao título da Série A?	N/A
20060830195422AAHT6Gt	Sports;Football (Soccer);Men's Premiere Leagues (Other)	Correo  electronico  de  felix  magath?	es  el  entrenador  del  bayer  munichs  de  alemania
20060830211021AAqrDUm	Sports;Football (Soccer);Mexican Football (Soccer)	AY alguien me puede decir por cuantos goles le gano MI AMERICACA a jaguares y cuantos metio Caba?as?	Es que estoy fuera de mexico y no pude ver el juego .
20060901124659AAdDEVi	Sports;Olympics	Cuanto mide una alberca olimpica y semi-olimpica y distancias que se recorren en los maratones?	N/A
20060902111402AAo2Pv7	Sports;Other - Sports	Desenvolver os gluteos quais exercicios?quantas repeti??e?	Q exercícios posso fazer na academia(muscula??o) pra desenvolver a musculatura dos gluteos?quantas repeti??es e quantas vezes por semana?
20060904095724AATEKwQ	Sports;Baseball	What's the fastest baseball pitch speed ever recorded?	Saw 102 mph today on ESPN Sportscenter
20060915184835AAt9US4	Sports;Football (American)	Does any one know who has 5 super bowl rings, and never played in a super bowl game???  I know the answer....?	N/A
20060916213343AAIhXmI	Sports;Other - Sports	Whats the best way to build the muscles between you neck and shoulders???	what is the best way to build those muscles between your neck and your shoulder???the ones that all muscular athletes or body builders have???
20060917084959AAAQGvB	Sports;Wrestling	Grand theft auto is coming in october 19 2007 . good luck?	N/A
20060917174000AAaQXoh	Sports;Football (Soccer);Men's Premiere Leagues (Latin America)	10 puntos fáciles?	El que me tradusca este parrafo exactamente le doy 10 puntos faciles.   ride on opponent's arwing    To ride on your opponents arwing/wolfen, land by holding X. Have the other player run up to the vehicle and press Z to enter the vehicle. You will now be riding the opponents arwing.
20060922014911AAXvrOu	Sports;Football (Soccer);Other - Soccer	Quien para ti, es el mejor pele o ronaldhi?o?	N/A
20060926092615AACgdaP	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Je suis mince comment faire pour grossir?	N/A
20060926100901AAqN1Cf	Sports;Football (Soccer);Mexican Football (Soccer)	Hugo sànchez, luis fdo tena o josè luis trejo para el tri cual tiene màs posibilidades.?	N/A
20060926161102AAY6EUk	Sports;Other - Sports	Quais esportes sao praticados no brasil por influencia dos EUA?	N/A
20060927050328AALXN9n	Sports;Football (Soccer);Other - Soccer	Ragazzi stasera c'è roma - valencia che ne pensate? fate pronostici....?	N/A
20060928132759AA1Jd75	Sports;Wrestling	What could be the main event at Wrestlemania23?	Elimation chamber?
20060930215648AA0PM5B	Sports;Football (Soccer);Mexican Football (Soccer)	Es cierto que el JOROBADO CUAUCHEMO BLANCO aseguro que se retiraria si perdian hoy sus GUAJOLOTAS con CHIVAS?	N/A
20061004155457AA7qIQT	Sports;Football (American)	Where can i find pictures of will demps the nfl player ?	N/A
20061004200923AAw9KSE	Sports;Other - Sports	Which bicycle should I choose?	I'm getting a bike soon and I want to know which one should I get. I don't want a bike for tricks, more for speed. As for the size, I want a medium sized bike.  I don't want to spend any more than 100$.
20061007122618AADM2t2	Sports;Football (Soccer);Other - Soccer	Va ser transmitido por TV el partido entre Guatemala y Honduras?	Retransmission:  Hora, Canal y Fecha.
20061008055415AALynAj	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Per che squadra inglese tifate?	io per il mitico Manchester United!
20061008064508AA25Kqe	Sports;Football (Soccer);Men's Premiere Leagues (Latin America)	?alguien kiere entradas para Espa?a Argentina?	tengo entradas de sobra para el partido d espa?a argentina en nueva condomina de murcia, ponerse en contacto conmigo,por msn, e-mail, o tlfno (625733683 ó 675205023)
20061008171025AA33yHN	Sports;Wrestling	Will Mr. McMahon come back ? If not what will happen to WWE?	N/A
20061008195028AAf5lQZ	Sports;Baseball	Alguien sabe cual es la nacionalidad de Alex Rodriguez De los Yankees?	N/A
20061009154503AAt7cg3	Sports;Wrestling	Check out this pic of E.G. http://www.flash-screen.com/fr	N/A
20061011124212AAyhPYU	Sports;Wrestling	What do you  think  about  a austin/hogan match?	Me  thinks it will be  cool
20061011143229AA8EMI0	Sports;Football (Soccer);Other - Soccer	Che ne dite per la Georgia?	Italia ha vinto, ma anche la Georgia non ha fatto male, che ne dite, ci può crescere questa piccola ma promettente squadra?
20090203060556AAWNO4H	Sports;Wrestling	Why do you think fans get so excited to see certain moves?	For instance, the 5 knuckle shuffle, the people's elbow, etc. The moves clearly do almost nothing and you can't even tell if they hit the guy at all half the time. Yet fans go crazy for it...      Another one I can't stand is the 619 with that little gnat mysterio.
20090203060013AA2vg9i	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Will Ricardo Quaresma be able to play against Juventus in the Champion's League?	Because Rion's saying he can't....but I think he's lying :( well, he did tell me Liverpool signed Villa yesterday.      Can he or not?
20090203052120AAN3mSr	Sports;Football (Soccer);Men's Premiere Leagues (UK)	So, regardless of the result this weekend?	Will Spurs bring out a dvd???      How long is it now since they beat us in the league?  maybe it's about time eh?       lmao 9 years and counting
20090203052008AAFiePK	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Should we just buy Vieira, Henry and Campbell back?	Like some others?  Lol      FQ2 - All the Spurs fans were moaning last season saying that the BOTTOM half of the league wasn't good enough, now your back where you started, so why are you all happy??      Is it because you might scrape out of the bottom 4 or are you desperate to see Arsenal finish 5th, so you can find something to be happy about?
20090203052723AAZzRsb	Sports;Football (Soccer);Scottish Football (Soccer)	How many appearances did?	Alan Gow make for Rangers? Its just that i see he is away on loan again and i don't ever remember him playing for Rangers. Derek Riordan made 24 appearances for Celtic before getting sold back to Hibs and all we read in the papers is that he never got a chance at Celtic Park. Why no similar headlines about Gow and Rangers?  Strange That !
20090203050126AAYVCfM	Sports;Football (Soccer);Men's Premiere Leagues (UK)	With Robbie Keane joining Defoe and Chimbonda Back at Spurs,Is Football Manager 2008.... ?	....more up to date than 2009
20090203050041AADs34g	Sports;Auto Racing;NASCAR	Nascar Nation...                 ?	Who has the most underrated job on a team?      Today we will honor...      48MOJO      Enjoy your day and don't forget to email me with your choice of best answer! :)
20090203044603AAKJzu3	Sports;Football (Soccer);Men's Premiere Leagues (UK)	EVERTON VS LIVERPOOL 4th round REMATCH?	WHOS PUMPED...   WHO DO YOU THINK WILL WIN??         ...COYB!!!!!!!!!!!!!!!
20090203051729AADR72V	Sports;Football (Soccer);Men's Premiere Leagues (UK)	If you could meet one?	Football player in the world, who would it be ?      AND      One user either in the FIFA section or the UK section, who would it be?
20061012192723AA5Fkfu	Sports;Baseball	Blue Jays Jerseys?	Where can I find Blue Jays jerseys for a great deal?
20090203053202AAyOpG8	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Please help to find a photo of Fernando Torres after he scored the first goal against Chelsea... 10 points?	I'm looking for a photo of Fernando Torres after scoring his first goal against Chelsea on 1.02.2009 , after scoring he sat on the grass is a pose of lotus(i don't know what it's called exactly but those who have watched the game will guess). I need a link or a site I can't find on google... Thanks
20090203055853AAUUCrY	Sports;Basketball	Who has more triple doubles?	Kobe - 13 years pro   LeBron - 6 years pro   Wade - 6 years pro      Who in their careers have more?
20090203055550AAd2jAH	Sports;Auto Racing;NASCAR	NASCAR NATION? Does anyone remember the VRL?	A number of years ago...Miller Lite sponsored a web site called Miller Lite's Virtual Race League. On this website you could design your own car, hire a driver and crew chief, and name your team. You could collect codes to make your car stronger/team better from cases of Miller Lite and off the in car camera shots in Rusty's #2. So here's my question----Do you remember this? Did you participate? And was you any good. I never had much success....I don't drink so the only codes I could get were from Rusty's in car...which weren't as good codes as the cases. Would you like to see them bring them back? I know I sure would. Just an opinion as always.
20090203053349AA1drXh	Sports;Baseball	What kind of idiot turns down a one year deal for 25 million dollars?	Answer: Manny Ramirez....................Wow!!!!      Your thoughts!!!!!
20090203055211AAmC9Hk	Sports;Football (Soccer);Scottish Football (Soccer)	Celtic fans, do you think the lack of transfer action...?	during this window is because the board know that Strachan is leaving?   I heard a rumour a few weeks ago that Strachan will leave regardless of the league conclusion and will be replaced by Roy Keane.       I think Strachan is coming to the end of his Celtic journey but wouldnt be happy with Keane.
20090203060047AAf7XJ8	Sports;Football (Soccer);Scottish Football (Soccer)	Celtic fans. When is the time to promote some reserves?	Celtic made 8 signings in total during the transfer window, 7 of whom are being termed 2 year projects. Surely if they are good enough these guys should be involved in and around the first team. The board have taken a massive risk in my opinion if they presume the first 11 is strong enough to fight on 3 fronts for the remainder of the season.      Im not going to jump on the bandwagon that John Fleck is some sort of wonderkid but after seeing him twice, he has improved rangers yet he is only 17. Will Celtic try the same thing?
20090203055135AAphiba	Sports;Martial Arts	Where can i find no gi tournament in NY or NYC?	ive been looking for open no-gi bjj tournaments and am having a hard time. any suggestions or sites to look into
20090203053552AAh9UBs	Sports;Motorcycle Racing	Tell me what you think?	am i cut out for motocross?         im 14.   im a girl.   i like danger, and excitement.   i work out every day and am considered in "top" condition.   fearless?   dare devil.
20090203045023AAkrXIx	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Beckham and Milan v La Galaxy?	Will Beckham have to return the vast fortune he allegedly got to go to USA if he does not complete his crusade to bring football to America.   If he does in fact stay in Italy is he morally right or wrong after all he said about going to America in the first place.
20061105131932AAKrR3K	Sports;Wrestling	Which ring enterance is more enjoyable? Mickie's or Melina's?	On one hand you have Mickie skipping her way to the ring, and on the other you have Melina doing the splits to get into the ring. Wow, that's a tough one to answer! I enjoy both, but if I would have to choose I would choose Melina's :). Which would you pick?
20090203060714AAebyUN	Sports;Hockey	Which is better the nhl or the chl in russia why?	they got jagr,straka lacuter and other nhlers
20090203054529AAg62o8	Sports;Outdoor Recreation;Fishing	How do you keep fresh mussels on the hook?	there is very little membrane or toughness to this fine shellfish and i find i can only use very little, any tips guys?
20090203055040AA9pSyO	Sports;Swimming & Diving	I would love to take my 11 month swimming soon....?	when the weather is better, does anyone know where i can get reasonable swim wear and arm bands but not too expensive? I live in the UK
20090203045520AAgP12u	Sports;Baseball	If Pedro Martins somehow stay healthy in his entire career, is he the best?	Just pitchers in last two decades please because I have never seen other pitchers pitch before that. There are four names that are comparable in last two decades:      Pedro Martins   Greg Maddux   Roger Clemens   Randy Johnson      They are four of the best in my generation so far. Maybe the likes of Johan Santana, CC or other big name pitchers can catch them up but the fact is they are not their yet.      In these four names, Pedro shines the shortest time but probably the best of the four at his best. In his prime, he is Roger Clemens and Greg Maddux hybrid. Too bad his magic is gone due to various reasons and makes him fall behind Randy Johnson.      Let’s say he did not have those problems, is he the best of all?      Please don’t mention Roger’s drug problem. Not the main point here.
20090203044730AAW1f6l	Sports;Tennis	How is this for a crazy thought?	Tennis world seems like all about Federer fading and Nadal’s dominance. How is this for a crazy thought? Andy Murray will win French open this year by knocking out Nadal in Semi and beat Federer (or whoever) in the Final.      The ability that Andy has to get to the ball is quite impressive in this past half year and he reminds me of Michael Chen but with better ball control and serves. Even though serves is not a big factor on Clay, I believe Andy’s new physic and more mature attitude should get him far in French Open.      Yeah, everyone is saying how Nadal and Federer hitting the balls are out of the world and impressive as hell but the thing is in tennis, not everything is about big shots. In US open and the Masters, Andy proves that he can out run the likes of Nadal and Federer. I believe he is able to annoy them to death with his style of tennis.      What do you think?
20090203054954AAlhLIz	Sports;Basketball	NBA: Who's free throw % has increased the most?	During their career    A- Shaq  B- Ben Wallace  C- Marcus Camby  D- If you don't like A,B, or C, feel free to put w/e you want for D    Star if you like! c[ :
20061105143450AAgjfKg	Sports;Wrestling	By what age do most great high school or colllege wrestlers start?	N/A
20061027142004AAjOYrU	Sports;Wrestling	Do they sell the eddie guerrero wristband in stores?	The one that says EG on it
20061120161309AAl4TRl	Sports;Wrestling	What's your favorite WWE diva gimmic match?	Whats your favorite diva gimmic match,such as bra and panties,the food fights,evening gown,etc.   I'd haveta say I'll go old school and say Mud wrestling,mainly because if I EVER became a WWE diva,the first big rivalry I would have with another diva I'd mud fight her!Anywho guys(and girls can answer)what's your favorite diva gimmic match?
20090203050604AAs30Sf	Sports;Cricket	Brilliant centuries by yuvi and viru........hu do u think is gonna win?	whus century wud you term better  and who do you think is gonna win this ODI???? SL OR INDIA    thx for answers  cheers:-)
20090203051951AAuoWCc	Sports;Tennis	Would you rather be seen on TV crying after losing an important tennis match.....?	... or digging your underwear out of your a$$ everytime you start to play a point?      GET OVER THE CRYING INCIDENT ALREADY!  especially you, Vladimir Putin, NWO.  Apparently you think sticking your fingers in your bu TT crack is more socially acceptable than letting your emotions run.  You must be a couple of reallllly desirable men.
20061108203408AA4F28n	Sports;Wrestling	Would Cryme Tyme steal from Stevie Wonder {if given the chance} ?	They would steal from their own mother.
20070130132801AAjhD37	Sports;Wrestling	Wwe question !?	do u think it was REALLY that amazin that taker one the royal rumble . i mean im happy ~but he came out # 30 ... i think orton shoulda won he came out in the beginning........whos with me
20090203050427AAwcZKR	Sports;Hockey	What's the deal with this player?	Brandon Bochenski?   I was impressed with him when he was in Boston. Yet, he seems to be trade bait all the time. I consider myself a decent judge of players. But what gives with him? Is he a bad seed in locker rooms? Is he just not good enough? It seems he isn't even playing in the NHL this season:  http://sports.yahoo.com/nhl/players/3399...
20090203052738AAICpbo	Sports;Tennis	Do u think another Serena Slam is on it's way?	3 consecutive Grand slam final & 2 win(US Open & AO)  among them.So the way Serena is progressing do u think SHE CAN DO IT ONCE AGAIN?      She need 2 win these year's Rolland Garros & Wimbledon back to back--& 1 more SERENA SLAM,so how much the possibility is there ???????
20090203052737AADDerz	Sports;Tennis	Do u think another Serena Slam is on it's way?	3 consecutive Grand slam final & 2 win(US Open & AO)  among them.So the way Serena is progressing do u think SHE CAN DO IT ONCE AGAIN?      She need 2 win these year's Rolland Garros & Wimbledon back to back--& 1 more SERENA SLAM,so how much the possibility is there ???????
20090203050132AASAbY0	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Fifa 09 agbonlahor or huntelaar?	N/A
20090203052731AADaGyL	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Fifa 09 - van der vaart or sneijder?	N/A
20070105020559AADab1z	Sports;Winter Sports;Snow Skiing	C'è neve al Monginevro?	Devo andare a sciare domani e volevo sapere e le piste sono tutte aperte.
20070201210317AAKByOI	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Wow just look at this...?	 http://www.acmilan.com/       Their really taking Ronaldo's move to Milan seriously !!!!
20061214183029AAd8CQM	Sports;Football (Soccer);Mexican Football (Soccer)	Tengo mucho coraje con el América, yo creo que debe salir MANUEL LAPUENTE. ustedes que creen?	N/A
20070207110727AAOaeFS	Sports;Football (Soccer);Other - Soccer	What is the name of the trick in soccer that you keep on kicking the ball up everytime it comes down?	N/A
20061031125539AAnjbL8	Sports;Football (Soccer);UEFA Champions League	Unicef auf dem Trikot vom FC Barcelona, wie kommt das?	Schau gerade das Champions League Spiel Chelsea gegen FC Barcelona und dabei viel mir auf, dass Barcelona "Unicef" auf den Trikots hat.      Ich dachte immer Fussballclubs würden mit ihren Trikotsponsoren super viel Geld verdienen und erst Recht so ein Club wie Barcelona. Andererseits kann ich mir nur schwer vorstellen, dass so eine arme Organisation wie Unicef sich sowas leisten kann.      Hat einer eine Ahnung, wie sowas zustande kommt?
20061013074817AAttmIG	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Hey guys who is your favourite cricket team ??i kno i shud...?	hiya guyz hu iz ur fav cricket team?n hu iz gonna win da icc champions trophy 2006??and who will win 2day bd or zim the match is goin on.....i hope bd wins....   my fav circket team is australia but i like england too cause im from england and i think aus gonna win icc champions trophy   i know i should ask this q on the cricket category but i wanna know first frm u guyz
20061213104736AA0OiFy	Sports;Football (Soccer);Mexican Football (Soccer)	Creen que hugo sanches es el correcto para dirigir en la selección o hubieran preferido al tolo gallego?	N/A
20090203060013AAk8t1y	Sports;Football (Soccer);Men's Premiere Leagues (UK)	If BIG DECISIONS put Liverpool on a winning trail .....?	Then which ones of these are big decisions:   a) Not playing Robbie Keane   b) Selling him away for an ￡8 million loss   c) Getting Frank Lampard sent off   d) Bosingwa not sent off   e) Your choice    http://www.liverpoolecho.co.uk/liverpool... 
20090203060804AAYHhd5	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Isn't Everton the best team from Merseyside?	 http://www.liverpooldailypost.co.uk/live... 
20090203060401AAzxNJ5	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Is Rafa planning on selling Steven Gerrard?	 http://www.liverpoolecho.co.uk/liverpool...       It seems that he is planning to build Liverpool's team around Fernando Torres.      Which team will be interested with Steven Gerrard if he is sold?
20070121154035AAyWudg	Sports;Football (American)	Who's the better middle linebacker: Tofu Lapupu or Brian Orbacher???	Who's better, Lapupu of the Seahawks, or Orbacher of the Bears...
20090203051232AAfZJDu	Sports;Football (Soccer);Scottish Football (Soccer)	Does Beckhams form just go to prove without a doubt that steve mcclaren is the biggest ever wanker in football?	N/A
20061213163239AAdVZHI	Sports;Other - Sports	Which a better sport to you?	foot ball or soccor?
20061105171307AAuy7ep	Sports;Wrestling	Who agrees with me 3?	THE UNDERTAKER IS THE BEST WRESTLER EVER! Do you agree?
20061221100215AAWuOkM	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Which kids of the current soccer players will go on to become great players themselves?	N/A
20090203060149AAQxPfd	Sports;Cricket	SRI vs IND 3rd odi >> LIVE > watch online > free?	PLZ PLZ PLZ GIVE WORKING LINKS, IF U CAN PLZ CHECK AND THEY POST
20070209191422AAM4dS0	Sports;Football (American)	Pittsburgh Steelers?	will the colts be like them and not make the playoffs the following year?
20090203055942AAtnVOt	Sports;Cricket	Cricket Quiz? (No.31)?	DIFFICULTY: Tough  CLUES:  45-50  Never bowled in ODIs  35 (till date)  I am very good against West Indies  I have something related to Bangladesh  "Mali"    I AM  _ _ _ _ _ _ _ _ _ (9) _ _ _ _ _ _ _ (7) _ _ _ _ _ _ _ (7) _ _ _ _ _ _ _ _ _ (9)
20090203054800AAeL4RS	Sports;Football (Soccer);Other - Soccer	I am wanting to try out for my school soccer team. tryouts are march 9. i wanna know some ways to get better?	i was on the team last year, but didnt play much. but now im an 8th grader, and i said at first i wasnt going to tryout but now i decided i do want to play. but my problem is running. whats are some ways i can get better at running? and get my soccer skills better. ???  i started 2 days ago working out with situps,pushups,ab lounge. and then running/walking.  but yes what are some ways i can improve my running? and make my soccer skills better?? ( i am not fat fat, but im not skinny skinny either!!!!!!!  and i want to loose that little belly i have. )        PLEASE HELP !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!      THANK YOU SO MUCH
20061013075951AAiarNd	Sports;Baseball	St. Louis Cardinals Skull cap (like Preston Wilson's)?	I'm looking for the St. Louis Cardinals skull cap like the one Preston Wilson was wearing last night. I'm a runner and lost my old one and would love a Cardinals one. I'm not looking for a beanie wool cal, but a skull cap made from a wicking material to keep my brain meats warm and dry.
20061026203121AAPIYYm	Sports;Outdoor Recreation;Other - Outdoor Recreation	Alguien sabe?	en que pagina puedo descargar libros de scout antiguos nietecito la cartilla de lobatos, que publico la asociacion scout de mexico en los a?os de 1950 a 1980
20061029083812AAG2pMM	Sports;Wrestling	I need help but not critism?	I am one out of a very few girls I know who wrestle and I have just recently entered high school but do not plan on wrestling on the team at my high school, does anyone know of an alternative league just for girls? thanx!!
20061029164635AACqDcy	Sports;Wrestling	This year is my first year wrestling, is there anything i can do to prepare me for it?	N/A
20061031131838AA8qZlb	Sports;Other - Sports	Come faccio a diventare una ballerina??	vorrei diventare una ballerina! aiutatemi"! come faccio'?????????????????
20061113060036AAMtNBo	Sports;Other - Sports	Best gym club in Dublin ??	I live in Clontarf and I am pretty close to the city center (15 min from Connolly Station by walking) and I'd like to know if anyone knows a great gym club in that area? From what I know it's pretty expensive in here (around 80/month) but if that's the only way I can keep on doing sport, I guess I don't have any other choice. So which one do you think have the best equipment and is still affordable ?    Any suggestions ?
20061113144305AA7G6uA	Sports;Baseball	What is the average speed for a fast ball in high school baseball?	N/A
20061114111649AAFH8Pc	Sports;Football (American)	9th grade football?	i wanna play DE in 9th grade football in a 4a school, we r one of the worst schools and my school needs a DE badly and i need to know what my stats should be my 40 yd dash bench and leg power ect.
20061203072524AArxYdR	Sports;Other - Sports	Which is the best table tennis racquet?	i need 2 buy 1
20061208195406AA6fLsH	Sports;Other - Sports	How is the artistic gymnastics games being scored since year 2006?	N/A
20061211122611AAF4mxg	Sports;Auto Racing;Formula One	Warum sol es nicht Michael Schumacher sein ?	Er ist schlie?lich 7 x Weltmeister geworden, was noch keiner vor ihm fertig gebracht hat.
