20060728070641AAMHFLL	Yahoo! Products;Other - Yahoo! Products	How do I get a yahoo avatar instead of my picture wuth a smiley face? I want to change it- soon!?	I already chose to have no picture... but can I change that now? If so, HOW?
20090202211501AAbTuvc	Yahoo! Products;Yahoo! Mail;External Mail (POP)	How can I find my email server name?	N/A
20090202213745AAaV1tb	Yahoo! Products;Yahoo! Answers	How do you find passion in life?	Right now I'm a 21 year old college student. My major is International Economics/Business, and I'm not really that happy with it. Yeah, I am semi-interested in it, but it's not what I want I want to do with my life. The problem is, I don't really know what I do want to do. I just don't know that I'm not doing what I want to be doing. Honestly, I don't get enjoyment out of many activities. Part of me actually wants to drop out of college, but I only have a year left, so it's not an option. I just don't know what I want to do. I feel that even if I do get a great job...so what? I'm going to be a wage-slave my whole life and then die. We're all going to die, so what's the point. But it's sort of reassuring that we're all going to die, because it leaves us more freedom to do whatever the hell we want.   Another issue is that I've never been in a relationship, which doesn't bother me so much. I also have no desire for sex. So perhaps I'm asexual. I think society puts way too much emphasis on relationships. People think that if they don't have someone they are incomplete or a loser. Why can't people just be happy alone? Why can't people be happy with themselves? I think there's more to life than relationships and love. What's with society's obsession over love. Because when it comes down to it, if you're not happy with yourself, and don't love yourself, you're not gong to be happy in a relationship. Relationships are not a cure to make yourself happy.   Between school and relationships, I'm just at a very confused point in my life. Society's typical path of good career, marriage, white picket fence, kids is not for me..   On top of everything, I have an extremely overbearing mother who won't stop telling me what jobs to apply for and what to do with my life.
20090202212702AAHM1U9	Yahoo! Products;Yahoo! Answers	Thanks guys for all your answers/points?	actually the scratch is quite broad and at some point deep too. we have very very compact space (for me at least!) in the apt parking lot and I scratched on the right side of the back door onto a pillar while taking the car out, I was in a hurry though that is not an excuse to be careless with the new car. there is even some kind of blue paint came from the pillar. dealers will probably charge me a lot of money, I was hoping if I could do anything cheaper!
20090202213701AA5UDsK	Yahoo! Products;Yahoo! Answers	Do "DNA" kits work or should I go to a lab?	*I wanted to buy a dna kit to prove that my "EX" he is the father, but I am not sure if it's accurate enough.
20090202212345AAr51v6	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	How do i alphabatize my address book?	N/A
20090202212420AAEAb2i	Yahoo! Products;Other - Yahoo! Products	What will happen to my friend who didn't meant to use a fake ID?	My friends was caught outside of a bar last august. While outside of the bar he was holding a beer and he was already drunk. Before the cops came a random drunk guy gave him his ID. Once the cops arrested my friend for underage drinking, they took the first ID they found in his pocket, which was the the fake ID the random guy had given him, and used that information. That random guy came back and asked for his ID back. And obviously the cops figured it out that my friend had had a fake ID. If my friend wouldn't have been drunk, he would have given the police officers his legit ID. My friend has a court date on Friday to determine whether or not he will lose his license for a year. Do you think he will lose his license after he tells the court what really happened?
20090202212520AApHxua	Yahoo! Products;Other - Yahoo! Products	How do I cancel my Yahoo! Games/Oberon Media subscription after my 2-month obligation?	I made the mistake of subscribing to Yahoo! Games (1 game a month for $9.95 a month - with a 2 month minimum), thinking it was an actual Yahoo! premium service - only to find out that I ended up with a subscription to Oberon Media, and was billed by a company under an entirely different name "GAMESAVER SUBSCRIPTION INTERNET CY". I have been trying for 2 days now to find out how to cancel this subscription once my 2-month obligation has ended, but both, Yahoo and Oberon, have done nothing but give me a very aggravating  run around. HOW do I cancel this Yahoo! Games/Oberon Media subscription when the 2 months have elapsed and my 2-month obligation has been fulfilled????
20090202213130AAGUton	Yahoo! Products;Other - Yahoo! Products	What website should I go to to make a funny pic on I have been to imikimi and can not find what Im looking for?	I want to take a pic of a speed boat and write something on the side of it. Any suggestion? THANKS
20090202213237AAAdZ2g	Yahoo! Products;Yahoo! Mail;Personalization	My computer fonts are all bold?	N/A
20090202213303AANUPrW	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I have clicked remember my password by mistake on my gmail id,how to undo it?	when i write first letter of my id it gets signed in without providing password
20090202213800AAdyQNK	Yahoo! Products;Yahoo! Messenger;Problems with Service	Error with my status of YM, that always show Invisible although i was Online and set VISIBLE.?	I was trying from other pc, another YM and another connection. There is still same that case i still Invisible. Please help me how can i resolved this. Thank you.
20090202214027AAZjPsZ	Yahoo! Products;Yahoo! Real Estate	Has anybody heard of greenleaf loan modification? www.greenleaflegalservices.com	N/A
