20090306090811AASC6YB	Entertainment & Music;Music;Lyrics	Songs You Can Get Angry At?	Need One So Bad
20090306181144AAi9okC	Entertainment & Music;Polls & Surveys	Is anyone going to help me answer all these questions?	no matter how fast I go i can't keep up with all of them.  And sometimes I really just don't know the answer to some of them, I keep getting farther and farther behind.
20090306183841AAC3ze5	Entertainment & Music;Polls & Surveys	How did your high school basketball team do this season?	My school went 15-5 in the regular season, won 1 game in the sub-state, and then we lost tonight.. =(.. No state for us..      But now that Basketball is over.. I need to get on Baseball..!
20090306185900AA5YFO4	Entertainment & Music;Polls & Surveys	Would you say I was a disgrace to my gender?	One of the builders working next door to me has just given a female pedestrian a wolf whistle. It wasn't done in front of the other builders and was by no means overly loud or obnoxious. She gave him the finger in return. Why the rudeness? Or am I just still living in the days when a wolf whistle was considered a compliment?
20090306173435AAJlgsX	Entertainment & Music;Polls & Surveys	Are some people inherently lucky or unlucky?	N/A
20090306173838AAIBC5H	Entertainment & Music;Polls & Surveys	This Is Sooo Not True!!?	 http://www.youtube.com/watch?v=RTbo-b5w4... 
20090306174220AAdcJD8	Entertainment & Music;Celebrities	If you HAD TO be famous for one of these which would it be?	-Singing   -Acting   -Magic   -Dancing   -Directing   -Photographing   -Designing Clothes
20090306172041AAoxudk	Entertainment & Music;Polls & Surveys	WOMEN:How much do you weigh, how tall are you and..?	How old were you when you first got your period?   Men can answer, although I would like to hear your period explanation...      I'm trying to see if they're somehow related.   If you feel uncomfterble telling me your weight, then just tell me your height.   I'll even do it.   5' 1''   I was 10   And I weigh 92 pounds
20090306185037AApYtMz	Entertainment & Music;Polls & Surveys	Do you like peeling dried glue off your hands?	I used to love it.
20090306180151AAd7kRO	Entertainment & Music;Polls & Surveys	Would you go to one of Micheal Jackson's concert?	N/A
20090306173824AAUyfaG	Entertainment & Music;Polls & Surveys	Do you keep a clean and tidy house?	I am not spotless but I do like everything to be clean.
20090306172327AAx5mAB	Entertainment & Music;Polls & Surveys	I am off now for an evening out at a Comedy Club with friends...when was your last good laugh?!?	Catch ya later;-)
20090306173520AAw9qXy	Entertainment & Music;Polls & Surveys	If you could trade houses where would you live in?	N/A
20090306180149AA3dYiR	Entertainment & Music;Polls & Surveys	Survey: What would you do if...?	You were driving and you randomly saw your favorite band/singer walking down the street? What would you say/do to them? Funniest answer gets BA.      =)
20090306173617AAZZAvY	Entertainment & Music;Music;Rap and Hip-Hop	Can you still call Coolio cool after he got busted for having crack at LAX?!?	Hes bummin mayne, word!?!?!?!?!
20090306175411AAEEg6z	Entertainment & Music;Music;Other - Music	Why does my voice shake?	I'm in a musical this year, and when I practice for my parts (since my characters has longs notes), my voice shakes. Why is this?
20090306185727AAMUugG	Entertainment & Music;Polls & Surveys	Why do people say that the nose is the window to the soul?	N/A
20090306181213AAC4qGv	Entertainment & Music;Comics & Animation	Ishida or renji?? >from bleach<?	i have to say ISHIDA!!!!!!   HE'S MY LOVE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!...
20090306172314AAKpXAd	Entertainment & Music;Polls & Surveys	Who's your favorite comedian?	N/A
20090306182310AAaZGAb	Entertainment & Music;Polls & Surveys	What is the last thing you ate?	Isn't it oddly amusing to find out what other people are eating?
20090306170817AArpWTL	Entertainment & Music;Television;Soap Operas	The Young & The Restless watchers: What is going on with Sharon?	she takes things that don't belong to her without knowing it. she sleeps with whichever guy she sees first. Today she called Phyllis when she wanted to call Jack. She said Nick's name when they were in bed(her and Jack).  I actually like Sharon. And I like her and Nick together but now I am thinking they're both crazy. The past few weeks I have not been the biggest fan of hers.   What disease is she supposed to have? or is it just the guilt about brad's death? I am not sure what the writer's are trying to do...I have a feeling that she's gonna get pregnant and she won't know who the father is,Billy or Nick, but they seem to focus on her mental state right now....      Thanks!
20090306172038AAlDt7Y	Entertainment & Music;Polls & Surveys	Are you an......animal?	N/A
20090306172334AAnCdJm	Entertainment & Music;Polls & Surveys	Please help me, i need help. im not getting answers?	My Siemens dishwasher model SL34A006UC, won't stop draining. I've tried to 'cancel drain' but it keeps draining... even with the door open. What do I do?      More info... I have opened the circuit breaker.. dishwasher powered off. Waited 15 mins.. reset breaker.. problem continues. Unit will power off with power button. Unit continues to drain though even if door is open and power button is 'On'.      i put this in 3 other sections: home and gardening, electronics, and mens health(because i wanted a guys experience) please help me, i know its in the wrong section, but disreguard that
20090306181858AAZjBrX	Entertainment & Music;Polls & Surveys	Survey: A question for the Ladies only...........?	hot or cold?   drinks......      Thanks everyone :)      See how many men sneak in to answer hhmmm
20090306173556AA8IFCs	Entertainment & Music;Music;Other - Music	Who sings that "shooting star" song?	I'm looking for the singer and title of the song that goes "You are a shooting star. That's why you are my favorite."
20090306180238AAyb2zr	Entertainment & Music;Polls & Surveys	Will you smile at the camera?	N/A
20090306171559AA95lTu	Entertainment & Music;Television;Other - Television	Did Cory in the House get cancelled?	I never see new episodes so I was just wondering what happened.
20090306181826AA412Ps	Entertainment & Music;Polls & Surveys	If you were in a vast stage of undress and got a phone call, would you cover yourself?  Why?	N/A
20090306172456AAYUwse	Entertainment & Music;Polls & Surveys	Get it or not, explain?	In dim red warmth disappeared.   Once an orange blaze set dwindling crimson.      Smolder in psyche put out,   Pnuema conflagration scraper made sure of it.      Nigh on like gas, lighting,   By a switch fire bursts.      Well-nigh blink of a eye gone.   All about face out of another's whim      Vivacity stranger left   Regularity returned      Disvowed, the tactile    Sense dried like water       Alternative mind commenced    In manner of breathing uncontaminated to poisoned
20090306181316AAoVvhI	Entertainment & Music;Polls & Surveys	Survey::Women/ and taken men(porn)?	Women,  do you like porn? Men, does your gf/wife?   I ask because it looks like its common to think its a "mans thing". Yes, Im aware women like porn,too, I like it and I know Im not the only one. I can see that some people just dont like it, its not for everybody but now Im curious just how uncommon is it for a woman to like porn?
20090306172227AAmhvXx	Entertainment & Music;Polls & Surveys	If you could give advice to teens?	And they would be obedient what would you want them to know?
20090306181010AAUiPrI	Entertainment & Music;Polls & Surveys	Poll: Do you take naps during the day?	i don't
20090306170805AAL7UCs	Entertainment & Music;Polls & Surveys	Who likes Disco Duck?	Who here like the song Disco Duck? I love it.Music used to have some originality and class.Today artists just copy and sample other people's work from the 70's and 80's.
20090306173020AA3QeXF	Entertainment & Music;Music;Rock and Pop	What do you think about Blind Melon's album For My Friends?	I think that it is great. Their new singer also sings their older stuff very well.    http://www.youtube.com/watch?v=MKhkIEUIX... 
20090306182823AAg3jkZ	Entertainment & Music;Polls & Surveys	POLL:  How many times have you........?	been to the beach only to find a gaggle of men that look like chia pets?  I mean, what's up with that!
20090306183107AAVwSI3	Entertainment & Music;Polls & Surveys	WANNABE GANGSTA POLL: Have you ever actually shot a gun?	N/A
20090306173354AAeaVFB	Entertainment & Music;Polls & Surveys	Have you been visited by random fitness trainer?	There is a fitness trainer that is supposed to be a little off in the head and shows up at random people's houses extremely early on Saturday mornings making a fuss about getting out of bed and jogging / exercising / doing pilates / working out / doing yoga.      Have you been visited by the random fitness trainer and how did you get rid of him?
20090306183358AAuYGw9	Entertainment & Music;Polls & Surveys	What really is the whole point of war?	N/A
20090306183710AAPZYBv	Entertainment & Music;Polls & Surveys	If Mr T and Charo had a baby what would it look like?	 http://upload.wikimedia.org/wikipedia/co...        http://upload.wikimedia.org/wikipedia/co... 
20090306180122AABNc7U	Entertainment & Music;Polls & Surveys	If you could transform into any animal for one day what animal would you be?	N/A
20090306180137AAIwc3g	Entertainment & Music;Polls & Surveys	~~ Poll: Name something visually disturbing to you ~~??	N/A
20090306182439AAFQspT	Entertainment & Music;Polls & Surveys	Ladies:Do you ever get tired of listening to them jangle?	Your dangly earrings :)
20090306182148AALAd62	Entertainment & Music;Polls & Surveys	Where would you like it?	N/A
20090306182303AAQrHDz	Entertainment & Music;Polls & Surveys	What was the last thing?	You put in someone's mouth :)
20090306171537AAO6oUP	Entertainment & Music;Music;Rap and Hip-Hop	Is this rap good I really need an honest opinion?	I just made it up and I'm just beginning and I'm not trying to be a poser so don't say that as an answer. I need an honest opinion. Thanks for the support. The song is below (its fairly short).            we have different personalities and we look different that's true,   but we share similarities of all kinds me and you,   we live in two different parts of the world on this day,   you say you're no where like me cause you sniff cocaine,   yeah I'm above the influence that's a difference right there,   but can't you see you have a real bright future out there,   i know you have the potential to be someone successful,   so don't say your life is meaningless and become so resentful,   of me and my lectures I'm just tryin to help,   frustrated you said you're wrong I don't need your help         you're no different kid i see it in your eyes,   society and people corrupted you making your life full of lies,   i went down the same lane but brought myself back up,   into something that could change the world into something not corrupt,   don't let people mend you in a way that would change you,   your you, your unique that's what really defines you         thinking it over you see the wrongs in your life,   you say i don't need this bag, i guess that guy was right,   all my life i let people step all over me,   all of that will change because I'm the person i really want to be,   you look to the setting sun and had a smile on your face,   you say thank you to me but i left without a trace,   bewildered and shocked he found out my true identity,   i gave him the encouragement and help for i am the angel so full of mentality,         your life is changed as you can see,   the truth has been told this is your one true destiny,   to become pure of heart and not of evil,   that resides in the heart of all that is civil,   i am your salvation i released you from the deadliest of sins,   and i say to you this is where your new life will begin
20090306183002AArsIkA	Entertainment & Music;Polls & Surveys	Excuse me. Did you just say that it would be funny if Obama would ride a llama?	N/A
20090306174203AABmXAe	Entertainment & Music;Polls & Surveys	Do you hear me? Im talking to you. Across the water across the deep blue ocean under the open sky oh my?	 http://www.youtube.com/watch?v=GndqYBGX7... 
20090306175052AAPb4kf	Entertainment & Music;Polls & Surveys	MP3 Player Survey: Grab your MP3 player of choice, put it on Shuffle and...?	...tell me the next three songs that come up when you forward them...      Mine are...      "Growing On Me" -- The Darkness      "What A World" -- Common      "Let's Get It On" -- by Marvin Gaye. One of my faves!!
20090306175223AAwSpqF	Entertainment & Music;Polls & Surveys	Has a woman ever called you are a beautiful wreck?	Well has she
20090306174805AAPZ0lM	Entertainment & Music;Polls & Surveys	When you're thinking of someone is there a better song than "afterglow"?	I doubt it
20090306180137AAX9tK1	Entertainment & Music;Polls & Surveys	Is "the next contestant " the best Friday night song of all time?	Billy votes yes
20090306190454AAIU7dV	Entertainment & Music;Polls & Surveys	Tattoo's and long hair at or beyond age 50?	yes or no
20090306181827AA0QYVS	Entertainment & Music;Polls & Surveys	POLL: Do you hate when people touch your hair?	i hate it..and girlz knowing i dont like it when they touch my hair..strive to touch my hair even more lol..
20090306175233AAD6XV8	Entertainment & Music;Polls & Surveys	If you watch 106 & Park, what is your favorite part of the show????	i like freestyle friday, especially todai with R.A.P Phenomenal..murdered it.
20090306172300AAZLyPs	Entertainment & Music;Jokes & Riddles	Personal Training Joke-star if you like!?	Dear Diary      For my fortieth birthday this year, my husband (the dear) purchased a   week of personal training at the local gym for me. Although I am still   in great shape since my track and field days some 25 years ago, I   decided it would be a good idea to go ahead and give it a try.      I called the gym and made my reservations with a personal trainer named   Damon, who identified himself as a 26-year-old aerobics instructor and   model for athletic clothing and swim wear. My husband seemed pleased   with my enthusiasm to get started!      The gym encouraged me to keep a diary to chart my progress.      Monday:      Started my day at 6:00 am. Tough to get out of bed, but found it was   well worth it when I arrived at the health club to find Damon waiting   for me. He is something of a Greek god - with blond hair, seductive eyes   and a dazzling white smile. Woo Hoo!! Damon gave me a tour and showed me   the machines. He took my pulse after five minutes on the treadmill and   was alarmed that it was so fast, but I attribute it to standing next to   him in his gym top and bulging shorts. I enjoyed watching the skillful   way in which he conducted his aerobics class after my workout today.   Very inspiring. Damon was encouraging as I did my sit-ups, although my   gut was already aching from holding it in the whole time he was around.   This is going to be a FANTASTIC week!!      Tuesday:      I drank a whole pot of coffee, but I finally made it out the door.      Damon made me lie on my back and push a heavy iron bar into the air then   he put weights on it! My legs were a little wobbly on the treadmill, but   I made the full mile. Damon's rewarding smile made it all worthwhile. I   feel GREAT!! It's a whole new life for me.      Wednesday:      The only way I can brush my teeth is by lying the toothbrush on the   counter and moving my mouth back and forth over it. I believe I have a   hernia in both pectorals. Driving was OK as long as I didn't try to   steer or stop. I ran over the gym manager in the parking lot. Damon was   impatient with me, insisting that my screams bothered other club   members. His voice is a little too perky for this early in the morning   and when he scolds, he gets this nasally whine that is VERY annoying. My   chest hurt when I got on the treadmill, so he put me on the "Stair   Monster". Why the hell would anyone invent a machine to simulate an   activity rendered obsolete by elevators? Damon told me it would help me   get in shape and enjoy life. He said some other **** too.      Thursday:      Damon was waiting for me with his vampire-like teeth exposed as his   thin, cruel lips were pulled back in a full snarl. I couldn't help being   a half an hour late; it took me that long to tie my shoes. Damon took me   to work out with dumbbells. When he was not looking, I ran and hid in   the women's change room. He sent Cheryl to find me, then, as punishment,   put me on the rowing machine -- which I sank.      Friday:      I hate that bastard Damon more than any human being has ever hated any   other human being in the history of the world. Stupid, masochistic   gym-jock. If there was a part of my body I could move without unbearable   pain, I would beat him with it. He wanted me to work on my triceps. I   don't have any triceps! And if you don't want dents in the floor, don't   hand me the fricken barbells or anything that weighs more than a   sandwich. (Which I am sure you learned in the sadist school you attended   and graduated magna *** laude from.) The treadmill flung me off and I   landed on the nutrition advisor. Why couldn't it have been someone big   and soft, like an ice-cream salesman or a fireman?      Saturday:      Damon left a message on my answering machine in his grating, whining   voice, wondering why I did not show up today. Just hearing him made me   want to smash the machine with my rolling pin. However, I lacked the   strength to even use the TV remote and ended up catching eleven straight   hours of the Weather Channel.      Sunday:      I'm having the Church van pick me up for services today so I can go and   thank GOD that this week is over. I will also pray that next year my   husband (the bastard) will choose a gift for me that is fun -like a root   canal or a pap smear.
20090306173039AAsIUAw	Entertainment & Music;Music;Other - Music	Whats that song that goes, "thats not my name, thats not my name"?	N/A
20090306180945AAaGyP7	Entertainment & Music;Polls & Surveys	Did you receive your formal invitation to the pants party?	most of them are in the mail.
20090306175957AA5lTAp	Entertainment & Music;Polls & Surveys	Why don't you remember, it's so inconsiderate?	N/A
20090306182020AARxfLZ	Entertainment & Music;Polls & Surveys	If you were to start a gang what would you name or what would it be about?	N/A
20090306190101AApWxuo	Entertainment & Music;Polls & Surveys	Whats your thought about sex offenders?	Since society puts them kind of in the same category a 18 year old who is accused of sleeping with a 16 year with child molesters, i think its unfair. I know there is different categories but still when somebody says sex offender, the first person they think of is child molesters.
20090306190046AAbcxie	Entertainment & Music;Polls & Surveys	POLL: Nursing, food science and nutrition or earth and evironmental science?	What should I major in? Which one would you recommend? For the food science and nutrition I would be a nutrionist not a chef.
20090306190437AATqX2P	Entertainment & Music;Polls & Surveys	What if you found out some of your contacts were really 40 year old men pretending to be 16?	N/A
20090306181855AAxsaGf	Entertainment & Music;Polls & Surveys	Does anyone else think they look fat when they look at pictures before preteen years atleast fora couple?	Doesnt like to look at their pictures before their preteen years because you looked fat Because i do but im alot thinner now and im just wondering because all my other skinny friends or people that r average have always been that way
20090306185521AAg6rWt	Entertainment & Music;Polls & Surveys	Last time you were at Burger King....?	Did you "Have it your way"?
20090306185718AA6cIyR	Entertainment & Music;Polls & Surveys	Is it true you become a troll if....?	you get reported allot and then turn bitter and become what you once hated?
20090306175428AAN6Y1u	Entertainment & Music;Polls & Surveys	What are your top two favourite bands?	N/A
20090306190422AABs1iu	Entertainment & Music;Polls & Surveys	Can you do this real quick...?	1 (Jan) - I killed   2 (Feb) - I ran naked with   3 (Mar) - I needed   4 (Apr) - I stabbed   5 (May) - I banged   6 (June)- I ran shritless with   7 (July) - I smoked with   8 (Aug) - I slapped   9 (Sept) - I shot   10 (Oct) - I cuddled with   11 (Nov) -I robbed   12 (Dec) - I jumped         Pick the day (number) you were born on      01 - a dog   02 - a homo   03 -a homeless guy   04 - A prep   05 - the trojan man   06 - Paris Hilton   07 - a rockstar   08 - my lover   09 - a porn star   10 - my boyfriend   11 - a teletubby   12 - a glass of milk   13 - the cookie monster   14 - a drunk   15 - a crack head   16 - a cat   17 - a bum   18 - the kool-aid man   19 - a stripper   20 - a hottie   21 - a condom   22 - Barney the dinosaur   23 - a toothbrush   24 - an easter egg   25 - a whore   26 - my ex girlfriend   27 - your mom   28 - a french fry   29 - your mom   30 - a bowl of cereal   31 - jezzy the snowman         Pick the color of shirt you are wearing      Black- because that idiot stole my taco   White- because I love marijuana   Pink - because I'm good in bed   Red - because I have AMAZING boobs   brown- because I still love him   Polka Dots - because I hate my life   Green - because I'ma ninja   Grey - because I'm sexy like that   Other - because I have double D's   purple - because I love to snort cocaine.   Orange - because I smoke crack   Turquoise - because I have a noodle in my nose   blue - because im the sexiest person alive   Tye dye- because Im a freaking scuba diver   none- because i have a killer six pack      Mine is I shot Barney the dinosoar because i have a noodle up my nose. What's yours??
20090306180811AAidlFf	Entertainment & Music;Polls & Surveys	Poll-Breakfast, Lunch, or Dinner?	N/A
20090306182300AASHdJz	Entertainment & Music;Polls & Surveys	Poll: Do you wet your toothbrush before or after putting toothpaste on?	N/A
20090306175518AAkUQJk	Entertainment & Music;Polls & Surveys	Does anyone here NOT do drugs?	This is only for people who don't do illegal drugs.....if you do I don't care......if you don't, what is your personal choice for NOT doing it? Just wondering.
20090306174937AABqIFw	Entertainment & Music;Polls & Surveys	I can but can you? I can break ball bats on my head?	I said I can take it right on the head, over and over.
20090306175202AA4DwZL	Entertainment & Music;Polls & Surveys	What should I eat for breakfast?	choices: cereal, oatmeal, poptarts, bread.   star if you've seen me around alot.
20090306174535AAq2Pva	Entertainment & Music;Polls & Surveys	Should I be in trouble for this?	Okay so, the story goes:      I see a psychiatrist once every other week, I have some problems yada yada. Anyways I was just talking to her about how my week was going and told her I started seeing a nutrionist (bulimia)... and she asked me how that was going. And I said it was fine, I just feel like I've really messed up and its costing me like $300. And then she said she didn't realize I had to pay for it (she was the one who referred the nutrionist to my parents) and that she wanted to talk to my stepdad. I asked her about what? And she said just about me paying for the nutrionist and stuff... I said alright.      Anyways, next day (today) my parents are pissed at me for "complaining" to the psychiatrist that I have to pay for my nutrionist. Theyre mad because theyre having to pay like $1000 a month for all my medical bills and they think I'm being a spoiled brat for getting upset that I have to pay for my nutrionist. My mom's exact words: "Oh poor Shay, you have to pay $290 when we're having to pay the rest. I'm gonna just cancel your psychiatrist if your gonna keep complaining about us to her."      Should my parents be pissed at me? I WANT TO RUN AWAY I HATEEE THIS AND HOW THEY ARE.
20090306183628AAKZFF7	Entertainment & Music;Polls & Surveys	POLL: Can I put my lovin in your oven?	N/A
20090306185650AAfZViP	Entertainment & Music;Polls & Surveys	POLL: Did you ever stop to think that maybe I have feelings too?	N/A
20090306190406AAnGgeG	Entertainment & Music;Polls & Surveys	POLL: When you see my picture do you think, Damn, I'd tap that?	N/A
20090306184925AAAMJmR	Entertainment & Music;Polls & Surveys	POLL: What would you think if I took off all my clothes and went outside and howled at the moon?	N/A
20090306183156AAkd4kw	Entertainment & Music;Polls & Surveys	If high schools were still allowed to give titles like...?	Most Athletic or Most Likely to Succeed, who would you be?
20090306182038AARweI2	Entertainment & Music;Polls & Surveys	What do you think of this fella's?	Car buying Skills, He is a real clever cuzzy   The Late Billy T James - Iconic NZ entertainer       http://search.yahoo.com/search;_ylt=A0oG... 
20090306171027AAH76jT	Entertainment & Music;Music;Rock and Pop	Metallica Fans? Rank some songs?	Easy, some random songs, list according to how much you like them.      Hit the Lights   To Live is to Die   Orion   Creeping Death   For Whom the Bell Tolls   The Day That Never Comes   Nothing Else Matters   Sad but True   The Thing that Should Not Be      (Yahoo recommended the country music section)
20090306190019AAPGvaH	Entertainment & Music;Polls & Surveys	I have something to share with the teens and young adults that use Y/A & I hope it's not removed, because it's?	fairly important...  And there is a question to it too.      I work @ a local High School and feel like these kids are almost like mine.   Well, today one student ( A 16yr old Junior) was taken off life support because she was declared brain dead.   A week earlier, she and many other teens went to a party that was out in the middle of nowhere. After the party, she got into a car that was specifically designed for 4 people, and she was the 5th, so with no seat beat on,  they proceed home, the driver ( we don't know if she was drunk) decided to speed to speeds upwards of 80 mph, where the speed limit was 50. She hit a bump in the road, lost control of her car, and it ended up in the on coming lane and was struck by more than one car. The girl without a seat belt was ejected from the car and struck by yet another car... For a week, her family and many many friends hoped for the best, But sadly, she never woke up.      And because of this girls' one bad mistake in judgment, she lost her life, and many others will never be the same.       So, PLEASE teens & young adults THINK before you do something !      My question is, do you think it would be weird if I attended the funeral?  I personally did not know her, but I know many of her friends, and I'd like to pay my respects to the family.
20090306173256AAxvYWw	Entertainment & Music;Celebrities	Bring Michael Jackson To The USA Project?	I know there are allot of fans who wanna see MJ in concert who cant afford to fly to London,      In the meantime we want to let him know how much we want him to perform in the USA.We need to prove that his fans in the usa have not gone anywhere and love him just as much as his overseas fans do   I believe that with your help we can make this happen, but we have got to get serious about it!       I am a team member for MJSUNIFC and we have contacted the L.A. Times since that is where MJ lives now and we want to place a full page add, and it will cost between $15,000 and $60,000, depending on which day of the week we choose. So our minimum goal is $15,000   I know it probably seems like a lot of money, but when you really think about it and break it down for what we are trying to accomplish it really is not.   All we would need to reach the minimum goal is an average donation of $5.00 from 3,000 fans. There are some Michael Fan Clubs out there that have more members than that in one club!       if you would like to help, please make donations to      MJSUNIFC   P.O. BOX 30813   LAS VEGAS, NV   89173-0813 USA   (international fans please send money order in us currency)      or you can send safe secure payments with paypal under the send money link to mjsunifc@mjsunifc.com      you can also click on the fallowing link to know this is a legit fanclub,     http://mjsunifc.com/main/  we are also hosting a 3day fan event in Las Vegas in Aug, her is the link to get info and tix.    http://mjsunifc.com/mjevent/ 
20090306175015AA0zPLn	Entertainment & Music;Polls & Surveys	Good movie link!!!!????!!?	can someone help me find prom night online with a good movie link    it's very hard finding one    or a good movie link      Thanks lovers!
20090306185610AAAO5zQ	Entertainment & Music;Polls & Surveys	Would you date me if i...?	tell the whole world that my bf is "a dream come true and everything i was wishing for" while i was dating him but tell the whole world again that "he was totally wrong for me" as soon as i break up with him, also i am in the habit of changing a partner every 14 months or so and always sleep with the guy a few weeks after meeting him for the first time, and for the record i have never stayed single for more than two months, which is proof of how irresistible i am to men.        so knowing all this about me, would you be interested in dating me?
20090306173015AADeK2e	Entertainment & Music;Polls & Surveys	Do you alphabetize your cd and movie collection?	I do, i can't help it. every time I buy a new movie i have to reorganize them all to fit alphabetically....
20090306175132AAwMolv	Entertainment & Music;Polls & Surveys	Weirdest pet names you've come across?	I have a fish named Dj Diffishio      We had a cat named Nintendo   a two birds named Lucky and Bucket
20090306170927AABb1gc	Entertainment & Music;Polls & Surveys	Do you find it weird when....?	you see someone of a different race listening to different kind of music      example:      caucasion guy listening to rap   african american listening to rock   mexican listening to country      I just want to know. I love alternative/rock! I love Kings of Leon, Mudvayne, System of a down, chevelle, linkin park, etc. i listen to it all the time, i really don't like rap, I love R&B but i love my rock and punk rock and alternative. my friends hate it and i don't know why, whats so wrong with loving music. they call it noise but i tell them that if you listen the lyrics are the same as any other music just a different way to sing it!      what do you think? do you listen to music that people consider not your typical kind of music (for your race) or do you think their is a typical kind of music for people!
20090306190615AA9bHE7	Entertainment & Music;Polls & Surveys	Is this funny or am i a mean mommy?	my 6yr old comes into the living room and stand beside me, i lay back and he says "mom, guess what?"   and i say "what?"   and he starts crying and says "Randy Orton hurt Triple H and now he can't wrestle every again!"   I almost borke out in laughter until i saw he was actually crying over this! LOL...i feel horrible because I want to laugh but I held him and assured him that Triple H would be fine...wow I had no idea he loved them that much!      would you have wanted to laugh? It caught me completely off guard, I mean my sleeve is wet from his tears, but its kinda sweet too...awwww
20090306185632AAdgcHP	Entertainment & Music;Polls & Surveys	What is your favorite quote?	“If I were to die and I could come back as anything, I would want to come back as one of your tears. What girl wouldn't want to be conceived in your heart, born in your eyes, live on your cheek, and die on your lips.”
20090306185208AAHta4T	Entertainment & Music;Polls & Surveys	Skinny VS curvy???   ?	team skinny....to me curvy is just an excuse to be fatter.
20090306183808AANK51u	Entertainment & Music;Polls & Surveys	Whats the grossest thing youve ever had in your mouth?	N/A
20090306182959AAXlL6X	Entertainment & Music;Polls & Surveys	What job have you always wanted do.Ive always wanted be a funeral director?	At least my job would be safe,lol
20090306172237AAb6ZET	Entertainment & Music;Polls & Surveys	Do you have names for your teeth?	N/A
20090306173857AApoVPK	Entertainment & Music;Polls & Surveys	Ok I lost my voice. What should i do now?	The reason I lost my voice was my friend got a dare to shave his head and he did. And he went from a totally awesome brunette to a ugly @zz bald guy. LMFAO   So what do I do now?
20090306173017AApEupV	Entertainment & Music;Polls & Surveys	POLL: IS THIS FUNNY?????????????????????????…	N/A
20090306175200AAhgcnF	Entertainment & Music;Polls & Surveys	What's your favorite cookie flavor?	I like snickerdoodles, chocolate chip, and sugar cookies
20090306185200AAijf7W	Entertainment & Music;Polls & Surveys	Who do you like better? Mom or Dad?	i prefer dad.....he's beter than mom
20090306180813AAO6jj7	Entertainment & Music;Polls & Surveys	How many more times will I get violated today?	10 so far and counting...
20090306184925AAQp3VR	Entertainment & Music;Polls & Surveys	Survey: Has anyone ever ran a 24 hour web cam of themselves for money, and if so, was it worth it?	N/A
20090306180916AAbJhN9	Entertainment & Music;Polls & Surveys	What does edit mean when people answer questions?	i see it a lot!!      the question will be: do you recieve compliments well?      answer: edit      what is it?!
20090306174441AApoiOr	Entertainment & Music;Polls & Surveys	Where is my Sunshine??????? its nuts without you....?	but when your here ( Love ) you make me happy. So, please don't take my sunshine away.
20090306184910AAc4Dy7	Entertainment & Music;Polls & Surveys	What really makes you happy?	Hooters makes me happy. Nope...that's my buddy.      Music makes me happy.
20090306182915AAT8sXI	Entertainment & Music;Polls & Surveys	Do you consider drinking your morning coffee while taking a morning dump?	efficient multi-tasking, or just something gross?
20090306174914AAs3zx4	Entertainment & Music;Polls & Surveys	Are there any free Pen friend websites?	I found a good, well trusted pen friend website, but you have to pay $25 to join, and you only can join for a year. I dont see why hooking you up with people across the country/ world is such a big deal that you have to pay for it, either snail mail or email is cool with me, thanks.      Lindzz
20090306175513AAazh6b	Entertainment & Music;Polls & Surveys	What Type Of Bangs Are In These Day's?	Are there any sites that can show me. I'm wanting different style for myself. But NOT WILD!      ( I know I should place this Q under hair sytle, but P/S is where every1 is @ )
20090306172158AAB5mlS	Entertainment & Music;Polls & Surveys	What is the coolest vehicle that you have driven?	I have two the tiller end (the back end) of a ladder truck and an airport crash truck.
20090306171944AAFcNVG	Entertainment & Music;Polls & Surveys	Does anyone know anything funny to cheer me up??? :'(?	plz :'(
20090306181325AAnxQuX	Entertainment & Music;Polls & Surveys	What's a good movie with a suspense but isn't a suspense movie? like Atonement, or Fight Club?	N/A
20090306175444AActk9f	Entertainment & Music;Polls & Surveys	Is it a bad thing that most of the time I want to be alone?	N/A
20090306185139AAtohOo	Entertainment & Music;Polls & Surveys	POLL: Who is your favorite contact?	N/A
20090306185752AAIiMIo	Entertainment & Music;Polls & Surveys	Would any ladies want to...?	Come keep me company for the night? Watch a movie or somethin? Im very bored, and Im not going downtown tonight. I have a picture of myself on my 360 page. I need some company. Any takers please?   Thanks :)
20090306173904AALnTun	Entertainment & Music;Polls & Surveys	ICarly when they're talking like Fred??? Beatles fans?	I was watching iCarly when Fred is on the show. I noticed when they start talking like Fred, Sam says, "I buried Paul". Like the hoax of Paul McCartney's death in '66. Anyone else notice it?
20090306190355AAxrkl8	Entertainment & Music;Movies	Who has the best Movie makeup?	How has the best.of all time
20090306175129AA1gNoH	Entertainment & Music;Music;Rock and Pop	Bowie preforms the Velvet Undergrounds "I'm Waiting For My Man"?!?	it doesn't sound like the velvet undergrounds, but i personally think he did a great job. Whaddya think?    http://www.youtube.com/watch?v=bhoE5hOfi...    the song starts right before 2:00
20090306172216AAFRRpL	Entertainment & Music;Polls & Surveys	Would you date a Woman almost 6ft tall or taller?	With everything else (personality, looks, body proportion) being equal of course. I ask this just to see what opinions are because some dudes still trip out over a tall girl and find the height threatening.      Is that still mostly true?
20090306185500AAEQ6mU	Entertainment & Music;Movies	Does anyone know where I could watch the movie "I Should Have Waited" online for free?	It's one of these sex ed videos.      It's for a friend.      Don't ask.
