20090205034623AAQPWUQ	Games & Recreation;Video & Online Games	Is this team strong enough for Pearl?	Infernape 86  Staraptor 60 Palkia 49   Tentecruel 45 Prinplup 35 Luminienon 41
20090205065340AAMmwhd	Games & Recreation;Video & Online Games	What do you want to see in call of duty 6 modern warfare 2?	what would you like in the next call of duty:    -perks   -weapons   -story   -multilayer   -maps   -setting   -special features
20090205065549AAxRqIj	Games & Recreation;Video & Online Games	I cant install command and conquer red alert 2?	im having a problem installing red alert 2 on my windows xp i type in the code and everything but then as soon as it gets to 1% installed it says   COULD NOT READ FROM THE FILE LANGUAGE.MIX.
20090205065659AAz95WY	Games & Recreation;Other - Games & Recreation	My pokemon crater account isn't active what does that mean?	Im trying to make it but it wont work
20090205065802AAVRrZF	Games & Recreation;Video & Online Games	Help with webkinz thnx?	OKAY how do you make all diffrent rooms in ur webkinz room like u go trhough a door ?
20090205065843AAQt1kv	Games & Recreation;Gambling	Native American Casino Occupation, Degree and Salaries?	Hi, I was wondering if anyone knew what degrees casinos look for for positions such as pit boss and other various jobs.  I have a statistics degree and was wondering if this would be a good degree for any jobs at a casino.  If anyone could provide a list of occupations at a native american casino along with degree and expierience information as well as general salaries for entry level positions i would appreciate it. Thanks!!
20090205070251AACeNjV	Games & Recreation;Video & Online Games	How do you make a MMORPG like Guild Wars or World of Warcraft for free?	help on MMORPG
20090205070821AAvrqlA	Games & Recreation;Video & Online Games	GTA IV: Blood brothers?	is it true that there are exra missions if you choose to kill derrick?
20090205071840AAFPY0Q	Games & Recreation;Video & Online Games	Where can i get a real cog tag from microsoft and gears of war 2?	ive been a huge diehard fan of gears of war all ive really ever played ive seen people making them and microsoft hiding them in the ******* woods and **** but ive never seen a sure way to get one there not on ebay craigslist amazon just the tiny shitty ones are i want the real big official engraved one anyone know where i can ..i pay at least like 350
20090205072633AA1RYKx	Games & Recreation;Video & Online Games	Halo Wars Demo question? Easy 5 points?	ok so i know this game demo comes out today but what time because i want to DL it bad and also does it have any achievements for it in the demo and will there be any multiplayer? plz answer best response gets easy 5 points
20090205072803AAif5qT	Games & Recreation;Gambling	Division of Yahoo Internet Lottery?	hi   Dear Yahoo   i recived an email about yahoo lottery with subject : Division of Yahoo Internet Lottery   from it address: lottery_releasing_office03@yahoo.co.uk (DR. (MRS.) KATE ADAGET (PHD) )     but i to doubt about that.    is it correct?    am i win?   sincerely   mohammad khalili abhari
20090205073044AAmTAdI	Games & Recreation;Card Games	Can i chain mst to imperial order after imperial order has been activated?Same with dust tornado to Royaldecre?	??..i wanna know
20090205073051AAWXupq	Games & Recreation;Other - Games & Recreation	Pokemon pal pad codes needed plz.?	can avaeryone who playes pokemon diamond give me pal pad codes?      and if you can battle from diamond and pearl also then give me ur pearl pal pad codes to.  heres mine- 0603 1358 5199
20090205074230AAzxnnv	Games & Recreation;Other - Games & Recreation	Can sumone give me there friend code for pokemon diamond to trade?	name: james   code: 3910 2416 4895      and can someone tell me if you need to have someone near you to see them in union room or can you see anyone with a usb port?
20090205073208AAZlfeK	Games & Recreation;Toys	What's the name of the old green slime toy?	Does anyone remember the name of an old toy that was basically some green slime inside a little "radioactive-green" plastic trash can?      It was kind of like Nickelodeon's Gak but it's much older than that.
20090205073338AAWzg8Z	Games & Recreation;Video & Online Games	WHO WOULD WIN THIS FIGHT!?!(WoW)-need answer ASAP?	who would win in a pvp match 1v1       level 80 balance druid vs level 80 aflliction warlock
20090205073345AAOiAbM	Games & Recreation;Video & Online Games	Can I use two of the same trinkets in world of warcraft?	I have a trinket that only has equip stats and does not have anything to Use. It does add +SP and bonus effects to my healing. Can I use two if there is no Use stat?
20090205073725AA5wx4p	Games & Recreation;Video & Online Games	Runescape attack to 60?	I play runescape and my level 45 has 60 strenght, 45 attack, 1 pray, 45 range, and 1 def, and I was wondering if I should get 60 attack or not?
20090205082811AAS4Xjf	Games & Recreation;Video & Online Games	Runescape 1def but 60 attack?	I asked this question but it wasn't really what i wanted but here t is again but restated.      I play Runescape with 61 strenght, 1 def, 1 prayer, 40 attack, 45 range, and 26 mage. I want to really own in the PvP world's but I need the best advice I can get out of this thread, should I get 60 attack or should I just stay at 40 attack? This is a non member account, but i'm thinking of making it a member. Any suggestion's on what else I should train please say so.
20090205073847AADrXYN	Games & Recreation;Hobbies & Crafts	I have plenty of rare Indian coins what can I do now?	I have plenty of rare Indian coins what can I do now
20090205073847AAh6Wxi	Games & Recreation;Video & Online Games	When use soul arrow in maplestory does it use the attack of the arrow for example a diamond arrow?	N/A
20090205074100AAeQI0h	Games & Recreation;Video & Online Games	Can you blow limbs off in Far Cry 2?	Obviously I'm not expecting anything like Soldier of Fortune (that was just insane)
20090205074221AABMoEb	Games & Recreation;Video & Online Games	World of Warcraft: Question about the availability of lv70 merciless gladiator stuff in WOTLK.?	Hello,       So i am lv 80 now and got the blue savage gear and all the hatefull gear like the bracers boots waist etc, but i still got a crappy blue shield which i would like to replace with the merciless gladiator shield.      The problem is that i cant find the vendor that sells it, i don't even know if the shield is still available in the game. I know that there are vendors on the sunwell island that sell merciless gladiator gear (like the head chest hands pants and shoulders) for tokens , but i couldn't find anyone who sold weapons or shield or anything.      So my question: is there still any way to get the merciless gladiator shield?      Thank you in advance,
20090205074512AA0gON3	Games & Recreation;Hobbies & Crafts	Which is the best Tanto ever made?	Hi,    I am looking for opinions from edged weapons enthusiasts and collectors on which tanto blade knife they believe is best and why.    Many thanks!
20090205075515AAAfMxi	Games & Recreation;Video & Online Games	Crysis Very High 30FPS?	Would I be able to play Crysis at Very High@1280X720 with a average of 30FPS???   Specs:Q9450: 2.66GHZ Quad   ATI (MSI) 4780 OC 1GB   2X2(4)GIG RAM DDR 2 800Mhz   VISTA 32Bit Ultimate      Thansk
20090205080356AANZlST	Games & Recreation;Video & Online Games	Racing game help!!!!!!?	My younger brother is asking for some car or motorcycle racing games for his pc but i cant find a game whose requirements meet his pc      Does any one know car or motorcycle racing games which requires 64mb graphics card and 512 mb of RAM???
20090205080742AA7IXuc	Games & Recreation;Video & Online Games	How do i beat all the marksman challenges on Call of Duty 4?	i want to unlock all the scopes
20090205080844AAQZ0yb	Games & Recreation;Other - Games & Recreation	HELP,anyone know?..... what is very light when you 1st touch it,when in use heavier,after use light again?	N/A
20090205081023AAZ1wcK	Games & Recreation;Video & Online Games	Whats Wrong With The Sims 2 On My PC?	Whenever I play my Sims 2 PC game;- my computer just randomly turns itself off.   Only when I play the Sims 2 does it turn off.   What's wrong with it?   Thanks
20090205081403AABABrm	Games & Recreation;Video & Online Games	Can't save my game in Devil May Cry 4?	I'm a beginner to Devil May Cry 4 and it's a really great game...but when i play the game and save it...the next time i load my game it will load in the chapter...      For example, i've played until Mission 2 halfway...i save my game...but the next time i load it...i'll have to play Mission 2 all over again...it just doesn't load exactly at the place where i save it...instead it just saves the Mission and when the game loads i'll have to play the Mission from the start...      Can i just save and load it wherever i want? Please help...thanks a lot...
20090205081503AA3ifbL	Games & Recreation;Video & Online Games	LimeWire downloading?	If you're downloading something from LimeWire and it's taking too long, when you pause the download, can you then shut down and when you turn on again will it carry on?   PS I have EA Download Manager if that helps?
20090205082750AANB0R8	Games & Recreation;Video & Online Games	Play station 2 ???????????	What do you think is the best ps2 game EVER!!!!!!!!!!!???????
20090205083113AAUi5Jz	Games & Recreation;Video & Online Games	Animal crossing let's go to the city friends code?	my friends code is : 2750-6215-2534  name : nikita  town : newport  fruit : apples    gates will be opened everyday at 12 pm till 9 pm (uk time)    plz send me your friends code and name and town and ill be back from swimming in 4-5 hours 2 check on the question for updates kk bye thanks
20090205083135AAplhSn	Games & Recreation;Video & Online Games	How do I get the GTA IV InGame Trainer to work fully in multiplayer?	I've got the InGame Trainer to work in single player and party mode but I'm finding I have alot of restrictions when joined into a multiplayer game.   I've seen tons of people using the trainer out of the restrictions so I know it's possible. Is there anyone out there that could tell me how to get it so I can use it to it's full capabilities?
20090205083136AAHDN32	Games & Recreation;Video & Online Games	I input a wrong DoB on WoW forums how do I get back on?	N/A
20090205083434AAvMFjS	Games & Recreation;Gambling	Why do slot players get more in comp points for risking less?	I know the MGM Grand won't rate my blackjack play unless I'm betting at least $25 per hand. This bothers me. If I'm betting only $15 per hand and, assuming there are 100 hands dealt per hour (obviously varies according to   of people at table, speed of dealer, etc.), then I am playing through $1,500 per hour and not getting any comp points.    Yet, six feet behind me someone is playing a 4-coin $0.25 slot and, assuming a pull every 8 seconds, plays through $480 in that same hour. Yet, despite the virtual $1,000 differential in our outlay, they rack up the comp points and I don't get any love for my 100 $15 a hand bets. Why is that- is it simply unfair or is there a method behind the madness?
20090205084432AAphAw0	Games & Recreation;Video & Online Games	On the sims 2 what are the top of the carrers?	If you dont know them all it doesnt matter but i want to know what the top of the science career is mainly and how much you get paid    E.G the military is General -￡1,369(not sure about the 369)
20090205084441AALqgRu	Games & Recreation;Video & Online Games	I am on level 1 almost level 2 on my nintendo ds game called mysims, and i dont know how to get to level 2.?	Plz help! It is a very fun game but I dont know how to get to the next level.
20090205085615AACslkg	Games & Recreation;Video & Online Games	Gamestop Trade In Values Question?	Could someone give me a rough estimate of the trade in values of these Playstation 2 games at Gamestop:    Area 51  Galerians: Ash  Indigo Prophecy  Neo Contra  Simpsons Road Rage  True Crime: L.A.  Twisted Metal Black (With bonus online disc)  Tekken 5    There's a trade in values page I found, but the information was from 2006, so could someone give me an estimate of what they would be worth now, or roughly how much I could get for the lot?    Thanks,  Joe
20090205075810AAUbcHl	Games & Recreation;Hobbies & Crafts	I would love to start collecting antiques......?	but I am hopelessly inept at differentiating between an antique and a piece of junk.   How do you know when something is truly valuable or when it isn't?
20090205091235AA54EBp	Games & Recreation;Video & Online Games	Is Halo, MGS 3, gears of war, or god of war better?	I wanted to know because all of them or great but i waana know which game is SUPREME
20090205080815AATFf5G	Games & Recreation;Video & Online Games	Where can I watch doubt free online without downloading?	Watch-movies.net got caught and shut down i guess, so now i dont no where to watch my movies. does anyone know where i can watch doubt (Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis) online without any downloading? please give me links. thx!
20090205081721AAP8Iy6	Games & Recreation;Video & Online Games	Were is a good place for a lev 28 summoner to train on 2moons?	ok i am a level 28 summoner and i need to get to 31 and i need to know were to train and directions were to get there i no how to get from braiken to the frozen valley of vengeance so anywere that isnt beetween there i need directions to and i use swords not staff
20090205081658AAjQVBu	Games & Recreation;Video & Online Games	Release Date for Star Wars: Old Republic?	Does anyone know when the new Star Wars MMORPG, Old Republic, is going to be released. I'm not talking about the Knights of the Old Republic Xbox game.
20090205090831AAL4hQ5	Games & Recreation;Video & Online Games	Help in hunter on runescape. Please?	I asked this question about an hour ago. I have 46 hunter at the moment. Can anyone give me a tip on what to hunt until 53 hunter. Thanks :)
20090205081317AAqGV9r	Games & Recreation;Video & Online Games	Need help training Hunter on runescape.?	OK my hunter level is 46 at the moment and I am having a hard time training it now. Does anyone have good tips on what should I catch?
20090205090338AAmhuWx	Games & Recreation;Video & Online Games	Endless online going down the drain?	ever since last year eo has been hit by a wave of new hacks and scammers are gettig new tools to steal good players hard earned gold and items.. and were is vult-r?? i cant even log into endless online anymore. and many people i know are leaving eo. i might even leave.. is there any chance for eo???
20090205073024AAvtmHf	Games & Recreation;Video & Online Games	Does you remember the computer game from 10yrs. ago?	this simple game: you click on rooms to travel through a maze. the prize is usually some gems, strength, attributes. Some times you have to fight ,red dragon,blue dragon, black dragon, some times they fly away with the gems...I cannot seem to remember the name I am going to try and download the game.      Thanks
20090205075831AAnZuPK	Games & Recreation;Other - Games & Recreation	Does anyone like oc, i think its amazing?	although my sister almost od when she first tried it. but i took just the rite ammount and it was heaven man
20090205075105AAhsWSv	Games & Recreation;Video & Online Games	Our Rock Band 2 X Box game the CD won't work, but everything else does. Can we just get the CD?	I don't want to buy the whole thing again.
20090205081702AAHfcHI	Games & Recreation;Video & Online Games	Final Fantasy 10-2 question?	Without any spoilers please, is there any difference between which hole you jump into at the end of the game?
20090204165936AAB7O2T	Games & Recreation;Other - Games & Recreation	What are some cool games?	What are some cool games you can play with two or three people?    I don't mean BOARD games or CARD games. ACTUAL active games.
20090204171456AA2WUeI	Games & Recreation;Other - Games & Recreation	A Noob Needs a Answer, AGAIN!?!?!?!! For pokemon diamond:(?	OK, THANK YOU FOR ANSWERING MY QUESTION not to long ago but i just found a rare pokemon(S) to trade with you to pay you back(if you want to!) just give me your ds code (IF YOU WANT TO) :)
20090205072525AAiyto4	Games & Recreation;Video & Online Games	Can guitar hero games use one guitar or do they all have to use a different guitars?	Can I play guitar hero games with just one guitar? I have the guitar hero 3 game and guitar. If I was to buy a different game for guitar hero can I use the guitar hero 3 guitar?
20090205081158AARRpaS	Games & Recreation;Video & Online Games	Call of duty 5 ps3 questions?	You know when people like are away from the ps3 and leave their character standing there at the start for a short time, can u get reported for that or something?      Then a second one would be messing around with the bomb in like s & d where you mess around with the bomb picking it up getting ready to defuse and dropping it again...      is this like reportable or something? because i noticed most people just mess around on call of duty 5      i just wanted to check.
20090205095120AALVGCc	Games & Recreation;Other - Games & Recreation	Does anyone know what club penguins email is?	N/A
20090205093844AARuL0R	Games & Recreation;Toys	What was with that dirty talk from elmo i saw on the news?	What was elmo saying?      thanks!
20090205092856AAvKIWy	Games & Recreation;Video & Online Games	Do you know this game?	there was a game,it had a harry potter hang-man! but i forgot what it called? can you help?
20090205093626AAg9pxi	Games & Recreation;Video & Online Games	Call Of Duty 4 glitches?	Does anybody know of any really good glitches on Call Of Duty 4 on PS3. Also, I have got the map pack so I can play on Chinatown, Broadcast, Creek and Killhouse
20090205010127AAOmEQN	Games & Recreation;Other - Games & Recreation	Pokemon diamond pikachu needed..?	i need a pikachu or pichu with volt tackle unhacked nd any of these natures      hasty   naive   lonely   naughty   #plz trade ifso i will give my fc soon as some1 sais they can trade..      10 points to whoever provides
20090205080454AAp0wh1	Games & Recreation;Other - Games & Recreation	Any good ideas for a time filler on a long journey?	Im dreading the impending boredom. Please don't suggest reading books or magazines. Im traveling by bus.
20090205072322AAe4nDe	Games & Recreation;Video & Online Games	Does any body know where i can download Organ Trail?	yeah i want play this game again i loved playing this game when i was in elementary so fun yet so much sorrow when your friends die...in the game
20090205080003AARMIzO	Games & Recreation;Video & Online Games	Grid doesn't save my game!?	I have Grid installed on my computer...and i'm running Windows Vista Ultimate x64 SP1...at first i didn't have any problem at all with it...but now, whenever i play Grid, i find that the game doesn't save my progress...the last event that i played is not saved...in other words, i'll have to play the event all over again and this is quite frustrating...i have autosave enabled but i don't know why this is happening...sometimes when i'm playing halfway through then i quit from race events into garage, the next day when i run Grid my progress is lost...i have to play it all over again...i'm sure that my computer supports the game...but i'm not sure it's the problem of my os or Grid itself...please help me...thanks a lot...
20090205091111AATiPMW	Games & Recreation;Video & Online Games	What xbox 360 game is amazing ?	N/A
20090205091506AA1lSmX	Games & Recreation;Video & Online Games	Command and conquer 3 normal torrent?	ok, so i m looking for a cnc 3 torrent, but all of them are kane edition(7.5 gb) i want the normal one(6 gb) does anybody know where it is
20090205091609AAL5Ste	Games & Recreation;Other - Games & Recreation	I'm thinking of having a Fire and Ice themed party...?	... and I'm not really sure how to decorate. The thing is we're renting a place with an upstairs and downstairs and I'm thinking of having the downstairs as the hellish fire and the upstairs as the heavenly ice palace but I'm really not sure how to decorate.      Thing is I can't spend a lot of money as most of it has gone on renting out the venue...any ideas?
20090205091656AAAPbmU	Games & Recreation;Board Games	Does anyone know where I can find the game contents list for the MONOPOLY  Here & Now Limited Edition?	Have the pieces for at least 2 Monopoly games of this edition would like to put them together but can't without a game contents list
20090205091809AAkLMIj	Games & Recreation;Board Games	Were can i download cod 4 full game for free?	N/A
20090205091953AAw6nVs	Games & Recreation;Video & Online Games	WHEN THE RED LIGHTS COME ON ON X BOX 360,WHAT DOES THIS MEAN?WHAT CAN BE DONE TO SOLVE PROBLEM?	My daughter has a x-box 360.the red light comes on when the power is turned on.What does this mean to the system,how can it be fixed?does this mean the system is bad y or n.Any help would be appreciated in this matter,Thanks
20090205092236AAQGw8J	Games & Recreation;Video & Online Games	Remove bot limit in SWBFII (Star Wars BattleFront 2)?	Is there a way to decrease or remove the bot limit in SWBFII so i can play with lots of other bots? Ill accept anything from hex cheating to mods =D      Thank you
20090205092507AAzxbIJ	Games & Recreation;Video & Online Games	Is Viking:Battle for Asgard like fable.. like i can walk around an change weapons an cloths an do side quests?	N/A
20090205093319AAVy7ra	Games & Recreation;Video & Online Games	Fable 2 marriage and children.?	Ok so I have beaten the game and searched the lands looking for an attractive MAN (I AM FEMALE) to marry however almost all of them are either fat, ugly, or of course Rupert the gay farmboy. So I was just going to forget about it and marry Lady Grey but I wanted to know if the game delvelopers made it possible for two women to have kids?
20090205093752AA2kd2o	Games & Recreation;Video & Online Games	Why can't I get RAAM, Lt. Minh, and A. Carmine?	I had the right achievements, but I still cant seem to get the last three when I am able to get the rest. A little help here?! And does any one else have the same problem?
20090205093847AANs23O	Games & Recreation;Video & Online Games	If you Can Pick Any Game For Wii Which Will It Be?	Please I Have The Chose I Only Have 3 Games Smack-down vs raw 09   De-Blob      And Animal Crossing Is What I Got                                              Please HELP!!!!!!!!!!
20090205064615AAEgcHh	Games & Recreation;Amusement Parks	How to create a sandbox in roller coaster tycoon 2?	My choice to put price of rides are faded out and I have found you need to make a "sandbox" mode. How is this done? Can somebody please put it down going through it in steps? Will help sooo much, thanks!
20090205071539AAL3VAa	Games & Recreation;Board Games	How do i report problem players who cuss you and call you fould names just be cause you won the game and they?	i was playing dominoes in yahoo  and i had a player by the name of (shstrackerunner ) call me fould names and cuss me  because i kept winning and he was losing?
20090205072311AAogNoU	Games & Recreation;Video & Online Games	Nintendo DS HELP. WI-FI?	Hi there,       My nintendo DS is connecting to the wifi and when i run the test it say's connection successfull how-ever when i go on to the game i am not connected anymore.      I have tryed connecting with the ds connector but it does the same thing it will connect and tell me on the computer that i am connected then it will just go off and say no user's are connected       Anyone know why? Thnaks
20090205072338AABseTE	Games & Recreation;Video & Online Games	Do you know a cool games website?	Do you know any cool games website?
20090205073156AAt5miT	Games & Recreation;Video & Online Games	How much should i buy these ps3 games for?	my friend is selling his ps3 (he doesnt use it as much as he did, he bikes more) and i want to buy 3 ps3 games that he has. motorstorm 2, assassins creed, and cod5
20090205073531AACQ14h	Games & Recreation;Video & Online Games	Can someone help me with pokemon fire red?	I use an emulator called Visual Boy Advance and everytime i defeat the elite four it sends me back to the start and i end up with nothing. i cant save normally IN the game only in the emulator when i try saving in fire red it says 'save error exchange back up memory' this has been driving me insane for a couple of days so...can anyone help me please?
20090205074949AA5F9aL	Games & Recreation;Toys	This is an eBay related question - i couldnt fit it all in this box!!?	Well, on eBay if you are selling an item and you put an auction price & a buy it now price on, if someone bids on your item, will the buy it now price become obsolete?   thanks very much - this will help me with my ebay selling!
20090205075244AAoDQKg	Games & Recreation;Gambling	How can i get gambling license in the UK?	I need gambling license for my website ( horse racing tips) . google wouldnt advertise my web without this license . does anyone know how and where to get it? how much does it cost? how long does  aplication proces take? does anyone have similar website and could tell me more about this ?
20090205075306AAxG9cI	Games & Recreation;Other - Games & Recreation	Approx. how much is a 14kt gold 1/2 ct. diamond ring worth?	I paid $700 for it in 1997, and its in excellent shape   10points
20090205075341AAtY1Tt	Games & Recreation;Hobbies & Crafts	I have a Bally pinball machine from 1978 that turns on (lights) but I cannot get it to kick in and play a?	game. Does anyone have an idea what the problem could be, or somewhere online that can help me?   Thanks.
20090205075549AAMJsda	Games & Recreation;Board Games	Fallout 3 Perk Help?????????	So ive just leveled up and i got to choose a new perk now i went onto my pipboy and clicked on perks and it shows 2 perks are there both active or just 1
20090205075732AAQS9cJ	Games & Recreation;Video & Online Games	PSP USB cable problem!!?	I bought a PSP recently, and tried to connect it to my PC.   However, it doesn't recognise my PSP.   What are the solutions??
20090205080638AAZVNsZ	Games & Recreation;Toys	How can I get my $$$ back if I bought something on Ebay and the item shows as shipped but hasn't arrived yet?	I'm fairly new but no dumby at Ebay and it's policies but I'm a little stumped here. The seller that I bought some DVDs from has 100% positive feedback and has answered one of my messages already. I was given a tracking number and the package is last shown arriving at the Cincinnatti hub on January 13 or so and that's it. It was sent media mail and I live in Indianapolis. I've sent the seller another message last week and haven't gotten a reply. I didn't have insurance on the package either so am I screwed or can I still get my money back?
20090205080924AA1wf5v	Games & Recreation;Card Games	What do you think of my White Mtg deck?	I think I have an ok combo for this deck, I had my health at 76 with it last night, it has a hard time beating blue decks because of all the countering from them but its not too bad.  Check it out and lemme know what you all think.    Apothecary Initiate x2  Venerable Monk x4  Goldenglow Moth x4  Cho-Manno, Revolutionary x2  Knight of Meadowgrain x3  Angel of Mercy x2  Ancestor's Chosen x1  Ajani Goldmane x2      Unmake x3  Recumbant Bliss x2  Marble Chalice x2  Angel's Feather x2  Pacifism x2  Pariah x3  Soul's Grace x3  Batwing Brume x3      20 Lands      Basically the strategy is constant life gain and blocking with creatures like Goldenglow Moth 0/1 flying but when I block with it I gain 4 life and it only costs 1 land to play.  After gaining a bunch of life use my planeswalker's ability to summon a token with its power and toughness equal to my life, and then just beat down the opponent.  Another strategy I looked at was a card that when your life is at 50 or above you automatically win the game, but I can't remember what it was called.  Any info would be greatly appreciated thanks :D
20090205081437AAtoiTv	Games & Recreation;Video & Online Games	COD5 TEAMDEATH MATCH AND SEARCH AND DESTROY?	I no someone who only plays teamdeath match and he is a very high prestige just because of TDM could someone explain plz i u se to be higher TDM sucks btw
20090205081459AAsmU8d	Games & Recreation;Video & Online Games	Where can i download the left 4 dead soundtrack?	the title says it all, i need the songs for a project i am doing, i also do not own the game and i was just wondering if anyone could provide a link to download them, thanks.
20090205083608AAZTQ9a	Games & Recreation;Other - Games & Recreation	I am entertaining my co-workers 9 year old son this friday, what game should i rent for xbox 360?	he said he likes halo 3, but we will need another game. what are some games on xbox that me him and his mom can play together on the 360?
20090205083329AATRN2U	Games & Recreation;Video & Online Games	Wii owners, ever heard of a game called "Disaster: Day of Crisis"?	I've had this game for months, and I must say it is easily the best wii game out there. Of course, I don't expect it to sell more than Brawl, but it should really be one of the best sellers. However, it sold terribly on Europe, and now they won't release an American version.      Wii owners, ever heard of this game? Seriously, it's the greatest adventure game for the wii. I keep wondering why almost no one knows about this game, and why it sold terribly in Europe if the game is almost perfect.
20090205082819AAU67mx	Games & Recreation;Other - Games & Recreation	What should I do this Summer? Please answer?	OMG! Every single summer I am so super bored out of my mind && after like 2 weeks I run out of things to do.   I need some ideas on what to do during the boring summer.   I always swim, have sleepovers, and hangout with friends, but thats old now.      Thanks in advance guyss (:
20090205081921AAMoUbM	Games & Recreation;Amusement Parks	Where is a good place to park for Gasparilla in Tampa?	First time I've ever gone and I have no idea where to park.  I was hoping to get some inside tips because I know it's going to be crazy crowded.
20090205083802AA3zcOm	Games & Recreation;Video & Online Games	Where to get a cheap xbox 360?	where would be the cheapest place to buy an xbox 360 other than ebay or amazon
20090205083025AAPN3ze	Games & Recreation;Toys	Are beany babies actually worth anything anymore?	My daughter has over 300 beany babies. What can I do with them? Should I sell them or just hold on to them? They all have tags.
20090205082401AAHRsLK	Games & Recreation;Video & Online Games	Is there any game where you get to drive around?	Is there a 3D game where you get to pick your car and just drive around and pick up passengers? And a little like Bus Driver. Plus it has to be on the computer.
20090205081829AAi9pVx	Games & Recreation;Video & Online Games	I have stuck on Devil May Cry 4, What to do now?	I have stuck on Devil May Cry 4 on Misson 2, after Tutorial. After taking the new ability I can't go to the broken wall.                    I play it on a Pc, Using Xbox 360 controller for windows.       Plzzzzzzzzzz Help me ................
20090205081921AAlS8L1	Games & Recreation;Other - Games & Recreation	How to play guitar hero world tour xbox360 with controller?	N/A
20090205082120AAtqEvr	Games & Recreation;Video & Online Games	Does ur eyesight become worse a lot quicker playing portable game systems?	K well i already have really really bad eyesight and have glasses, so do u think that makes me get worse eyesight quicker playing portable game systems like psp? Cuz playing those u tend to have ur eyes close to the screen. I  ve been noticin that i have a decrease in my eyesight and im just not sure if its from playing my psp or just something else
20090205082154AA4GmiN	Games & Recreation;Video & Online Games	My Sims 2 keeps crashing.?	I have Sims 2 Double Deluxe and every time I start the thing up it will say it's terminating or something. I downloaded a lot of things from the sims resource, so do I have to delete them? I have Windows Vista.
20090205082347AAppWuA	Games & Recreation;Video & Online Games	Playstation Emulator?	i want to download a playstation emulator but i want to know a few things about them first   are they legal?   do u download the games or do u use a playstation game disc?
20090205082429AAvRsXh	Games & Recreation;Video & Online Games	Question For Sims 2 Ds;?	I've Searched Everywhere For Jimmy The Neck But Cant Find Him Anywhere.   Any1 Tell Me Where They Found Him?
20090205083132AATTu9G	Games & Recreation;Video & Online Games	How do you become a criminal on sims 2 PC?	N/A
20090205083217AAwbHnN	Games & Recreation;Video & Online Games	Where can u make ur logo for ur gamebattles clan?	please answer
20090205083452AAmCfLk	Games & Recreation;Other - Games & Recreation	Pokemon diamond  need help on codes?	Can anyone give me some codes like 5 star trainer card, a code that can give me a fc, that can give me a ultimate team or any code that you know please tell me codes because i do not have any codes for pokemon diamond    First and will be checking if the codes work will get 10 points.
20090205083617AAzfsjT	Games & Recreation;Video & Online Games	PSP and internet connection?	how does the internet work on a psp? Is it slow, or is it like a mini laptop? Please anybody with experience with one please share the specs on it.
