20080102150336AA8W6I0	Games & Recreation;Gambling	Yo no soy antisocial?	la sociedad es anti Yo??
20090227173307AAaSxcJ	Games & Recreation;Video & Online Games	How can I get games on my cellphone?	my cellphone wont let me download any games and it doesn't have any like files that let me download any games please help oh and my cellphone is a LG shine
20090227173937AAnQM5W	Games & Recreation;Toys	Looking for the dadnapped game advertised on the disney channel?	where can I find the dadnapped game advertised today on the disney channel?
20090227173945AAPubng	Games & Recreation;Other - Games & Recreation	What are some funny stop signs you've seen?	what are some funny stop signs that you've seen with writing on them such as    don't STOP believin'   don't STOP lovin'    STOP in the name of love
20090227174320AAIAazS	Games & Recreation;Hobbies & Crafts	How do you remove the shiny finish off playing cards for ACEO use?	Is there a way of removing the shiny finish without destroying the card totally? I haven't tried to glue anything to a card or paint one without doing that yet. Has anyone have any problems doing that? I figure it would be easier to apply glue or paint to the surface if the finish is removed if possible. Thank you for any help.
20090227174505AAwtajh	Games & Recreation;Video & Online Games	What quests can you do on Runescape to get free stuff?	This counts for usable items, like the Blurite Sword (The Knight's Sword Quest) or the Silverlight(Demon Slayer Quest)
20090227174518AAuklRq	Games & Recreation;Video & Online Games	Is it possible to retrieve a canceled World of Warcraft  account?	i deleted it about 4 years ago, can i still get it back? i'd really like to
20090227174900AAa3ApK	Games & Recreation;Other - Games & Recreation	Pokemon D/P Competitive Forums or Boards?	Anyone know a active, alive, and Competitive/Trade Forum Or Board?   Ive Been looking on Google, but cant find any boards that are booming for Diamond and Pearl battling/trading.      So anyone know any good website   (EXCEPT gamefaqs. Im Banned from their site, with a Read-Only(1) account.
20090227175201AAAsZ4j	Games & Recreation;Toys	How do i un-dry floam?	Well i got floam labout 2 weeks ago, and on the first day I left it out for a while and it dried up. Now its all gross and dry. I want it to go back to the way it origanally was. Any ideas?
20090227175247AA2CdOE	Games & Recreation;Other - Games & Recreation	Pokemon game s ?????????	what watch pokemon game is the beat game? for NINTENDO game quoob?
20090227175426AAMYUuN	Games & Recreation;Video & Online Games	What pokemon game is the best?	watch pokemon game is the beat game? for NINTENDO game quoob?
20090227180407AAdLIwP	Games & Recreation;Other - Games & Recreation	Pokemon game s is thare a pokemon game you have to?	is thar a pokemon game ware you have to ern bage s
20090227180329AA6Ikhe	Games & Recreation;Other - Games & Recreation	Pokemon game s is thare a pokemon gamw you have to?	is thar a pokemon game ware you have to ern bage s
20090227175503AAGNJlO	Games & Recreation;Video & Online Games	Which came first Mortal Kombat or Street Fighter?	Just curious.
20060926084115AAf7Jcz	Games & Recreation;Video & Online Games	Can anyone post or email me a walkthrough of xenosaga 3...i'm deployed and i can't get it where i am...please?	N/A
20061211200054AApbboP	Games & Recreation;Video & Online Games	Please help with Yahoo Games (Dominoes)?	I cannot 'create a table'.  I get the message "attempting to pop up window", but it will not.  It will show that I am at a particular table, but really I'm not, since I can't see a board.  I've tried turning the pop-up blocker off, that doesn't help either.  Please, I've been trying to get back on for months!
20061224150138AAqxT5D	Games & Recreation;Video & Online Games	Torrent Converters?	This is taking so long....I need this game for my son by tomorrow.  Is there any way to convert torrents or open them faster?
20070127173019AAwui7m	Games & Recreation;Other - Games & Recreation	Me gustaria saber si alguien recibio una notificacion de la UK National Lotter?	N/A
20070205190314AAsbR2Z	Games & Recreation;Video & Online Games	How to u rip UMD games for psp?	ye i have a 3.10 oe-a psp and i was wondering how to rip UMD games. i was looking around on google and i found fastloader v.7 but when i put it on my psp it just says corrupt data.  so i was wondering if you guys could help me find a prog that works. thx
20070218193336AARBKCT	Games & Recreation;Video & Online Games	What MMO works on this comp A GOOD ONE.. on this comp..?	anwsers cannot be runescape, anarchy online, or silkroad, or hero.      Manufacturer: Hewlett-Packard    Processor: Intel(R) Pentium(R) III Mobile CPU 1133MHz    Memory: 240MB RAM    Hard Drive: 39 GB    Video Card: S3 Graphics Twister HP    Monitor: Generic Television    Sound Card: VIA Audio (WAVE)    Speakers/Headphones:     Keyboard: USB Root Hub    Mouse: USB Root Hub    Mouse Surface:     Operating System: Windows XP Home Edition (5.1, Build 2600) Service Pack 2 (2600.xpsp_sp2_gdr.050301-1519)
20070306194004AAFVwMi	Games & Recreation;Board Games	Como descargar juego de ajedrez en yahoo?	N/A
20070307104528AA6r99f	Games & Recreation;Board Games	?como puedo descargar juegos en internet, para pc sin coneccion a internet por medio de un usb.?	solicito respuesta por favor
20070603015918AAuBWhZ	Games & Recreation;Hobbies & Crafts	Avete mai pensato di realizzare un film o un telefilm.....?	......in cui voi siete protagonisti, e volete ke il vostro film (o telefilm) sia unico e originale, ke faccia ridere, o ke faccia paura, anke se nn siete proprio a Hollywood....
20070910082141AAka6ju	Games & Recreation;Other - Games & Recreation	Adesso voi volete farmi credere che questo è un cuore??? <3... Ma per favore...?	N/A
20070630161222AAmor8z	Games & Recreation;Video & Online Games	Pokemon...........?	se volete farvi cacciare da answer sfottete liberamente...      passiamo alle domande: quali sono le differenze tra pokemon verde e blu, a parte il camioncino con mew?    poi un dubbio che mi assale da anni: xkè di slowbro si dice che ha uno shellder sulla coda mentre ha un robo grigio? sembra un cloyster, ma ha gli occhi nel guscio!
20070925072021AAud0Sj	Games & Recreation;Video & Online Games	Ma che lingua parlano i  "The Sims"???	nel gioco del pc...quando parlano tra loro....   è una lingua o sono parole senza senso??
20070704103819AAzWGUw	Games & Recreation;Video & Online Games	Come posso creare un videogame??	esistono dei programmi???......2d 3d non fa differenza di qualsiasi tipo......(pero se e 2d e meglio xD)
20090225105518AAtpXD6	Games & Recreation;Video & Online Games	Killzone 2 does anyone know why i cant join a multiplayer game online,i can search for games but it wont let?	me click on anything
20070728133558AAPDF5k	Games & Recreation;Video & Online Games	What are Promo Credits on IMVU used for?	I have 2,200 Promo-Credits on IMVU. If i buy an item for, o say 1,000 credits, do I still have to pay for the item with real-world money? (Ex. $.99)
20070728134617AAOHDh5	Games & Recreation;Video & Online Games	Promo Credits on IMVU?	So, if u  buy something from the catelog on IMVU with Promo-Credits, u can't give that item to someone?
20070904183138AAd3av0	Games & Recreation;Other - Games & Recreation	A ki è ancora sveglio...?	Ke fate? Quanti anni avete? Scusate è una mia curiosità...    Ciao a tutti!Grazie x le risposte!!! :-)   (Non sapevo dove mettere la domanda!!!)
20090225072520AA834k9	Games & Recreation;Video & Online Games	How do you get the sword of aeons in fable 2?	i want it how do i get it i just started but ill beat it soon
20090225103848AAUleqV	Games & Recreation;Video & Online Games	Which game is better for the xbox 360?	Which of these games are better on Multiplayer mode (online) Why? Need good reasons. Top 4 are.....   Halo3   Gears of war 2?   CoD4?   CoD WaW?
20090225104926AAS8Y09	Games & Recreation;Toys	Where do you get off?	wat it says
20090225072853AArokWp	Games & Recreation;Video & Online Games	How much does it cost to get a xbox 360 fixed for one red light when not in warranty?	my xbox 360 elite has one red flashing light and its not in warranty so does anyone know how much it will cost in ￡ to get it fixed?
20090225104834AA3IwcX	Games & Recreation;Video & Online Games	Xbox live 12 month.....?	what store do they sell the xbox live 12 month gold card the cheapest at??? i live in the San Fernando valley
20090225104848AA6MDi6	Games & Recreation;Video & Online Games	Websites for playing Skill Games for Money?	I have an account on King and Worldwinner but I was looking for another site. Looking for games like Solitare, Bejeweled, Chuzzle, etc. Not Poker or Slots or anything.      Anyone know of any?? Thanks
20070929082526AAmY9Hj	Games & Recreation;Other - Games & Recreation	Dragonball !!! <------- Tutti A Cantare ?!!!!?	Allora...ke ne dite di cantare????   canteremo la sigla di dragonball Gt ...ok????Tanto per passare il tempo...Inizierò io e quello dopo continuerà...e il terzo kontinuera fino  a dove e arrivato il primo...pero rikordatevi di cantarne un pezzo,nn allungatevi troppo!!se la finiremo poi inizieremo a cantare quella di dragonball Z!!   Ok!! inizio io...   ? io lo so ...ke si può ..diventare speciali perciò ci proverò!!quanti eroi!! coraggiosi e leali combattono per noi.... ?   Il  prossimo kontinua...!!!   spero vi piaccia passare il tempo cosi..   P.S ah,prima di scrivere posizionatevi..ok???   Ciao Vvb
20090225072409AAiBXHD	Games & Recreation;Video & Online Games	Harvest moon tot, harvest sprite?	can someone please tell what flower you have to water to rescue the harvest sprite in harvest moon tot, and explain in detail please! Is their anything else you have to do other than water the flower? Im so lost. thanks all help is appreciated!
20090225105259AAoPQY0	Games & Recreation;Toys	Free webkins account >.<?	i has a webkinz account but if you want it i want imvu credits for 2000 imvu credits you can has the webkinz account >.<
20090225105157AA2QRoW	Games & Recreation;Card Games	Would this cards make a good cyberdark deck... just checkin?	Monsters: 21   2 Red-Eyes Darkness Metal Dragon   1 Prime Material Dragon   2 White-Horned Dragon   1 Infernal Dragon   3 Hunter Dragon   1 Twin-Headed Behemoth   3 Masked Dragon   2 Exploder Dragon or 2 Proto-Cyber Dragon   2 Cyberdark Horn   2 Cyberdark Edge   2 Cyberdark Keel      Spells: 11   2 Allure of Darkness   1 Future Fusion   1 Overload Fusion   1 Power Bond   1 Soul Taker   1 Heavy Storm   1 Mystical Space Typhoon   1 Monster Reborn   1 Brain Control   1 Foolish Burial      Traps: 8   3 Solemn Judgment   2 Compulsory Evacuation Device   2 Bottomless Trap Hole   1 Dust Tornado      Total: 40 cards      Extra Deck: 15   1 Five-Headed Dragon   1 Cyber End Dragon   1 Red Dragon Archfiend   1 Goyo Guardian   1 Cyber Twin Dragon   1 Stardust Dragon   1 Black Rose Dragon   3 Cyberdark Dragon   2 Chimeratech Overdragon   3 Chimeratech Fortress Dragon
20090225105805AAye51v	Games & Recreation;Video & Online Games	ON GRAND THIEFT AUTO HOW DO I DO MADD DOGG MISSION?	Ive used to many cheats. So do i do slow motion or adrenaline cheat if so x what ?
20090225073719AATEh93	Games & Recreation;Other - Games & Recreation	Who likes final fantasy 7?	i played ff7 of ps1 watched the movie and played dirge of cerberus, the only game i haven't played is crisis core *sniff*   i love that game.   1st of all it has an amazing story.   2nd cloud is cute.
20090225073504AAW97JC	Games & Recreation;Video & Online Games	What could be one issue that causes a Counter Strike Source server to crash?	Two of our Counter Strike Source servers are crashing a lot lately and we don't know what the problem is. Any help would be grateful
20070719005222AAhhJTt	Games & Recreation;Video & Online Games	Sto scaricando the sims funky business,ma è un estensione?	Sto scaricando the sims funky business,volevo sapere se è un estensione?le sue dimensioni sono di 678.74 Mb....nel caso fosse un estensione questo significa che non mi va se non installo the sims 2 o non centra niente e mi va come un gioco a parte?scusate ma non ci capisco molto
20090225105400AA2lbb2	Games & Recreation;Video & Online Games	What are some tips on Animal Crossing Wild World for Nintendo DS?	N/A
20070812161809AAY7GBg	Games & Recreation;Video & Online Games	What Are the secret achievement for MLB 2k7?	N/A
20070815090921AAdYtwq	Games & Recreation;Other - Games & Recreation	Anyone want to be my friend on Pokemon Diamond Wi-fi?	My name is Pawi   My code is 3351 1555 7679
20070816094349AA4K0K5	Games & Recreation;Other - Games & Recreation	What is the point of shards in Pokemon D/P?	Also can you change fossils into pokemon and if you can where?
20090225104335AA31ufr	Games & Recreation;Hobbies & Crafts	Is this a normal hobby of mine?	I love to spray windex in my mouth and drink it. It's so delicious especially when you pass out from drinking to much. My doctors tell to keep on drinking that good windex caz it's great for my butt.
20070629175545AAp42Ko	Games & Recreation;Video & Online Games	Any good online RPG games that are free?	Does anyone know of any good RPG games kinda like final fantasy crystal chronicles.... or something .... that are online and FREE???
20070630073856AAkvUkp	Games & Recreation;Video & Online Games	Cosa vorreste che ci fosse scritto sulla vostra tomba ???	non voglio portare sfiga a nessuno    10 punti in palio come sempre
20070703092005AA9TSrR	Games & Recreation;Video & Online Games	Age of empires 2?	se puede jugar en la red con otros si se puede como le ago detanllenmelo porfa
20070710070215AAnnZDU	Games & Recreation;Hobbies & Crafts	Que es el papel que le llaman "papel China"?	lo usan mucho para hacer manualidades
20070728035128AAYDM74	Games & Recreation;Other - Games & Recreation	Ragazzi ho the sims 2 university ma nn riesco a giocare;mi serve the sims 2.come posso scaricarlo da internet?	mi serve sol l'installazione...
20070901043324AAaQ6Yr	Games & Recreation;Other - Games & Recreation	Aiutoooooooooooooooooooooooooo…	stasera dovrei mettermi un pantalone bianko cn una camicia blu e una borsa blu!cm accessori vorrei mettermi una fascia rosa scuro cn 1 kollana dello stesso kolore della fascia,ma sn indecisa per il colore!!mi date qualke consiglio??grazie!!kiss
20090225071454AAooEBd	Games & Recreation;Video & Online Games	How to transfer pokemon from GBA to DS using EMULATORS?	N/A
20090225071741AAFPpHE	Games & Recreation;Other - Games & Recreation	Strange request for a birthday present - mothercare catalogue?	Does anyone know where I might be able to get hold of a mothercare catalogue from 1979? I know it sounds weird but my friend really wants one for her 30th birthday!
20090225071828AAs4UMN	Games & Recreation;Video & Online Games	TEKKEN DR: ONLINE CONNECTION PROBLEMS?	First of all I live in UK and have a 10mb broadband from Virgin which works superb on every oter game I have, e.g. call of duty 4 & 5 my connection is 4 bars and I'm always the HOST.      All the other games the same, exept TEKKEN, when I create a room, some people come to my party & STEAL my connection, so when I have 3 bars I then have 0 or 1 and get beat up, WTF???       When sometimes I play with people from UK the coenction is ok, but that's not all of the time... so what is the problem? Is it because everyone has a crap internet speed? I hate sharing with the connection, other fighting games are cool (fight night round 4 or street fighter 4)...
20090225072044AAjeP2z	Games & Recreation;Hobbies & Crafts	I have a 1953 Ronald McDonald postcard in acid free paper in mint condition.  Can I find its worth online?	N/A
20090225072235AAf7oHy	Games & Recreation;Gambling	Does anyone have the winning numbers for the Scratch 2 Win Chicago Sun-times for Feb  15 -17 and 21 thanks?	N/A
20090225072453AAJXMp2	Games & Recreation;Video & Online Games	I cant get Final Fantasy 8/VIII working on my pc?	I just downloaded Final Fantasy 8/VIII for PC and now i have installed it and it wont work.
20090225072608AASrshA	Games & Recreation;Other - Games & Recreation	Do you have to be 18 to sign for an airsoft gun delivered by UPS?	it's all in the question.
20090225072653AAteX0S	Games & Recreation;Video & Online Games	Ps3 how do i load saved game play?	call of duty 4 world at war, ps3, - jus got it, completed missions, it autosaved, shows i have a saved game play , but doesnt give me the option to load it up and start from my progress. keeps making me start from begining of the game. !  anyone help please
20090225072711AAaIEOb	Games & Recreation;Card Games	Why is cheating allowed in pyramid? i just got over 49000 & they won"t post it Y?	N/A
20090225073714AAFMMKx	Games & Recreation;Toys	How to make paint filled balloons?	I want to play paintball like they did in :10 things I hate about you" but I'm not sure how to go about filling balloons with paint, or sure exactly what kind of paint to use. Anyone have any suggestions?
20090225074022AAq2uv5	Games & Recreation;Video & Online Games	Is there a problem getting Anton's figurine in Legend of Zelda: Windwaker?	I'm trying to complete the Nintendo gallery in Windwaker on the Gamecube.  I have all of Windfall Island's models apart from Anton.  When I take a pictograph of him to Carlov, he tells me that he has already made a figurine of him, but he clearly hasn't.  Has anyone else had this problem, and more importantly, do you know how to resolve it?!
20090225074137AA5Xjua	Games & Recreation;Video & Online Games	How do i animal crossing this?	upgrade to nookingtons?   i ahev nookway, have 3500 points, and a person has bought stuff at my store (if that matters.) what do i have to do for it to upgrade      get the other golden items?   i have the slingshot and shovel.  how do i get the axe, watering can, and fishing rod? i know your town has to be perfect for a certain amount of time to get the water can, but what is considered perfect, and for how long?
20090225103918AAfeZFv	Games & Recreation;Video & Online Games	I need help finding rare items on webkinz , im new add me dude1992?	N/A
20090225104252AA6I3xe	Games & Recreation;Video & Online Games	Counter strike source? help plz?	Hi i have a css server that i create and i cant get anyone in The U.K to join eg my mate and the wierdest things is i live in the UK so wtf can someone help plz peopkle outside the uk are joining and ive tryed sv_region -1   is there anything else plz......
20090225104728AASwPG2	Games & Recreation;Video & Online Games	If You Need help building a habbo rerto contact me however (With Hamachi only)?	I only know how to make a habbo retro with hamachi and im a hundred percent sure that it will work 100% SURE!!!??╬                                    Just contact me at any time
20090225105311AAzB7ni	Games & Recreation;Video & Online Games	Can my computer even barely handle dawn of war 2?	My Computer   P4 2.6 Gig Processor   2.5 Gigs of Ram   40 Gig Harddrive   Geforce4 MX 4000      Its my video card that has me worried. If I ran it on the bare minimum specs could it handle it?      Minimum Specs   * Windows XP SP2 or Windows Vista SP1   * P4 3.2 GHz (single core) or any Dual Core processor   * 1 GB RAM (XP), 1.5 GB RAM (Vista)   * A 128MB Video Card (Shader Model 3) - Nvidia GeForce 6600 GT / ATI X1600, or equivalent   * 5.5 GB of Hard Drive space
20090225105330AAMJ4yu	Games & Recreation;Video & Online Games	Who plays Mona Sax in Max Payne 2 game?	N/A
20070905153444AAD5Crg	Games & Recreation;Other - Games & Recreation	Puipuison o guiguison oppure fuifuison?	N/A
20070905153514AAuSkrU	Games & Recreation;Other - Games & Recreation	Bohn fuifuisin?	N/A
20071215112830AAUH2IK	Games & Recreation;Other - Games & Recreation	Gioco della Verità: "E' VERO CHE"....??	Giocate con me?   Si gioca così, ogni answerino dovrà porre una domanda di qualsiasi genere all'answerino seguente che inizi con le parole: è vero che?   L'answerino risponderà con un VERO o FALSO e formulerà a sua volta un'altra domanda.   Es: E'  vero che hai 18 anni?         Falso. E' vero che sei biondo?   Tutto chiaro?   Ah dimenticavo... PRENOTATEVI!!      Inizio io: E' vero che oggi hai speso più di venti euro?
20071211123523AAZUCqN	Games & Recreation;Other - Games & Recreation	Giokino delle frasi?	ditemi le vostre frasi: dovete dirmi la frase ke corrisponde al vostro mese di nascita, poi quella del vostro giorno e infine quella della vostra misura di piede.   MESE   Gennaio: Ho pisciato su   Febbraio: Ho cantato con   Marzo: Ho frustato   Aprile: Ho ucciso a capocciate   Maggio: Ho odorato i piedi a    Giugno: Ho seppellito vivo   Luglio: Ho morso sulle parti intime   Agosto: Sono scappato da   Settembre: Ho divinizzato   Ottobre: Ho fatto sesso con   Novembre: Ho preso le botte da   Dicembre: Ho ballato con   GIORNO   1: Luca Giurato   2: Un mago conosciuto per caso   3: Un Ninja   4: Un SuperSayan   5: Un escremento   6: Wanna Marchi   7: Un Toporagno   8: Una sessantenne   9: Mio nonno   10: La sorella di SuperMan   11: Una tigre dei denti a sciabola   12: Un puffo   13: Un alieno   14: Berlusconi   15: Barbie   16: Una fatina   17: Una forchetta   18: Uno specchio   19: Me stesso   20: Il libro di matematica   21: Un preservativo usato   22: Una saponetta   23: Un mazzo di carte   24: Un Cd vergine
20071001102243AAy11r4	Games & Recreation;Other - Games & Recreation	Ma l'acqua... è più calda..?	a 50 a 100 o a 150 gradi?
20071117142434AAsyP9F	Games & Recreation;Other - Games & Recreation	Ciaoooooooo  !?	Ciao a tutti! Uff è sabato sera e mi annoio un sacco ! Dovevo uscire ma alla fine niente! Uff... Voi ke fate? Quali sono i vostri piani x la serata! Un bacio   Mary J
20071023070015AAiWJup	Games & Recreation;Other - Games & Recreation	La xsona ke ti serve...?	In questo momento ci sono 6.470.818.671 di persone nel mondo. Qualcuno ha paura. Qualcuno è tornato a casa. Altri mentono per superare la giornata. Altri stanno affrontando una verità. Alcuni uomini sono cattivi e fanno la guerra ai buoni. Altri sono buoni e lottano contro il male. Sei miliardi di persone nel mondo. Sei miliardi di anime. E qualche volta... te ne serve una sola.
20071127041921AAsqfrq	Games & Recreation;Other - Games & Recreation	Scusate, ma se uno straniero dorme in italia?	ha bisogno del permesso-di-camera-da-letto o è sufficiente il permesso di soggiorno?
20071026071754AA4dsZL	Games & Recreation;Gambling	Vào ?ay r?i s? bi?t .........!!!!??????	ng??i ta nói :"ko s?n mà ?? _ko g? mà kêu _ko kh?u mà r?ng" là hi?n t??ng gì v?y các b?n..   Ai s? là ng??i hay nh?t .....ph?n ph??ng x?ng ?áng......
20071018021716AAlLkYM	Games & Recreation;Video & Online Games	Co ai nhay au khong chi minh cach tap nhu the nao cho nhanh tay voi?	N/A
20071018192926AAFsRsy	Games & Recreation;Video & Online Games	Khi t?i cài ??t ch??ng trình game có thong báo : the system cannot find the path spacified là sao ?	N/A
20071025221251AAaAE1i	Games & Recreation;Gambling	Ai mu?n bi?t thì v? coi cho bít nha haaaaaa c? lên?	làm sao ?? b? con voi vào tu l?nh? và sinh nh?t con s? t? thi?u con gì? làm sao m?t con h? ?i qua ?c m?t con s?ng ??y cá s?u????????
20071020055554AAdhq1X	Games & Recreation;Video & Online Games	Test Drive Unlimited x pc?!?	qlkuno ha Test Drive Unlimited x pc?!   originale o masterizzato?   Vi da problemi???   gRaZie
20071021041646AANxK9A	Games & Recreation;Gambling	YAHOO ti?ng vi?t ngh?a là gì?	N/A
20071021235841AA66QWJ	Games & Recreation;Card Games	Có hay kh?ng tình yêu kh?ng biên gi?i. có tình yêu nào b?n v?ng kh?ng khi xa cách nhau?	N/A
20071023043447AAKSo8d	Games & Recreation;Video & Online Games	Nh?n các gi?i pháp th?c t? t? hàng tri?u ng??i có th?c.?	tai sao tai? xong AU ma` lai bi bat ra ngoai la` the^' nao` ?   con` yahoo thi` vao` thi` bi out ra mac du` chua danh dc nick?
20071025215500AAGMSi9	Games & Recreation;Other - Games & Recreation	Trên m?t con s?ng có r?t nhi?u cá s?u, nh?ng trong h?m ?ó m?i ng??i ?i l?i r?t t? nhiên. H?i t?i sao?	L?i liên quan ??n cau h?i tu?n tr??c ?ó b?n ?i!
20071028230800AAjuTOt	Games & Recreation;Other - Games & Recreation	Các b?n cho t? h?i truy?n Jindo có j hay,thú v? và h?p d?n ??n th??	N/A
20071030062947AAYPdMy	Games & Recreation;Gambling	? ?au trong Yahoo! có th? b?n chia s? hi?u bi?t c?a mình và c? ??t cau h?i cho c? th? gi?i?	N/A
20071103065538AA5udxV	Games & Recreation;Video & Online Games	Nintendo DS.. scheda per caricare i giochi??	Qual'è la scheda adatta per caricare giochi per il nintendo ds??   Dove si compra e come si caricano??
20071104052404AAwfE51	Games & Recreation;Other - Games & Recreation	Sondaggio....?	dragonball o naruto??
20071127081244AATYRHB	Games & Recreation;Video & Online Games	If i upgrade to xbox live gold will i be able to change my gamertag?	N/A
20071127090708AAJbzQt	Games & Recreation;Video & Online Games	Gioco da scaricare su e-mule x ragazze?	conoscete qualke gioco da scaricare su e-mule x ragazze quindi sulla moda o altro?
20071130103936AAEDU0j	Games & Recreation;Video & Online Games	Mi potete dire dove si trovano tutti i software per il pokekron?	Quello per Pokemon Diamante.
20071202072312AA3Klte	Games & Recreation;Video & Online Games	Problema GTA San Andreas!!!!!!!!!!!!!!!!!!!?	Ho il dvd originale di Gta San Andreas, dopo averlo installato e dopo aver installato pure la direct X, clikko sull'icona nel desktop (con il dvd inserito), mi fa vedere il filmato, arriva all' immagine con scritto san andreas con tute le immagini intorno e torna improvvisamente al desktop.   Ho 750mb ram, 60gb del disco liberi, la scheda video da 64 (sis).   Qualcuno mi sa dire come risolvo il problema, se esiste una crack o una patch per questo problema??      (Ho giocato a giochi come NFS Carbon quindi nn credo dipende dalle prestazioni del pc)   AIUTATEMI PLSsS
20071203112837AAVS7cE	Games & Recreation;Video & Online Games	Gta 4 x xbox 360?	esistono trucchi per gta 4 sull' xbox 360?se si potete darmeli??
